,depot,INST0035_N5_S05_P000,INST0035_N5_S05_D000,INST0035_N5_S05_P001,INST0035_N5_S05_D001,INST0035_N5_S05_P002,INST0035_N5_S05_D002,INST0035_N5_S05_P003,INST0035_N5_S05_D003,INST0035_N5_S05_P004,INST0035_N5_S05_D004
depot,0.0,6.707,83.656,61.869,160.028,26.3,67.566,61.869,6.707,24.036,75.176
INST0035_N5_S05_P000,6.707,0.0,77.018,61.135,158.604,32.455,71.658,61.135,0.0,29.68,74.382
INST0035_N5_S05_D000,83.656,77.018,0.0,87.998,151.155,108.949,138.993,87.998,77.018,102.142,94.398
INST0035_N5_S05_P001,61.869,61.135,87.998,0.0,98.41,80.067,126.125,0.0,61.135,55.105,13.307
INST0035_N5_S05_D001,160.028,158.604,151.155,98.41,0.0,177.944,224.124,98.41,158.604,152.108,85.211
INST0035_N5_S05_P002,26.3,32.455,108.949,80.067,177.944,0.0,46.181,80.067,32.455,26.348,92.948
INST0035_N5_S05_D002,67.566,71.658,138.993,126.125,224.124,46.181,0.0,126.125,71.658,72.268,139.086
INST0035_N5_S05_P003,61.869,61.135,87.998,0.0,98.41,80.067,126.125,0.0,61.135,55.105,13.307
INST0035_N5_S05_D003,6.707,0.0,77.018,61.135,158.604,32.455,71.658,61.135,0.0,29.68,74.382
INST0035_N5_S05_P004,24.036,29.68,102.142,55.105,152.108,26.348,72.268,55.105,29.68,0.0,67.557
INST0035_N5_S05_D004,75.176,74.382,94.398,13.307,85.211,92.948,139.086,13.307,74.382,67.557,0.0
