,depot,INST0040_N5_W10_P000,INST0040_N5_W10_D000,INST0040_N5_W10_P001,INST0040_N5_W10_D001,INST0040_N5_W10_P002,INST0040_N5_W10_D002,INST0040_N5_W10_P003,INST0040_N5_W10_D003,INST0040_N5_W10_P004,INST0040_N5_W10_D004
depot,0.0,23.331,133.671,0.0,23.331,64.294,20.02,14.369,35.228,0.0,64.294
INST0040_N5_W10_P000,23.331,0.0,110.354,23.331,0.0,57.051,20.56,33.728,36.679,23.331,57.051
INST0040_N5_W10_D000,133.671,110.354,0.0,133.671,110.354,115.643,124.166,142.787,129.907,133.671,115.643
INST0040_N5_W10_P001,0.0,23.331,133.671,0.0,23.331,64.294,20.02,14.369,35.228,0.0,64.294
INST0040_N5_W10_D001,23.331,0.0,110.354,23.331,0.0,57.051,20.56,33.728,36.679,23.331,57.051
INST0040_N5_W10_P002,64.294,57.051,115.643,64.294,57.051,0.0,75.699,78.578,92.961,64.294,0.0
INST0040_N5_W10_D002,20.02,20.56,124.166,20.02,20.56,75.699,0.0,20.081,17.435,20.02,75.699
INST0040_N5_W10_P003,14.369,33.728,142.787,14.369,33.728,78.578,20.081,0.0,28.407,14.369,78.578
INST0040_N5_W10_D003,35.228,36.679,129.907,35.228,36.679,92.961,17.435,28.407,0.0,35.228,92.961
INST0040_N5_W10_P004,0.0,23.331,133.671,0.0,23.331,64.294,20.02,14.369,35.228,0.0,64.294
INST0040_N5_W10_D004,64.294,57.051,115.643,64.294,57.051,0.0,75.699,78.578,92.961,64.294,0.0
