,depot,INST0042_N5_N12_P000,INST0042_N5_N12_D000,INST0042_N5_N12_P001,INST0042_N5_N12_D001,INST0042_N5_N12_P002,INST0042_N5_N12_D002,INST0042_N5_N12_P003,INST0042_N5_N12_D003,INST0042_N5_N12_P004,INST0042_N5_N12_D004
depot,0.0,40.266,93.214,18.791,30.471,18.791,47.339,40.266,18.791,30.471,82.833
INST0042_N5_N12_P000,40.266,0.0,81.189,21.8,11.436,21.8,77.99,0.0,21.8,11.436,46.019
INST0042_N5_N12_D000,93.214,81.189,0.0,87.958,77.555,87.958,85.106,81.189,87.958,77.555,65.084
INST0042_N5_N12_P001,18.791,21.8,87.958,0.0,13.759,0.0,61.784,21.8,0.0,13.759,66.32
INST0042_N5_N12_D001,30.471,11.436,77.555,13.759,0.0,13.759,66.572,11.436,13.759,0.0,52.8
INST0042_N5_N12_P002,18.791,21.8,87.958,0.0,13.759,0.0,61.784,21.8,0.0,13.759,66.32
INST0042_N5_N12_D002,47.339,77.99,85.106,61.784,66.572,61.784,0.0,77.99,61.784,66.572,107.477
INST0042_N5_N12_P003,40.266,0.0,81.189,21.8,11.436,21.8,77.99,0.0,21.8,11.436,46.019
INST0042_N5_N12_D003,18.791,21.8,87.958,0.0,13.759,0.0,61.784,21.8,0.0,13.759,66.32
INST0042_N5_N12_P004,30.471,11.436,77.555,13.759,0.0,13.759,66.572,11.436,13.759,0.0,52.8
INST0042_N5_N12_D004,82.833,46.019,65.084,66.32,52.8,66.32,107.477,46.019,66.32,52.8,0.0
