,depot,INST0048_N5_N18_P000,INST0048_N5_N18_D000,INST0048_N5_N18_P001,INST0048_N5_N18_D001,INST0048_N5_N18_P002,INST0048_N5_N18_D002,INST0048_N5_N18_P003,INST0048_N5_N18_D003,INST0048_N5_N18_P004,INST0048_N5_N18_D004
depot,0.0,37.312,16.848,0.0,94.965,3.413,56.4,64.653,134.313,81.517,3.413
INST0048_N5_N18_P000,37.312,0.0,23.01,37.312,114.14,33.929,43.657,101.428,149.729,57.966,33.929
INST0048_N5_N18_D000,16.848,23.01,0.0,16.848,107.703,14.053,41.993,81.208,146.035,75.654,14.053
INST0048_N5_N18_P001,0.0,37.312,16.848,0.0,94.965,3.413,56.4,64.653,134.313,81.517,3.413
INST0048_N5_N18_D001,94.965,114.14,107.703,94.965,0.0,95.867,149.69,79.694,40.266,104.211,95.867
INST0048_N5_N18_P002,3.413,33.929,14.053,3.413,95.867,0.0,54.669,67.88,134.948,78.656,0.0
INST0048_N5_N18_D002,56.4,43.657,41.993,56.4,149.69,54.669,0.0,114.332,187.802,99.467,54.669
INST0048_N5_N18_P003,64.653,101.428,81.208,64.653,79.694,67.88,114.332,0.0,116.851,131.605,67.88
INST0048_N5_N18_D003,134.313,149.729,146.035,134.313,40.266,134.948,187.802,116.851,0.0,127.812,134.948
INST0048_N5_N18_P004,81.517,57.966,75.654,81.517,104.211,78.656,99.467,131.605,127.812,0.0,78.656
INST0048_N5_N18_D004,3.413,33.929,14.053,3.413,95.867,0.0,54.669,67.88,134.948,78.656,0.0
