,depot,INST0056_N5_S26_P000,INST0056_N5_S26_D000,INST0056_N5_S26_P001,INST0056_N5_S26_D001,INST0056_N5_S26_P002,INST0056_N5_S26_D002,INST0056_N5_S26_P003,INST0056_N5_S26_D003,INST0056_N5_S26_P004,INST0056_N5_S26_D004
depot,0.0,32.298,0.0,24.954,37.715,75.908,65.388,26.505,21.517,21.478,21.517
INST0056_N5_S26_P000,32.298,0.0,32.298,44.339,65.452,54.565,43.838,7.008,25.439,10.881,25.439
INST0056_N5_S26_D000,0.0,32.298,0.0,24.954,37.715,75.908,65.388,26.505,21.517,21.478,21.517
INST0056_N5_S26_P001,24.954,44.339,24.954,0.0,54.903,67.889,59.003,41.761,19.488,36.46,19.488
INST0056_N5_S26_D001,37.715,65.452,37.715,54.903,0.0,113.587,103.002,58.521,59.019,55.179,59.019
INST0056_N5_S26_P002,75.908,54.565,75.908,67.889,113.587,0.0,10.867,60.745,55.171,61.394,55.171
INST0056_N5_S26_D002,65.388,43.838,65.388,59.003,103.002,10.867,0.0,49.927,45.002,50.526,45.002
INST0056_N5_S26_P003,26.505,7.008,26.505,41.761,58.521,60.745,49.927,0.0,24.239,5.477,24.239
INST0056_N5_S26_D003,21.517,25.439,21.517,19.488,59.019,55.171,45.002,24.239,0.0,19.629,0.0
INST0056_N5_S26_P004,21.478,10.881,21.478,36.46,55.179,61.394,50.526,5.477,19.629,0.0,19.629
INST0056_N5_S26_D004,21.517,25.439,21.517,19.488,59.019,55.171,45.002,24.239,0.0,19.629,0.0
