,depot,INST0058_N5_W28_P000,INST0058_N5_W28_D000,INST0058_N5_W28_P001,INST0058_N5_W28_D001,INST0058_N5_W28_P002,INST0058_N5_W28_D002,INST0058_N5_W28_P003,INST0058_N5_W28_D003,INST0058_N5_W28_P004,INST0058_N5_W28_D004
depot,0.0,0.0,106.091,14.722,90.122,57.687,14.722,40.846,116.61,79.708,57.687
INST0058_N5_W28_P000,0.0,0.0,106.091,14.722,90.122,57.687,14.722,40.846,116.61,79.708,57.687
INST0058_N5_W28_D000,106.091,106.091,0.0,120.757,29.954,50.611,120.757,70.903,23.199,35.196,50.611
INST0058_N5_W28_P001,14.722,14.722,120.757,0.0,104.062,71.944,0.0,54.132,130.825,93.687,71.944
INST0058_N5_W28_D001,90.122,90.122,29.954,104.062,0.0,32.833,104.062,50.28,27.544,10.426,32.833
INST0058_N5_W28_P002,57.687,57.687,50.611,71.944,32.833,0.0,71.944,20.342,58.923,22.455,0.0
INST0058_N5_W28_D002,14.722,14.722,120.757,0.0,104.062,71.944,0.0,54.132,130.825,93.687,71.944
INST0058_N5_W28_P003,40.846,40.846,70.903,54.132,50.28,20.342,54.132,0.0,77.525,40.063,20.342
INST0058_N5_W28_D003,116.61,116.61,23.199,130.825,27.544,58.923,130.825,77.525,0.0,37.477,58.923
INST0058_N5_W28_P004,79.708,79.708,35.196,93.687,10.426,22.455,93.687,40.063,37.477,0.0,22.455
INST0058_N5_W28_D004,57.687,57.687,50.611,71.944,32.833,0.0,71.944,20.342,58.923,22.455,0.0
