,depot,INST0071_N8_S11_P000,INST0071_N8_S11_D000,INST0071_N8_S11_P001,INST0071_N8_S11_D001,INST0071_N8_S11_P002,INST0071_N8_S11_D002,INST0071_N8_S11_P003,INST0071_N8_S11_D003,INST0071_N8_S11_P004,INST0071_N8_S11_D004,INST0071_N8_S11_P005,INST0071_N8_S11_D005,INST0071_N8_S11_P006,INST0071_N8_S11_D006,INST0071_N8_S11_P007,INST0071_N8_S11_D007
depot,0.0,32.298,24.954,75.908,88.975,65.388,145.321,75.908,24.954,0.0,88.975,21.517,88.975,37.715,88.975,24.954,26.505
INST0071_N8_S11_P000,32.298,0.0,44.339,54.565,58.699,43.838,122.952,54.565,44.339,32.298,58.699,25.439,58.699,65.452,58.699,44.339,7.008
INST0071_N8_S11_D000,24.954,44.339,0.0,67.889,102.776,59.003,134.327,67.889,0.0,24.954,102.776,19.488,102.776,54.903,102.776,0.0,41.761
INST0071_N8_S11_P001,75.908,54.565,67.889,0.0,77.092,10.867,69.589,0.0,67.889,75.908,77.092,55.171,77.092,113.587,77.092,67.889,60.745
INST0071_N8_S11_D001,88.975,58.699,102.776,77.092,0.0,71.865,123.443,77.092,102.776,88.975,0.0,83.416,0.0,113.511,0.0,102.776,62.898
INST0071_N8_S11_P002,65.388,43.838,59.003,10.867,71.865,0.0,80.368,10.867,59.003,65.388,71.865,45.002,71.865,103.002,71.865,59.003,49.927
INST0071_N8_S11_D002,145.321,122.952,134.327,69.589,123.443,80.368,0.0,69.589,134.327,145.321,123.443,124.222,123.443,183.035,123.443,134.327,129.526
INST0071_N8_S11_P003,75.908,54.565,67.889,0.0,77.092,10.867,69.589,0.0,67.889,75.908,77.092,55.171,77.092,113.587,77.092,67.889,60.745
INST0071_N8_S11_D003,24.954,44.339,0.0,67.889,102.776,59.003,134.327,67.889,0.0,24.954,102.776,19.488,102.776,54.903,102.776,0.0,41.761
INST0071_N8_S11_P004,0.0,32.298,24.954,75.908,88.975,65.388,145.321,75.908,24.954,0.0,88.975,21.517,88.975,37.715,88.975,24.954,26.505
INST0071_N8_S11_D004,88.975,58.699,102.776,77.092,0.0,71.865,123.443,77.092,102.776,88.975,0.0,83.416,0.0,113.511,0.0,102.776,62.898
INST0071_N8_S11_P005,21.517,25.439,19.488,55.171,83.416,45.002,124.222,55.171,19.488,21.517,83.416,0.0,83.416,59.019,83.416,19.488,24.239
INST0071_N8_S11_D005,88.975,58.699,102.776,77.092,0.0,71.865,123.443,77.092,102.776,88.975,0.0,83.416,0.0,113.511,0.0,102.776,62.898
INST0071_N8_S11_P006,37.715,65.452,54.903,113.587,113.511,103.002,183.035,113.587,54.903,37.715,113.511,59.019,113.511,0.0,113.511,54.903,58.521
INST0071_N8_S11_D006,88.975,58.699,102.776,77.092,0.0,71.865,123.443,77.092,102.776,88.975,0.0,83.416,0.0,113.511,0.0,102.776,62.898
INST0071_N8_S11_P007,24.954,44.339,0.0,67.889,102.776,59.003,134.327,67.889,0.0,24.954,102.776,19.488,102.776,54.903,102.776,0.0,41.761
INST0071_N8_S11_D007,26.505,7.008,41.761,60.745,62.898,49.927,129.526,60.745,41.761,26.505,62.898,24.239,62.898,58.521,62.898,41.761,0.0
