,depot,INST0074_N8_S14_P000,INST0074_N8_S14_D000,INST0074_N8_S14_P001,INST0074_N8_S14_D001,INST0074_N8_S14_P002,INST0074_N8_S14_D002,INST0074_N8_S14_P003,INST0074_N8_S14_D003,INST0074_N8_S14_P004,INST0074_N8_S14_D004,INST0074_N8_S14_P005,INST0074_N8_S14_D005,INST0074_N8_S14_P006,INST0074_N8_S14_D006,INST0074_N8_S14_P007,INST0074_N8_S14_D007
depot,0.0,80.145,13.324,66.815,150.553,39.549,0.0,39.549,8.581,0.0,150.553,66.815,109.068,54.293,53.679,54.293,39.549
INST0074_N8_S14_P000,80.145,0.0,67.566,139.086,224.124,46.181,80.145,46.181,71.658,80.145,224.124,139.086,183.928,67.228,126.125,67.228,46.181
INST0074_N8_S14_D000,13.324,67.566,0.0,75.176,160.028,26.3,13.324,26.3,6.707,13.324,160.028,75.176,118.85,44.645,61.869,44.645,26.3
INST0074_N8_S14_P001,66.815,139.086,75.176,0.0,85.211,92.948,66.815,92.948,74.382,66.815,85.211,0.0,44.98,83.129,13.307,83.129,92.948
INST0074_N8_S14_D001,150.553,224.124,160.028,85.211,0.0,177.944,150.553,177.944,158.604,150.553,0.0,85.211,41.594,164.482,98.41,164.482,177.944
INST0074_N8_S14_P002,39.549,46.181,26.3,92.948,177.944,0.0,39.549,0.0,32.455,39.549,177.944,92.948,137.848,30.556,80.067,30.556,0.0
INST0074_N8_S14_D002,0.0,80.145,13.324,66.815,150.553,39.549,0.0,39.549,8.581,0.0,150.553,66.815,109.068,54.293,53.679,54.293,39.549
INST0074_N8_S14_P003,39.549,46.181,26.3,92.948,177.944,0.0,39.549,0.0,32.455,39.549,177.944,92.948,137.848,30.556,80.067,30.556,0.0
INST0074_N8_S14_D003,8.581,71.658,6.707,74.382,158.604,32.455,8.581,32.455,0.0,8.581,158.604,74.382,117.194,51.136,61.135,51.136,32.455
INST0074_N8_S14_P004,0.0,80.145,13.324,66.815,150.553,39.549,0.0,39.549,8.581,0.0,150.553,66.815,109.068,54.293,53.679,54.293,39.549
INST0074_N8_S14_D004,150.553,224.124,160.028,85.211,0.0,177.944,150.553,177.944,158.604,150.553,0.0,85.211,41.594,164.482,98.41,164.482,177.944
INST0074_N8_S14_P005,66.815,139.086,75.176,0.0,85.211,92.948,66.815,92.948,74.382,66.815,85.211,0.0,44.98,83.129,13.307,83.129,92.948
INST0074_N8_S14_D005,109.068,183.928,118.85,44.98,41.594,137.848,109.068,137.848,117.194,109.068,41.594,44.98,0.0,127.137,57.803,127.137,137.848
INST0074_N8_S14_P006,54.293,67.228,44.645,83.129,164.482,30.556,54.293,30.556,51.136,54.293,164.482,83.129,127.137,0.0,72.248,0.0,30.556
INST0074_N8_S14_D006,53.679,126.125,61.869,13.307,98.41,80.067,53.679,80.067,61.135,53.679,98.41,13.307,57.803,72.248,0.0,72.248,80.067
INST0074_N8_S14_P007,54.293,67.228,44.645,83.129,164.482,30.556,54.293,30.556,51.136,54.293,164.482,83.129,127.137,0.0,72.248,0.0,30.556
INST0074_N8_S14_D007,39.549,46.181,26.3,92.948,177.944,0.0,39.549,0.0,32.455,39.549,177.944,92.948,137.848,30.556,80.067,30.556,0.0
