,depot,INST0076_N8_W16_P000,INST0076_N8_W16_D000,INST0076_N8_W16_P001,INST0076_N8_W16_D001,INST0076_N8_W16_P002,INST0076_N8_W16_D002,INST0076_N8_W16_P003,INST0076_N8_W16_D003,INST0076_N8_W16_P004,INST0076_N8_W16_D004,INST0076_N8_W16_P005,INST0076_N8_W16_D005,INST0076_N8_W16_P006,INST0076_N8_W16_D006,INST0076_N8_W16_P007,INST0076_N8_W16_D007
depot,0.0,50.317,37.156,67.612,50.631,17.238,43.046,22.951,117.595,22.951,50.631,25.201,43.046,32.905,50.631,17.238,50.631
INST0076_N8_W16_P000,50.317,0.0,28.407,86.82,61.972,36.679,92.961,35.228,129.907,35.228,61.972,43.098,92.961,17.435,61.972,36.679,61.972
INST0076_N8_W16_D000,37.156,28.407,0.0,94.929,72.151,33.728,78.578,14.369,142.787,14.369,72.151,45.89,78.578,20.081,72.151,33.728,72.151
INST0076_N8_W16_P001,67.612,86.82,94.929,0.0,24.909,61.567,70.587,84.648,50.015,84.648,24.909,49.056,70.587,77.687,24.909,61.567,24.909
INST0076_N8_W16_D001,50.631,61.972,72.151,24.909,0.0,40.204,68.471,63.48,70.637,63.48,0.0,27.496,68.471,53.818,0.0,40.204,0.0
INST0076_N8_W16_P002,17.238,36.679,33.728,61.567,40.204,0.0,57.051,23.331,110.354,23.331,40.204,12.767,57.051,20.56,40.204,0.0,40.204
INST0076_N8_W16_D002,43.046,92.961,78.578,70.587,68.471,57.051,0.0,64.294,115.643,64.294,68.471,56.961,0.0,75.699,68.471,57.051,68.471
INST0076_N8_W16_P003,22.951,35.228,14.369,84.648,63.48,23.331,64.294,0.0,133.671,0.0,63.48,36.098,64.294,20.02,63.48,23.331,63.48
INST0076_N8_W16_D003,117.595,129.907,142.787,50.015,70.637,110.354,115.643,133.671,0.0,133.671,70.637,97.602,115.643,124.166,70.637,110.354,70.637
INST0076_N8_W16_P004,22.951,35.228,14.369,84.648,63.48,23.331,64.294,0.0,133.671,0.0,63.48,36.098,64.294,20.02,63.48,23.331,63.48
INST0076_N8_W16_D004,50.631,61.972,72.151,24.909,0.0,40.204,68.471,63.48,70.637,63.48,0.0,27.496,68.471,53.818,0.0,40.204,0.0
INST0076_N8_W16_P005,25.201,43.098,45.89,49.056,27.496,12.767,56.961,36.098,97.602,36.098,27.496,0.0,56.961,29.878,27.496,12.767,27.496
INST0076_N8_W16_D005,43.046,92.961,78.578,70.587,68.471,57.051,0.0,64.294,115.643,64.294,68.471,56.961,0.0,75.699,68.471,57.051,68.471
INST0076_N8_W16_P006,32.905,17.435,20.081,77.687,53.818,20.56,75.699,20.02,124.166,20.02,53.818,29.878,75.699,0.0,53.818,20.56,53.818
INST0076_N8_W16_D006,50.631,61.972,72.151,24.909,0.0,40.204,68.471,63.48,70.637,63.48,0.0,27.496,68.471,53.818,0.0,40.204,0.0
INST0076_N8_W16_P007,17.238,36.679,33.728,61.567,40.204,0.0,57.051,23.331,110.354,23.331,40.204,12.767,57.051,20.56,40.204,0.0,40.204
INST0076_N8_W16_D007,50.631,61.972,72.151,24.909,0.0,40.204,68.471,63.48,70.637,63.48,0.0,27.496,68.471,53.818,0.0,40.204,0.0
