,depot,INST0084_N8_N24_P000,INST0084_N8_N24_D000,INST0084_N8_N24_P001,INST0084_N8_N24_D001,INST0084_N8_N24_P002,INST0084_N8_N24_D002,INST0084_N8_N24_P003,INST0084_N8_N24_D003,INST0084_N8_N24_P004,INST0084_N8_N24_D004,INST0084_N8_N24_P005,INST0084_N8_N24_D005,INST0084_N8_N24_P006,INST0084_N8_N24_D006,INST0084_N8_N24_P007,INST0084_N8_N24_D007
depot,0.0,46.06,28.616,28.616,46.06,34.294,48.052,35.653,153.371,35.653,28.616,27.111,0.0,48.052,0.0,35.653,46.06
INST0084_N8_N24_P000,46.06,0.0,23.353,23.353,0.0,13.759,11.436,30.471,109.689,30.471,23.353,20.176,46.06,11.436,46.06,30.471,0.0
INST0084_N8_N24_D000,28.616,23.353,0.0,0.0,23.353,19.671,20.683,35.534,132.815,35.534,0.0,17.254,28.616,20.683,28.616,35.534,23.353
INST0084_N8_N24_P001,28.616,23.353,0.0,0.0,23.353,19.671,20.683,35.534,132.815,35.534,0.0,17.254,28.616,20.683,28.616,35.534,23.353
INST0084_N8_N24_D001,46.06,0.0,23.353,23.353,0.0,13.759,11.436,30.471,109.689,30.471,23.353,20.176,46.06,11.436,46.06,30.471,0.0
INST0084_N8_N24_P002,34.294,13.759,19.671,19.671,13.759,0.0,21.8,18.791,119.262,18.791,19.671,7.201,34.294,21.8,34.294,18.791,13.759
INST0084_N8_N24_D002,48.052,11.436,20.683,20.683,11.436,21.8,0.0,40.266,113.909,40.266,20.683,26.126,48.052,0.0,48.052,40.266,11.436
INST0084_N8_N24_P003,35.653,30.471,35.534,35.534,30.471,18.791,40.266,0.0,122.278,0.0,35.534,18.283,35.653,40.266,35.653,0.0,30.471
INST0084_N8_N24_D003,153.371,109.689,132.815,132.815,109.689,119.262,113.909,122.278,0.0,122.278,132.815,126.352,153.371,113.909,153.371,122.278,109.689
INST0084_N8_N24_P004,35.653,30.471,35.534,35.534,30.471,18.791,40.266,0.0,122.278,0.0,35.534,18.283,35.653,40.266,35.653,0.0,30.471
INST0084_N8_N24_D004,28.616,23.353,0.0,0.0,23.353,19.671,20.683,35.534,132.815,35.534,0.0,17.254,28.616,20.683,28.616,35.534,23.353
INST0084_N8_N24_P005,27.111,20.176,17.254,17.254,20.176,7.201,26.126,18.283,126.352,18.283,17.254,0.0,27.111,26.126,27.111,18.283,20.176
INST0084_N8_N24_D005,0.0,46.06,28.616,28.616,46.06,34.294,48.052,35.653,153.371,35.653,28.616,27.111,0.0,48.052,0.0,35.653,46.06
INST0084_N8_N24_P006,48.052,11.436,20.683,20.683,11.436,21.8,0.0,40.266,113.909,40.266,20.683,26.126,48.052,0.0,48.052,40.266,11.436
INST0084_N8_N24_D006,0.0,46.06,28.616,28.616,46.06,34.294,48.052,35.653,153.371,35.653,28.616,27.111,0.0,48.052,0.0,35.653,46.06
INST0084_N8_N24_P007,35.653,30.471,35.534,35.534,30.471,18.791,40.266,0.0,122.278,0.0,35.534,18.283,35.653,40.266,35.653,0.0,30.471
INST0084_N8_N24_D007,46.06,0.0,23.353,23.353,0.0,13.759,11.436,30.471,109.689,30.471,23.353,20.176,46.06,11.436,46.06,30.471,0.0
