,depot,INST0087_N8_N27_P000,INST0087_N8_N27_D000,INST0087_N8_N27_P001,INST0087_N8_N27_D001,INST0087_N8_N27_P002,INST0087_N8_N27_D002,INST0087_N8_N27_P003,INST0087_N8_N27_D003,INST0087_N8_N27_P004,INST0087_N8_N27_D004,INST0087_N8_N27_P005,INST0087_N8_N27_D005,INST0087_N8_N27_P006,INST0087_N8_N27_D006,INST0087_N8_N27_P007,INST0087_N8_N27_D007
depot,0.0,49.306,37.312,43.657,37.312,49.306,37.312,23.01,37.312,33.929,0.0,33.929,22.387,43.657,0.0,23.01,43.657
INST0087_N8_N27_P000,49.306,0.0,14.003,58.839,14.003,0.0,14.003,26.694,14.003,17.072,49.306,17.072,31.992,58.839,49.306,26.694,58.839
INST0087_N8_N27_D000,37.312,14.003,0.0,56.4,0.0,14.003,0.0,16.848,0.0,3.413,37.312,3.413,24.705,56.4,37.312,16.848,56.4
INST0087_N8_N27_P001,43.657,58.839,56.4,0.0,56.4,58.839,56.4,41.993,56.4,54.669,43.657,54.669,33.197,0.0,43.657,41.993,0.0
INST0087_N8_N27_D001,37.312,14.003,0.0,56.4,0.0,14.003,0.0,16.848,0.0,3.413,37.312,3.413,24.705,56.4,37.312,16.848,56.4
INST0087_N8_N27_P002,49.306,0.0,14.003,58.839,14.003,0.0,14.003,26.694,14.003,17.072,49.306,17.072,31.992,58.839,49.306,26.694,58.839
INST0087_N8_N27_D002,37.312,14.003,0.0,56.4,0.0,14.003,0.0,16.848,0.0,3.413,37.312,3.413,24.705,56.4,37.312,16.848,56.4
INST0087_N8_N27_P003,23.01,26.694,16.848,41.993,16.848,26.694,16.848,0.0,16.848,14.053,23.01,14.053,8.817,41.993,23.01,0.0,41.993
INST0087_N8_N27_D003,37.312,14.003,0.0,56.4,0.0,14.003,0.0,16.848,0.0,3.413,37.312,3.413,24.705,56.4,37.312,16.848,56.4
INST0087_N8_N27_P004,33.929,17.072,3.413,54.669,3.413,17.072,3.413,14.053,3.413,0.0,33.929,0.0,22.322,54.669,33.929,14.053,54.669
INST0087_N8_N27_D004,0.0,49.306,37.312,43.657,37.312,49.306,37.312,23.01,37.312,33.929,0.0,33.929,22.387,43.657,0.0,23.01,43.657
INST0087_N8_N27_P005,33.929,17.072,3.413,54.669,3.413,17.072,3.413,14.053,3.413,0.0,33.929,0.0,22.322,54.669,33.929,14.053,54.669
INST0087_N8_N27_D005,22.387,31.992,24.705,33.197,24.705,31.992,24.705,8.817,24.705,22.322,22.387,22.322,0.0,33.197,22.387,8.817,33.197
INST0087_N8_N27_P006,43.657,58.839,56.4,0.0,56.4,58.839,56.4,41.993,56.4,54.669,43.657,54.669,33.197,0.0,43.657,41.993,0.0
INST0087_N8_N27_D006,0.0,49.306,37.312,43.657,37.312,49.306,37.312,23.01,37.312,33.929,0.0,33.929,22.387,43.657,0.0,23.01,43.657
INST0087_N8_N27_P007,23.01,26.694,16.848,41.993,16.848,26.694,16.848,0.0,16.848,14.053,23.01,14.053,8.817,41.993,23.01,0.0,41.993
INST0087_N8_N27_D007,43.657,58.839,56.4,0.0,56.4,58.839,56.4,41.993,56.4,54.669,43.657,54.669,33.197,0.0,43.657,41.993,0.0
