,depot,INST0088_N8_W28_P000,INST0088_N8_W28_D000,INST0088_N8_W28_P001,INST0088_N8_W28_D001,INST0088_N8_W28_P002,INST0088_N8_W28_D002,INST0088_N8_W28_P003,INST0088_N8_W28_D003,INST0088_N8_W28_P004,INST0088_N8_W28_D004,INST0088_N8_W28_P005,INST0088_N8_W28_D005,INST0088_N8_W28_P006,INST0088_N8_W28_D006,INST0088_N8_W28_P007,INST0088_N8_W28_D007
depot,0.0,40.846,109.164,40.846,96.036,40.846,96.036,40.846,14.722,14.722,90.122,40.846,0.0,0.0,109.164,0.0,101.402
INST0088_N8_W28_P000,40.846,0.0,69.129,0.0,55.217,0.0,55.217,0.0,54.132,54.132,50.28,0.0,40.846,40.846,69.129,40.846,63.444
INST0088_N8_W28_D000,109.164,69.129,0.0,69.129,18.744,69.129,18.744,69.129,123.055,123.055,19.054,69.129,109.164,109.164,0.0,109.164,16.35
INST0088_N8_W28_P001,40.846,0.0,69.129,0.0,55.217,0.0,55.217,0.0,54.132,54.132,50.28,0.0,40.846,40.846,69.129,40.846,63.444
INST0088_N8_W28_D001,96.036,55.217,18.744,55.217,0.0,55.217,0.0,55.217,109.245,109.245,14.077,55.217,96.036,96.036,18.744,96.036,26.872
INST0088_N8_W28_P002,40.846,0.0,69.129,0.0,55.217,0.0,55.217,0.0,54.132,54.132,50.28,0.0,40.846,40.846,69.129,40.846,63.444
INST0088_N8_W28_D002,96.036,55.217,18.744,55.217,0.0,55.217,0.0,55.217,109.245,109.245,14.077,55.217,96.036,96.036,18.744,96.036,26.872
INST0088_N8_W28_P003,40.846,0.0,69.129,0.0,55.217,0.0,55.217,0.0,54.132,54.132,50.28,0.0,40.846,40.846,69.129,40.846,63.444
INST0088_N8_W28_D003,14.722,54.132,123.055,54.132,109.245,54.132,109.245,54.132,0.0,0.0,104.062,54.132,14.722,14.722,123.055,14.722,115.807
INST0088_N8_W28_P004,14.722,54.132,123.055,54.132,109.245,54.132,109.245,54.132,0.0,0.0,104.062,54.132,14.722,14.722,123.055,14.722,115.807
INST0088_N8_W28_D004,90.122,50.28,19.054,50.28,14.077,50.28,14.077,50.28,104.062,104.062,0.0,50.28,90.122,90.122,19.054,90.122,16.791
INST0088_N8_W28_P005,40.846,0.0,69.129,0.0,55.217,0.0,55.217,0.0,54.132,54.132,50.28,0.0,40.846,40.846,69.129,40.846,63.444
INST0088_N8_W28_D005,0.0,40.846,109.164,40.846,96.036,40.846,96.036,40.846,14.722,14.722,90.122,40.846,0.0,0.0,109.164,0.0,101.402
INST0088_N8_W28_P006,0.0,40.846,109.164,40.846,96.036,40.846,96.036,40.846,14.722,14.722,90.122,40.846,0.0,0.0,109.164,0.0,101.402
INST0088_N8_W28_D006,109.164,69.129,0.0,69.129,18.744,69.129,18.744,69.129,123.055,123.055,19.054,69.129,109.164,109.164,0.0,109.164,16.35
INST0088_N8_W28_P007,0.0,40.846,109.164,40.846,96.036,40.846,96.036,40.846,14.722,14.722,90.122,40.846,0.0,0.0,109.164,0.0,101.402
INST0088_N8_W28_D007,101.402,63.444,16.35,63.444,26.872,63.444,26.872,63.444,115.807,115.807,16.791,63.444,101.402,101.402,16.35,101.402,0.0
