,depot,INST0091_N10_W01_P000,INST0091_N10_W01_D000,INST0091_N10_W01_P001,INST0091_N10_W01_D001,INST0091_N10_W01_P002,INST0091_N10_W01_D002,INST0091_N10_W01_P003,INST0091_N10_W01_D003,INST0091_N10_W01_P004,INST0091_N10_W01_D004,INST0091_N10_W01_P005,INST0091_N10_W01_D005,INST0091_N10_W01_P006,INST0091_N10_W01_D006,INST0091_N10_W01_P007,INST0091_N10_W01_D007,INST0091_N10_W01_P008,INST0091_N10_W01_D008,INST0091_N10_W01_P009,INST0091_N10_W01_D009
depot,0.0,0.0,43.046,50.317,17.238,67.612,50.631,50.317,180.319,0.0,43.046,50.317,67.612,50.317,180.319,22.951,43.046,0.0,43.046,67.612,32.905
INST0091_N10_W01_P000,0.0,0.0,43.046,50.317,17.238,67.612,50.631,50.317,180.319,0.0,43.046,50.317,67.612,50.317,180.319,22.951,43.046,0.0,43.046,67.612,32.905
INST0091_N10_W01_D000,43.046,43.046,0.0,92.961,57.051,70.587,68.471,92.961,219.073,43.046,0.0,92.961,70.587,92.961,219.073,64.294,0.0,43.046,0.0,70.587,75.699
INST0091_N10_W01_P001,50.317,50.317,92.961,0.0,36.679,86.82,61.972,0.0,133.358,50.317,92.961,0.0,86.82,0.0,133.358,35.228,92.961,50.317,92.961,86.82,17.435
INST0091_N10_W01_D001,17.238,17.238,57.051,36.679,0.0,61.567,40.204,36.679,163.588,17.238,57.051,36.679,61.567,36.679,163.588,23.331,57.051,17.238,57.051,61.567,20.56
INST0091_N10_W01_P002,67.612,67.612,70.587,86.82,61.567,0.0,24.909,86.82,176.253,67.612,70.587,86.82,0.0,86.82,176.253,84.648,70.587,67.612,70.587,0.0,77.687
INST0091_N10_W01_D002,50.631,50.631,68.471,61.972,40.204,24.909,0.0,61.972,159.2,50.631,68.471,61.972,24.909,61.972,159.2,63.48,68.471,50.631,68.471,24.909,53.818
INST0091_N10_W01_P003,50.317,50.317,92.961,0.0,36.679,86.82,61.972,0.0,133.358,50.317,92.961,0.0,86.82,0.0,133.358,35.228,92.961,50.317,92.961,86.82,17.435
INST0091_N10_W01_D003,180.319,180.319,219.073,133.358,163.588,176.253,159.2,133.358,0.0,180.319,219.073,133.358,176.253,133.358,0.0,168.582,219.073,180.319,219.073,176.253,149.638
INST0091_N10_W01_P004,0.0,0.0,43.046,50.317,17.238,67.612,50.631,50.317,180.319,0.0,43.046,50.317,67.612,50.317,180.319,22.951,43.046,0.0,43.046,67.612,32.905
INST0091_N10_W01_D004,43.046,43.046,0.0,92.961,57.051,70.587,68.471,92.961,219.073,43.046,0.0,92.961,70.587,92.961,219.073,64.294,0.0,43.046,0.0,70.587,75.699
INST0091_N10_W01_P005,50.317,50.317,92.961,0.0,36.679,86.82,61.972,0.0,133.358,50.317,92.961,0.0,86.82,0.0,133.358,35.228,92.961,50.317,92.961,86.82,17.435
INST0091_N10_W01_D005,67.612,67.612,70.587,86.82,61.567,0.0,24.909,86.82,176.253,67.612,70.587,86.82,0.0,86.82,176.253,84.648,70.587,67.612,70.587,0.0,77.687
INST0091_N10_W01_P006,50.317,50.317,92.961,0.0,36.679,86.82,61.972,0.0,133.358,50.317,92.961,0.0,86.82,0.0,133.358,35.228,92.961,50.317,92.961,86.82,17.435
INST0091_N10_W01_D006,180.319,180.319,219.073,133.358,163.588,176.253,159.2,133.358,0.0,180.319,219.073,133.358,176.253,133.358,0.0,168.582,219.073,180.319,219.073,176.253,149.638
INST0091_N10_W01_P007,22.951,22.951,64.294,35.228,23.331,84.648,63.48,35.228,168.582,22.951,64.294,35.228,84.648,35.228,168.582,0.0,64.294,22.951,64.294,84.648,20.02
INST0091_N10_W01_D007,43.046,43.046,0.0,92.961,57.051,70.587,68.471,92.961,219.073,43.046,0.0,92.961,70.587,92.961,219.073,64.294,0.0,43.046,0.0,70.587,75.699
INST0091_N10_W01_P008,0.0,0.0,43.046,50.317,17.238,67.612,50.631,50.317,180.319,0.0,43.046,50.317,67.612,50.317,180.319,22.951,43.046,0.0,43.046,67.612,32.905
INST0091_N10_W01_D008,43.046,43.046,0.0,92.961,57.051,70.587,68.471,92.961,219.073,43.046,0.0,92.961,70.587,92.961,219.073,64.294,0.0,43.046,0.0,70.587,75.699
INST0091_N10_W01_P009,67.612,67.612,70.587,86.82,61.567,0.0,24.909,86.82,176.253,67.612,70.587,86.82,0.0,86.82,176.253,84.648,70.587,67.612,70.587,0.0,77.687
INST0091_N10_W01_D009,32.905,32.905,75.699,17.435,20.56,77.687,53.818,17.435,149.638,32.905,75.699,17.435,77.687,17.435,149.638,20.02,75.699,32.905,75.699,77.687,0.0
