,depot,INST0095_N10_S05_P000,INST0095_N10_S05_D000,INST0095_N10_S05_P001,INST0095_N10_S05_D001,INST0095_N10_S05_P002,INST0095_N10_S05_D002,INST0095_N10_S05_P003,INST0095_N10_S05_D003,INST0095_N10_S05_P004,INST0095_N10_S05_D004,INST0095_N10_S05_P005,INST0095_N10_S05_D005,INST0095_N10_S05_P006,INST0095_N10_S05_D006,INST0095_N10_S05_P007,INST0095_N10_S05_D007,INST0095_N10_S05_P008,INST0095_N10_S05_D008,INST0095_N10_S05_P009,INST0095_N10_S05_D009
depot,0.0,61.869,24.036,24.036,44.645,75.176,83.656,61.869,160.028,83.656,75.176,24.036,61.869,24.036,13.324,61.869,26.3,83.656,13.324,6.707,83.656
INST0095_N10_S05_P000,61.869,0.0,55.105,55.105,72.248,13.307,87.998,0.0,98.41,87.998,13.307,55.105,0.0,55.105,53.679,0.0,80.067,87.998,53.679,61.135,87.998
INST0095_N10_S05_D000,24.036,55.105,0.0,0.0,23.863,67.557,102.142,55.105,152.108,102.142,67.557,0.0,55.105,0.0,31.149,55.105,26.348,102.142,31.149,29.68,102.142
INST0095_N10_S05_P001,24.036,55.105,0.0,0.0,23.863,67.557,102.142,55.105,152.108,102.142,67.557,0.0,55.105,0.0,31.149,55.105,26.348,102.142,31.149,29.68,102.142
INST0095_N10_S05_D001,44.645,72.248,23.863,23.863,0.0,83.129,125.848,72.248,164.482,125.848,83.129,23.863,72.248,23.863,54.293,72.248,30.556,125.848,54.293,51.136,125.848
INST0095_N10_S05_P002,75.176,13.307,67.557,67.557,83.129,0.0,94.398,13.307,85.211,94.398,0.0,67.557,13.307,67.557,66.815,13.307,92.948,94.398,66.815,74.382,94.398
INST0095_N10_S05_D002,83.656,87.998,102.142,102.142,125.848,94.398,0.0,87.998,151.155,0.0,94.398,102.142,87.998,102.142,71.877,87.998,108.949,0.0,71.877,77.018,0.0
INST0095_N10_S05_P003,61.869,0.0,55.105,55.105,72.248,13.307,87.998,0.0,98.41,87.998,13.307,55.105,0.0,55.105,53.679,0.0,80.067,87.998,53.679,61.135,87.998
INST0095_N10_S05_D003,160.028,98.41,152.108,152.108,164.482,85.211,151.155,98.41,0.0,151.155,85.211,152.108,98.41,152.108,150.553,98.41,177.944,151.155,150.553,158.604,151.155
INST0095_N10_S05_P004,83.656,87.998,102.142,102.142,125.848,94.398,0.0,87.998,151.155,0.0,94.398,102.142,87.998,102.142,71.877,87.998,108.949,0.0,71.877,77.018,0.0
INST0095_N10_S05_D004,75.176,13.307,67.557,67.557,83.129,0.0,94.398,13.307,85.211,94.398,0.0,67.557,13.307,67.557,66.815,13.307,92.948,94.398,66.815,74.382,94.398
INST0095_N10_S05_P005,24.036,55.105,0.0,0.0,23.863,67.557,102.142,55.105,152.108,102.142,67.557,0.0,55.105,0.0,31.149,55.105,26.348,102.142,31.149,29.68,102.142
INST0095_N10_S05_D005,61.869,0.0,55.105,55.105,72.248,13.307,87.998,0.0,98.41,87.998,13.307,55.105,0.0,55.105,53.679,0.0,80.067,87.998,53.679,61.135,87.998
INST0095_N10_S05_P006,24.036,55.105,0.0,0.0,23.863,67.557,102.142,55.105,152.108,102.142,67.557,0.0,55.105,0.0,31.149,55.105,26.348,102.142,31.149,29.68,102.142
INST0095_N10_S05_D006,13.324,53.679,31.149,31.149,54.293,66.815,71.877,53.679,150.553,71.877,66.815,31.149,53.679,31.149,0.0,53.679,39.549,71.877,0.0,8.581,71.877
INST0095_N10_S05_P007,61.869,0.0,55.105,55.105,72.248,13.307,87.998,0.0,98.41,87.998,13.307,55.105,0.0,55.105,53.679,0.0,80.067,87.998,53.679,61.135,87.998
INST0095_N10_S05_D007,26.3,80.067,26.348,26.348,30.556,92.948,108.949,80.067,177.944,108.949,92.948,26.348,80.067,26.348,39.549,80.067,0.0,108.949,39.549,32.455,108.949
INST0095_N10_S05_P008,83.656,87.998,102.142,102.142,125.848,94.398,0.0,87.998,151.155,0.0,94.398,102.142,87.998,102.142,71.877,87.998,108.949,0.0,71.877,77.018,0.0
INST0095_N10_S05_D008,13.324,53.679,31.149,31.149,54.293,66.815,71.877,53.679,150.553,71.877,66.815,31.149,53.679,31.149,0.0,53.679,39.549,71.877,0.0,8.581,71.877
INST0095_N10_S05_P009,6.707,61.135,29.68,29.68,51.136,74.382,77.018,61.135,158.604,77.018,74.382,29.68,61.135,29.68,8.581,61.135,32.455,77.018,8.581,0.0,77.018
INST0095_N10_S05_D009,83.656,87.998,102.142,102.142,125.848,94.398,0.0,87.998,151.155,0.0,94.398,102.142,87.998,102.142,71.877,87.998,108.949,0.0,71.877,77.018,0.0
