,depot,INST0100_N10_W10_P000,INST0100_N10_W10_D000,INST0100_N10_W10_P001,INST0100_N10_W10_D001,INST0100_N10_W10_P002,INST0100_N10_W10_D002,INST0100_N10_W10_P003,INST0100_N10_W10_D003,INST0100_N10_W10_P004,INST0100_N10_W10_D004,INST0100_N10_W10_P005,INST0100_N10_W10_D005,INST0100_N10_W10_P006,INST0100_N10_W10_D006,INST0100_N10_W10_P007,INST0100_N10_W10_D007,INST0100_N10_W10_P008,INST0100_N10_W10_D008,INST0100_N10_W10_P009,INST0100_N10_W10_D009
depot,0.0,19.054,18.744,51.842,29.48,52.507,51.842,51.842,28.769,16.35,52.507,16.35,51.842,16.35,52.507,18.744,29.48,18.744,52.507,0.0,19.054
INST0100_N10_W10_P000,19.054,0.0,14.077,32.833,10.426,46.592,32.833,32.833,29.954,16.791,46.592,16.791,32.833,16.791,46.592,14.077,10.426,14.077,46.592,19.054,0.0
INST0100_N10_W10_D000,18.744,14.077,0.0,41.349,20.581,35.155,41.349,41.349,41.092,26.872,35.155,26.872,41.349,26.872,35.155,0.0,20.581,0.0,35.155,18.744,14.077
INST0100_N10_W10_P001,51.842,32.833,41.349,0.0,22.455,55.918,0.0,0.0,50.611,43.952,55.918,43.952,0.0,43.952,55.918,41.349,22.455,41.349,55.918,51.842,32.833
INST0100_N10_W10_D001,29.48,10.426,20.581,22.455,0.0,46.518,22.455,22.455,35.196,24.4,46.518,24.4,22.455,24.4,46.518,20.581,0.0,20.581,46.518,29.48,10.426
INST0100_N10_W10_P002,52.507,46.592,35.155,55.918,46.518,0.0,55.918,55.918,75.918,61.821,0.0,61.821,55.918,61.821,0.0,35.155,46.518,35.155,0.0,52.507,46.592
INST0100_N10_W10_D002,51.842,32.833,41.349,0.0,22.455,55.918,0.0,0.0,50.611,43.952,55.918,43.952,0.0,43.952,55.918,41.349,22.455,41.349,55.918,51.842,32.833
INST0100_N10_W10_P003,51.842,32.833,41.349,0.0,22.455,55.918,0.0,0.0,50.611,43.952,55.918,43.952,0.0,43.952,55.918,41.349,22.455,41.349,55.918,51.842,32.833
INST0100_N10_W10_D003,28.769,29.954,41.092,50.611,35.196,75.918,50.611,50.611,0.0,14.239,75.918,14.239,50.611,14.239,75.918,41.092,35.196,41.092,75.918,28.769,29.954
INST0100_N10_W10_P004,16.35,16.791,26.872,43.952,24.4,61.821,43.952,43.952,14.239,0.0,61.821,0.0,43.952,0.0,61.821,26.872,24.4,26.872,61.821,16.35,16.791
INST0100_N10_W10_D004,52.507,46.592,35.155,55.918,46.518,0.0,55.918,55.918,75.918,61.821,0.0,61.821,55.918,61.821,0.0,35.155,46.518,35.155,0.0,52.507,46.592
INST0100_N10_W10_P005,16.35,16.791,26.872,43.952,24.4,61.821,43.952,43.952,14.239,0.0,61.821,0.0,43.952,0.0,61.821,26.872,24.4,26.872,61.821,16.35,16.791
INST0100_N10_W10_D005,51.842,32.833,41.349,0.0,22.455,55.918,0.0,0.0,50.611,43.952,55.918,43.952,0.0,43.952,55.918,41.349,22.455,41.349,55.918,51.842,32.833
INST0100_N10_W10_P006,16.35,16.791,26.872,43.952,24.4,61.821,43.952,43.952,14.239,0.0,61.821,0.0,43.952,0.0,61.821,26.872,24.4,26.872,61.821,16.35,16.791
INST0100_N10_W10_D006,52.507,46.592,35.155,55.918,46.518,0.0,55.918,55.918,75.918,61.821,0.0,61.821,55.918,61.821,0.0,35.155,46.518,35.155,0.0,52.507,46.592
INST0100_N10_W10_P007,18.744,14.077,0.0,41.349,20.581,35.155,41.349,41.349,41.092,26.872,35.155,26.872,41.349,26.872,35.155,0.0,20.581,0.0,35.155,18.744,14.077
INST0100_N10_W10_D007,29.48,10.426,20.581,22.455,0.0,46.518,22.455,22.455,35.196,24.4,46.518,24.4,22.455,24.4,46.518,20.581,0.0,20.581,46.518,29.48,10.426
INST0100_N10_W10_P008,18.744,14.077,0.0,41.349,20.581,35.155,41.349,41.349,41.092,26.872,35.155,26.872,41.349,26.872,35.155,0.0,20.581,0.0,35.155,18.744,14.077
INST0100_N10_W10_D008,52.507,46.592,35.155,55.918,46.518,0.0,55.918,55.918,75.918,61.821,0.0,61.821,55.918,61.821,0.0,35.155,46.518,35.155,0.0,52.507,46.592
INST0100_N10_W10_P009,0.0,19.054,18.744,51.842,29.48,52.507,51.842,51.842,28.769,16.35,52.507,16.35,51.842,16.35,52.507,18.744,29.48,18.744,52.507,0.0,19.054
INST0100_N10_W10_D009,19.054,0.0,14.077,32.833,10.426,46.592,32.833,32.833,29.954,16.791,46.592,16.791,32.833,16.791,46.592,14.077,10.426,14.077,46.592,19.054,0.0
