,depot,INST0105_N10_N15_P000,INST0105_N10_N15_D000,INST0105_N10_N15_P001,INST0105_N10_N15_D001,INST0105_N10_N15_P002,INST0105_N10_N15_D002,INST0105_N10_N15_P003,INST0105_N10_N15_D003,INST0105_N10_N15_P004,INST0105_N10_N15_D004,INST0105_N10_N15_P005,INST0105_N10_N15_D005,INST0105_N10_N15_P006,INST0105_N10_N15_D006,INST0105_N10_N15_P007,INST0105_N10_N15_D007,INST0105_N10_N15_P008,INST0105_N10_N15_D008,INST0105_N10_N15_P009,INST0105_N10_N15_D009
depot,0.0,0.0,107.703,75.654,107.703,24.088,164.529,16.848,24.088,0.0,24.088,41.993,16.848,81.208,0.0,41.993,16.848,24.088,16.848,23.01,16.848
INST0105_N10_N15_P000,0.0,0.0,107.703,75.654,107.703,24.088,164.529,16.848,24.088,0.0,24.088,41.993,16.848,81.208,0.0,41.993,16.848,24.088,16.848,23.01,16.848
INST0105_N10_N15_D000,107.703,107.703,0.0,104.211,0.0,122.983,272.117,94.965,122.983,107.703,122.983,149.69,94.965,79.694,107.703,149.69,94.965,122.983,94.965,114.14,94.965
INST0105_N10_N15_P001,75.654,75.654,104.211,0.0,104.211,99.392,203.198,81.517,99.392,75.654,99.392,99.467,81.517,131.605,75.654,99.467,81.517,99.392,81.517,57.966,81.517
INST0105_N10_N15_D001,107.703,107.703,0.0,104.211,0.0,122.983,272.117,94.965,122.983,107.703,122.983,149.69,94.965,79.694,107.703,149.69,94.965,122.983,94.965,114.14,94.965
INST0105_N10_N15_P002,24.088,24.088,122.983,99.392,122.983,0.0,153.452,28.595,0.0,24.088,0.0,35.041,28.595,79.42,24.088,35.041,28.595,0.0,28.595,43.511,28.595
INST0105_N10_N15_D002,164.529,164.529,272.117,203.198,272.117,153.452,0.0,178.677,153.452,164.529,153.452,122.582,178.677,229.986,164.529,122.582,178.677,153.452,178.677,160.581,178.677
INST0105_N10_N15_P003,16.848,16.848,94.965,81.517,94.965,28.595,178.677,0.0,28.595,16.848,28.595,56.4,0.0,64.653,16.848,56.4,0.0,28.595,0.0,37.312,0.0
INST0105_N10_N15_D003,24.088,24.088,122.983,99.392,122.983,0.0,153.452,28.595,0.0,24.088,0.0,35.041,28.595,79.42,24.088,35.041,28.595,0.0,28.595,43.511,28.595
INST0105_N10_N15_P004,0.0,0.0,107.703,75.654,107.703,24.088,164.529,16.848,24.088,0.0,24.088,41.993,16.848,81.208,0.0,41.993,16.848,24.088,16.848,23.01,16.848
INST0105_N10_N15_D004,24.088,24.088,122.983,99.392,122.983,0.0,153.452,28.595,0.0,24.088,0.0,35.041,28.595,79.42,24.088,35.041,28.595,0.0,28.595,43.511,28.595
INST0105_N10_N15_P005,41.993,41.993,149.69,99.467,149.69,35.041,122.582,56.4,35.041,41.993,35.041,0.0,56.4,114.332,41.993,0.0,56.4,35.041,56.4,43.657,56.4
INST0105_N10_N15_D005,16.848,16.848,94.965,81.517,94.965,28.595,178.677,0.0,28.595,16.848,28.595,56.4,0.0,64.653,16.848,56.4,0.0,28.595,0.0,37.312,0.0
INST0105_N10_N15_P006,81.208,81.208,79.694,131.605,79.694,79.42,229.986,64.653,79.42,81.208,79.42,114.332,64.653,0.0,81.208,114.332,64.653,79.42,64.653,101.428,64.653
INST0105_N10_N15_D006,0.0,0.0,107.703,75.654,107.703,24.088,164.529,16.848,24.088,0.0,24.088,41.993,16.848,81.208,0.0,41.993,16.848,24.088,16.848,23.01,16.848
INST0105_N10_N15_P007,41.993,41.993,149.69,99.467,149.69,35.041,122.582,56.4,35.041,41.993,35.041,0.0,56.4,114.332,41.993,0.0,56.4,35.041,56.4,43.657,56.4
INST0105_N10_N15_D007,16.848,16.848,94.965,81.517,94.965,28.595,178.677,0.0,28.595,16.848,28.595,56.4,0.0,64.653,16.848,56.4,0.0,28.595,0.0,37.312,0.0
INST0105_N10_N15_P008,24.088,24.088,122.983,99.392,122.983,0.0,153.452,28.595,0.0,24.088,0.0,35.041,28.595,79.42,24.088,35.041,28.595,0.0,28.595,43.511,28.595
INST0105_N10_N15_D008,16.848,16.848,94.965,81.517,94.965,28.595,178.677,0.0,28.595,16.848,28.595,56.4,0.0,64.653,16.848,56.4,0.0,28.595,0.0,37.312,0.0
INST0105_N10_N15_P009,23.01,23.01,114.14,57.966,114.14,43.511,160.581,37.312,43.511,23.01,43.511,43.657,37.312,101.428,23.01,43.657,37.312,43.511,37.312,0.0,37.312
INST0105_N10_N15_D009,16.848,16.848,94.965,81.517,94.965,28.595,178.677,0.0,28.595,16.848,28.595,56.4,0.0,64.653,16.848,56.4,0.0,28.595,0.0,37.312,0.0
