,depot,INST0107_N10_S17_P000,INST0107_N10_S17_D000,INST0107_N10_S17_P001,INST0107_N10_S17_D001,INST0107_N10_S17_P002,INST0107_N10_S17_D002,INST0107_N10_S17_P003,INST0107_N10_S17_D003,INST0107_N10_S17_P004,INST0107_N10_S17_D004,INST0107_N10_S17_P005,INST0107_N10_S17_D005,INST0107_N10_S17_P006,INST0107_N10_S17_D006,INST0107_N10_S17_P007,INST0107_N10_S17_D007,INST0107_N10_S17_P008,INST0107_N10_S17_D008,INST0107_N10_S17_P009,INST0107_N10_S17_D009
depot,0.0,19.488,21.517,55.171,24.239,0.0,91.902,19.629,21.517,21.517,19.629,55.171,45.002,0.0,25.439,19.488,21.517,45.002,59.019,19.629,59.019
INST0107_N10_S17_P000,19.488,0.0,24.954,67.889,41.761,19.488,103.829,36.46,24.954,24.954,36.46,67.889,59.003,19.488,44.339,0.0,24.954,59.003,54.903,36.46,54.903
INST0107_N10_S17_D000,21.517,24.954,0.0,75.908,26.505,21.517,112.576,21.478,0.0,0.0,21.478,75.908,65.388,21.517,32.298,24.954,0.0,65.388,37.715,21.478,37.715
INST0107_N10_S17_P001,55.171,67.889,75.908,0.0,60.745,55.171,36.733,61.394,75.908,75.908,61.394,0.0,10.867,55.171,54.565,67.889,75.908,10.867,113.587,61.394,113.587
INST0107_N10_S17_D001,24.239,41.761,26.505,60.745,0.0,24.239,95.708,5.477,26.505,26.505,5.477,60.745,49.927,24.239,7.008,41.761,26.505,49.927,58.521,5.477,58.521
INST0107_N10_S17_P002,0.0,19.488,21.517,55.171,24.239,0.0,91.902,19.629,21.517,21.517,19.629,55.171,45.002,0.0,25.439,19.488,21.517,45.002,59.019,19.629,59.019
INST0107_N10_S17_D002,91.902,103.829,112.576,36.733,95.708,91.902,0.0,97.061,112.576,112.576,97.061,36.733,47.206,91.902,89.072,103.829,112.576,47.206,150.208,97.061,150.208
INST0107_N10_S17_P003,19.629,36.46,21.478,61.394,5.477,19.629,97.061,0.0,21.478,21.478,0.0,61.394,50.526,19.629,10.881,36.46,21.478,50.526,55.179,0.0,55.179
INST0107_N10_S17_D003,21.517,24.954,0.0,75.908,26.505,21.517,112.576,21.478,0.0,0.0,21.478,75.908,65.388,21.517,32.298,24.954,0.0,65.388,37.715,21.478,37.715
INST0107_N10_S17_P004,21.517,24.954,0.0,75.908,26.505,21.517,112.576,21.478,0.0,0.0,21.478,75.908,65.388,21.517,32.298,24.954,0.0,65.388,37.715,21.478,37.715
INST0107_N10_S17_D004,19.629,36.46,21.478,61.394,5.477,19.629,97.061,0.0,21.478,21.478,0.0,61.394,50.526,19.629,10.881,36.46,21.478,50.526,55.179,0.0,55.179
INST0107_N10_S17_P005,55.171,67.889,75.908,0.0,60.745,55.171,36.733,61.394,75.908,75.908,61.394,0.0,10.867,55.171,54.565,67.889,75.908,10.867,113.587,61.394,113.587
INST0107_N10_S17_D005,45.002,59.003,65.388,10.867,49.927,45.002,47.206,50.526,65.388,65.388,50.526,10.867,0.0,45.002,43.838,59.003,65.388,0.0,103.002,50.526,103.002
INST0107_N10_S17_P006,0.0,19.488,21.517,55.171,24.239,0.0,91.902,19.629,21.517,21.517,19.629,55.171,45.002,0.0,25.439,19.488,21.517,45.002,59.019,19.629,59.019
INST0107_N10_S17_D006,25.439,44.339,32.298,54.565,7.008,25.439,89.072,10.881,32.298,32.298,10.881,54.565,43.838,25.439,0.0,44.339,32.298,43.838,65.452,10.881,65.452
INST0107_N10_S17_P007,19.488,0.0,24.954,67.889,41.761,19.488,103.829,36.46,24.954,24.954,36.46,67.889,59.003,19.488,44.339,0.0,24.954,59.003,54.903,36.46,54.903
INST0107_N10_S17_D007,21.517,24.954,0.0,75.908,26.505,21.517,112.576,21.478,0.0,0.0,21.478,75.908,65.388,21.517,32.298,24.954,0.0,65.388,37.715,21.478,37.715
INST0107_N10_S17_P008,45.002,59.003,65.388,10.867,49.927,45.002,47.206,50.526,65.388,65.388,50.526,10.867,0.0,45.002,43.838,59.003,65.388,0.0,103.002,50.526,103.002
INST0107_N10_S17_D008,59.019,54.903,37.715,113.587,58.521,59.019,150.208,55.179,37.715,37.715,55.179,113.587,103.002,59.019,65.452,54.903,37.715,103.002,0.0,55.179,0.0
INST0107_N10_S17_P009,19.629,36.46,21.478,61.394,5.477,19.629,97.061,0.0,21.478,21.478,0.0,61.394,50.526,19.629,10.881,36.46,21.478,50.526,55.179,0.0,55.179
INST0107_N10_S17_D009,59.019,54.903,37.715,113.587,58.521,59.019,150.208,55.179,37.715,37.715,55.179,113.587,103.002,59.019,65.452,54.903,37.715,103.002,0.0,55.179,0.0
