,depot,INST0111_N10_N21_P000,INST0111_N10_N21_D000,INST0111_N10_N21_P001,INST0111_N10_N21_D001,INST0111_N10_N21_P002,INST0111_N10_N21_D002,INST0111_N10_N21_P003,INST0111_N10_N21_D003,INST0111_N10_N21_P004,INST0111_N10_N21_D004,INST0111_N10_N21_P005,INST0111_N10_N21_D005,INST0111_N10_N21_P006,INST0111_N10_N21_D006,INST0111_N10_N21_P007,INST0111_N10_N21_D007,INST0111_N10_N21_P008,INST0111_N10_N21_D008,INST0111_N10_N21_P009,INST0111_N10_N21_D009
depot,0.0,35.534,132.815,23.461,17.254,23.461,20.683,17.254,0.0,0.0,19.671,23.461,100.436,35.534,64.86,28.616,0.0,20.683,0.0,20.683,100.436
INST0111_N10_N21_P000,35.534,0.0,122.278,27.709,18.283,27.709,40.266,18.283,35.534,35.534,18.791,27.709,93.214,0.0,82.833,35.653,35.534,40.266,35.534,40.266,93.214
INST0111_N10_N21_D000,132.815,122.278,0.0,110.207,126.352,110.207,113.909,126.352,132.815,132.815,119.262,110.207,32.884,122.278,95.428,153.371,132.815,113.909,132.815,113.909,32.884
INST0111_N10_N21_P001,23.461,27.709,110.207,0.0,18.229,0.0,13.942,18.229,23.461,23.461,11.477,0.0,78.292,27.709,55.435,44.646,23.461,13.942,23.461,13.942,78.292
INST0111_N10_N21_D001,17.254,18.283,126.352,18.229,0.0,18.229,26.126,0.0,17.254,17.254,7.201,18.229,95.136,18.283,71.779,27.111,17.254,26.126,17.254,26.126,95.136
INST0111_N10_N21_P002,23.461,27.709,110.207,0.0,18.229,0.0,13.942,18.229,23.461,23.461,11.477,0.0,78.292,27.709,55.435,44.646,23.461,13.942,23.461,13.942,78.292
INST0111_N10_N21_D002,20.683,40.266,113.909,13.942,26.126,13.942,0.0,26.126,20.683,20.683,21.8,13.942,81.189,40.266,46.019,48.052,20.683,0.0,20.683,0.0,81.189
INST0111_N10_N21_P003,17.254,18.283,126.352,18.229,0.0,18.229,26.126,0.0,17.254,17.254,7.201,18.229,95.136,18.283,71.779,27.111,17.254,26.126,17.254,26.126,95.136
INST0111_N10_N21_D003,0.0,35.534,132.815,23.461,17.254,23.461,20.683,17.254,0.0,0.0,19.671,23.461,100.436,35.534,64.86,28.616,0.0,20.683,0.0,20.683,100.436
INST0111_N10_N21_P004,0.0,35.534,132.815,23.461,17.254,23.461,20.683,17.254,0.0,0.0,19.671,23.461,100.436,35.534,64.86,28.616,0.0,20.683,0.0,20.683,100.436
INST0111_N10_N21_D004,19.671,18.791,119.262,11.477,7.201,11.477,21.8,7.201,19.671,19.671,0.0,11.477,87.958,18.791,66.32,34.294,19.671,21.8,19.671,21.8,87.958
INST0111_N10_N21_P005,23.461,27.709,110.207,0.0,18.229,0.0,13.942,18.229,23.461,23.461,11.477,0.0,78.292,27.709,55.435,44.646,23.461,13.942,23.461,13.942,78.292
INST0111_N10_N21_D005,100.436,93.214,32.884,78.292,95.136,78.292,81.189,95.136,100.436,100.436,87.958,78.292,0.0,93.214,65.084,122.247,100.436,81.189,100.436,81.189,0.0
INST0111_N10_N21_P006,35.534,0.0,122.278,27.709,18.283,27.709,40.266,18.283,35.534,35.534,18.791,27.709,93.214,0.0,82.833,35.653,35.534,40.266,35.534,40.266,93.214
INST0111_N10_N21_D006,64.86,82.833,95.428,55.435,71.779,55.435,46.019,71.779,64.86,64.86,66.32,55.435,65.084,82.833,0.0,93.371,64.86,46.019,64.86,46.019,65.084
INST0111_N10_N21_P007,28.616,35.653,153.371,44.646,27.111,44.646,48.052,27.111,28.616,28.616,34.294,44.646,122.247,35.653,93.371,0.0,28.616,48.052,28.616,48.052,122.247
INST0111_N10_N21_D007,0.0,35.534,132.815,23.461,17.254,23.461,20.683,17.254,0.0,0.0,19.671,23.461,100.436,35.534,64.86,28.616,0.0,20.683,0.0,20.683,100.436
INST0111_N10_N21_P008,20.683,40.266,113.909,13.942,26.126,13.942,0.0,26.126,20.683,20.683,21.8,13.942,81.189,40.266,46.019,48.052,20.683,0.0,20.683,0.0,81.189
INST0111_N10_N21_D008,0.0,35.534,132.815,23.461,17.254,23.461,20.683,17.254,0.0,0.0,19.671,23.461,100.436,35.534,64.86,28.616,0.0,20.683,0.0,20.683,100.436
INST0111_N10_N21_P009,20.683,40.266,113.909,13.942,26.126,13.942,0.0,26.126,20.683,20.683,21.8,13.942,81.189,40.266,46.019,48.052,20.683,0.0,20.683,0.0,81.189
INST0111_N10_N21_D009,100.436,93.214,32.884,78.292,95.136,78.292,81.189,95.136,100.436,100.436,87.958,78.292,0.0,93.214,65.084,122.247,100.436,81.189,100.436,81.189,0.0
