,depot,INST0133_N12_W13_P000,INST0133_N12_W13_D000,INST0133_N12_W13_P001,INST0133_N12_W13_D001,INST0133_N12_W13_P002,INST0133_N12_W13_D002,INST0133_N12_W13_P003,INST0133_N12_W13_D003,INST0133_N12_W13_P004,INST0133_N12_W13_D004,INST0133_N12_W13_P005,INST0133_N12_W13_D005,INST0133_N12_W13_P006,INST0133_N12_W13_D006,INST0133_N12_W13_P007,INST0133_N12_W13_D007,INST0133_N12_W13_P008,INST0133_N12_W13_D008,INST0133_N12_W13_P009,INST0133_N12_W13_D009,INST0133_N12_W13_P010,INST0133_N12_W13_D010,INST0133_N12_W13_P011,INST0133_N12_W13_D011
depot,0.0,79.708,0.0,14.722,109.164,40.846,96.036,40.846,14.722,40.846,14.722,79.708,94.442,40.846,94.442,40.846,106.091,57.687,0.0,79.708,94.442,0.0,79.708,57.687,96.036
INST0133_N12_W13_P000,79.708,0.0,79.708,93.687,29.48,40.063,20.581,40.063,93.687,40.063,93.687,0.0,46.518,40.063,46.518,40.063,35.196,22.455,79.708,0.0,46.518,79.708,0.0,22.455,20.581
INST0133_N12_W13_D000,0.0,79.708,0.0,14.722,109.164,40.846,96.036,40.846,14.722,40.846,14.722,79.708,94.442,40.846,94.442,40.846,106.091,57.687,0.0,79.708,94.442,0.0,79.708,57.687,96.036
INST0133_N12_W13_P001,14.722,93.687,14.722,0.0,123.055,54.132,109.245,54.132,0.0,54.132,0.0,93.687,104.634,54.132,104.634,54.132,120.757,71.944,14.722,93.687,104.634,14.722,93.687,71.944,109.245
INST0133_N12_W13_D001,109.164,29.48,109.164,123.055,0.0,69.129,18.744,69.129,123.055,69.129,123.055,29.48,52.507,69.129,52.507,69.129,28.769,51.842,109.164,29.48,52.507,109.164,29.48,51.842,18.744
INST0133_N12_W13_P002,40.846,40.063,40.846,54.132,69.129,0.0,55.217,0.0,54.132,0.0,54.132,40.063,57.646,0.0,57.646,0.0,70.903,20.342,40.846,40.063,57.646,40.846,40.063,20.342,55.217
INST0133_N12_W13_D002,96.036,20.581,96.036,109.245,18.744,55.217,0.0,55.217,109.245,55.217,109.245,20.581,35.155,55.217,35.155,55.217,41.092,41.349,96.036,20.581,35.155,96.036,20.581,41.349,0.0
INST0133_N12_W13_P003,40.846,40.063,40.846,54.132,69.129,0.0,55.217,0.0,54.132,0.0,54.132,40.063,57.646,0.0,57.646,0.0,70.903,20.342,40.846,40.063,57.646,40.846,40.063,20.342,55.217
INST0133_N12_W13_D003,14.722,93.687,14.722,0.0,123.055,54.132,109.245,54.132,0.0,54.132,0.0,93.687,104.634,54.132,104.634,54.132,120.757,71.944,14.722,93.687,104.634,14.722,93.687,71.944,109.245
INST0133_N12_W13_P004,40.846,40.063,40.846,54.132,69.129,0.0,55.217,0.0,54.132,0.0,54.132,40.063,57.646,0.0,57.646,0.0,70.903,20.342,40.846,40.063,57.646,40.846,40.063,20.342,55.217
