,depot,INST0137_N12_S17_P000,INST0137_N12_S17_D000,INST0137_N12_S17_P001,INST0137_N12_S17_D001,INST0137_N12_S17_P002,INST0137_N12_S17_D002,INST0137_N12_S17_P003,INST0137_N12_S17_D003,INST0137_N12_S17_P004,INST0137_N12_S17_D004,INST0137_N12_S17_P005,INST0137_N12_S17_D005,INST0137_N12_S17_P006,INST0137_N12_S17_D006,INST0137_N12_S17_P007,INST0137_N12_S17_D007,INST0137_N12_S17_P008,INST0137_N12_S17_D008,INST0137_N12_S17_P009,INST0137_N12_S17_D009,INST0137_N12_S17_P010,INST0137_N12_S17_D010,INST0137_N12_S17_P011,INST0137_N12_S17_D011
depot,0.0,24.036,0.0,55.105,31.149,55.105,23.863,0.0,55.105,0.0,72.268,29.68,26.348,67.557,112.533,23.863,26.348,0.0,55.105,72.268,55.105,67.557,102.142,23.863,72.268
INST0137_N12_S17_P000,24.036,0.0,24.036,61.869,13.324,61.869,44.645,24.036,61.869,24.036,67.566,6.707,26.3,75.176,118.85,44.645,26.3,24.036,61.869,67.566,61.869,75.176,83.656,44.645,67.566
INST0137_N12_S17_D000,0.0,24.036,0.0,55.105,31.149,55.105,23.863,0.0,55.105,0.0,72.268,29.68,26.348,67.557,112.533,23.863,26.348,0.0,55.105,72.268,55.105,67.557,102.142,23.863,72.268
INST0137_N12_S17_P001,55.105,61.869,55.105,0.0,53.679,0.0,72.248,55.105,0.0,55.105,126.125,61.135,80.067,13.307,57.803,72.248,80.067,55.105,0.0,126.125,0.0,13.307,87.998,72.248,126.125
INST0137_N12_S17_D001,31.149,13.324,31.149,53.679,0.0,53.679,54.293,31.149,53.679,31.149,80.145,8.581,39.549,66.815,109.068,54.293,39.549,31.149,53.679,80.145,53.679,66.815,71.877,54.293,80.145
INST0137_N12_S17_P002,55.105,61.869,55.105,0.0,53.679,0.0,72.248,55.105,0.0,55.105,126.125,61.135,80.067,13.307,57.803,72.248,80.067,55.105,0.0,126.125,0.0,13.307,87.998,72.248,126.125
INST0137_N12_S17_D002,23.863,44.645,23.863,72.248,54.293,72.248,0.0,23.863,72.248,23.863,67.228,51.136,30.556,83.129,127.137,0.0,30.556,23.863,72.248,67.228,72.248,83.129,125.848,0.0,67.228
INST0137_N12_S17_P003,0.0,24.036,0.0,55.105,31.149,55.105,23.863,0.0,55.105,0.0,72.268,29.68,26.348,67.557,112.533,23.863,26.348,0.0,55.105,72.268,55.105,67.557,102.142,23.863,72.268
INST0137_N12_S17_D003,55.105,61.869,55.105,0.0,53.679,0.0,72.248,55.105,0.0,55.105,126.125,61.135,80.067,13.307,57.803,72.248,80.067,55.105,0.0,126.125,0.0,13.307,87.998,72.248,126.125
INST0137_N12_S17_P004,0.0,24.036,0.0,55.105,31.149,55.105,23.863,0.0,55.105,0.0,72.268,29.68,26.348,67.557,112.533,23.863,26.348,0.0,55.105,72.268,55.105,67.557,102.142,23.863,72.268
