,depot,INST0138_N12_N18_P000,INST0138_N12_N18_D000,INST0138_N12_N18_P001,INST0138_N12_N18_D001,INST0138_N12_N18_P002,INST0138_N12_N18_D002,INST0138_N12_N18_P003,INST0138_N12_N18_D003,INST0138_N12_N18_P004,INST0138_N12_N18_D004,INST0138_N12_N18_P005,INST0138_N12_N18_D005,INST0138_N12_N18_P006,INST0138_N12_N18_D006,INST0138_N12_N18_P007,INST0138_N12_N18_D007,INST0138_N12_N18_P008,INST0138_N12_N18_D008,INST0138_N12_N18_P009,INST0138_N12_N18_D009,INST0138_N12_N18_P010,INST0138_N12_N18_D010,INST0138_N12_N18_P011,INST0138_N12_N18_D011
depot,0.0,30.471,109.689,20.176,11.436,52.8,46.06,2.788,13.759,20.176,46.06,20.176,30.471,11.436,20.176,2.788,20.176,13.759,11.436,52.8,2.788,30.471,66.572,30.471,11.436
INST0138_N12_N18_P000,30.471,0.0,122.278,18.283,40.266,82.833,35.653,27.709,18.791,18.283,35.653,18.283,0.0,40.266,18.283,27.709,18.283,18.791,40.266,82.833,27.709,0.0,47.339,0.0,40.266
INST0138_N12_N18_D000,109.689,122.278,0.0,126.352,113.909,95.428,153.371,110.207,119.262,126.352,153.371,126.352,122.278,113.909,126.352,110.207,126.352,119.262,113.909,95.428,110.207,122.278,104.379,122.278,113.909
INST0138_N12_N18_P001,20.176,18.283,126.352,0.0,26.126,71.779,27.111,18.229,7.201,0.0,27.111,0.0,18.283,26.126,0.0,18.229,0.0,7.201,26.126,71.779,18.229,18.283,64.45,18.283,26.126
INST0138_N12_N18_D001,11.436,40.266,113.909,26.126,0.0,46.019,48.052,13.942,21.8,26.126,48.052,26.126,40.266,0.0,26.126,13.942,26.126,21.8,0.0,46.019,13.942,40.266,77.99,40.266,0.0
INST0138_N12_N18_P002,52.8,82.833,95.428,71.779,46.019,0.0,93.371,55.435,66.32,71.779,93.371,71.779,82.833,46.019,71.779,55.435,71.779,66.32,46.019,0.0,55.435,82.833,107.477,82.833,46.019
INST0138_N12_N18_D002,46.06,35.653,153.371,27.111,48.052,93.371,0.0,44.646,34.294,27.111,0.0,27.111,35.653,48.052,27.111,44.646,27.111,34.294,48.052,93.371,44.646,35.653,81.232,35.653,48.052
INST0138_N12_N18_P003,2.788,27.709,110.207,18.229,13.942,55.435,44.646,0.0,11.477,18.229,44.646,18.229,27.709,13.942,18.229,0.0,18.229,11.477,13.942,55.435,0.0,27.709,64.236,27.709,13.942
INST0138_N12_N18_D003,13.759,18.791,119.262,7.201,21.8,66.32,34.294,11.477,0.0,7.201,34.294,7.201,18.791,21.8,7.201,11.477,7.201,0.0,21.8,66.32,11.477,18.791,61.784,18.791,21.8
INST0138_N12_N18_P004,20.176,18.283,126.352,0.0,26.126,71.779,27.111,18.229,7.201,0.0,27.111,0.0,18.283,26.126,0.0,18.229,0.0,7.201,26.126,71.779,18.229,18.283,64.45,18.283,26.126
INST0138_N12_N18_D004,46.06,35.653,153.371,27.111,48.052,93.371,0.0,44.646,34.294,27.111,0.0,27.111,35.653,48.052,27.111,44.646,27.111,34.294,48.052,93.371,44.646,35.653,81.232,35.653,48.052
INST0138_N12_N18_P005,20.176,18.283,126.352,0.0,26.126,71.779,27.111,18.229,7.201,0.0,27.111,0.0,18.283,26.126,0.0,18.229,0.0,7.201,26.126,71.779,18.229,18.283,64.45,18.283,26.126
INST0138_N12_N18_D005,30.471,0.0,122.278,18.283,40.266,82.833,35.653,27.709,18.791,18.283,35.653,18.283,0.0,40.266,18.283,27.709,18.283,18.791,40.266,82.833,27.709,0.0,47.339,0.0,40.266
INST0138_N12_N18_P006,11.436,40.266,113.909,26.126,0.0,46.019,48.052,13.942,21.8,26.126,48.052,26.126,40.266,0.0,26.126,13.942,26.126,21.8,0.0,46.019,13.942,40.266,77.99,40.266,0.0
INST0138_N12_N18_D006,20.176,18.283,126.352,0.0,26.126,71.779,27.111,18.229,7.201,0.0,27.111,0.0,18.283,26.126,0.0,18.229,0.0,7.201,26.126,71.779,18.229,18.283,64.45,18.283,26.126
INST0138_N12_N18_P007,2.788,27.709,110.207,18.229,13.942,55.435,44.646,0.0,11.477,18.229,44.646,18.229,27.709,13.942,18.229,0.0,18.229,11.477,13.942,55.435,0.0,27.709,64.236,27.709,13.942
INST0138_N12_N18_D007,20.176,18.283,126.352,0.0,26.126,71.779,27.111,18.229,7.201,0.0,27.111,0.0,18.283,26.126,0.0,18.229,0.0,7.201,26.126,71.779,18.229,18.283,64.45,18.283,26.126
INST0138_N12_N18_P008,13.759,18.791,119.262,7.201,21.8,66.32,34.294,11.477,0.0,7.201,34.294,7.201,18.791,21.8,7.201,11.477,7.201,0.0,21.8,66.32,11.477,18.791,61.784,18.791,21.8
INST0138_N12_N18_D008,11.436,40.266,113.909,26.126,0.0,46.019,48.052,13.942,21.8,26.126,48.052,26.126,40.266,0.0,26.126,13.942,26.126,21.8,0.0,46.019,13.942,40.266,77.99,40.266,0.0
INST0138_N12_N18_P009,52.8,82.833,95.428,71.779,46.019,0.0,93.371,55.435,66.32,71.779,93.371,71.779,82.833,46.019,71.779,55.435,71.779,66.32,46.019,0.0,55.435,82.833,107.477,82.833,46.019
INST0138_N12_N18_D009,2.788,27.709,110.207,18.229,13.942,55.435,44.646,0.0,11.477,18.229,44.646,18.229,27.709,13.942,18.229,0.0,18.229,11.477,13.942,55.435,0.0,27.709,64.236,27.709,13.942
