,depot,INST0139_N12_W19_P000,INST0139_N12_W19_D000,INST0139_N12_W19_P001,INST0139_N12_W19_D001,INST0139_N12_W19_P002,INST0139_N12_W19_D002,INST0139_N12_W19_P003,INST0139_N12_W19_D003,INST0139_N12_W19_P004,INST0139_N12_W19_D004,INST0139_N12_W19_P005,INST0139_N12_W19_D005,INST0139_N12_W19_P006,INST0139_N12_W19_D006,INST0139_N12_W19_P007,INST0139_N12_W19_D007,INST0139_N12_W19_P008,INST0139_N12_W19_D008,INST0139_N12_W19_P009,INST0139_N12_W19_D009,INST0139_N12_W19_P010,INST0139_N12_W19_D010,INST0139_N12_W19_P011,INST0139_N12_W19_D011
depot,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_P000,66.284,0.0,66.284,24.909,66.284,24.909,67.612,50.015,86.82,24.909,67.612,50.015,67.612,66.284,84.648,50.015,66.284,24.909,86.82,66.284,24.909,50.015,66.284,50.015,86.82
INST0139_N12_W19_D000,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_P001,88.095,24.909,88.095,0.0,88.095,0.0,50.631,70.637,61.972,0.0,50.631,70.637,50.631,88.095,63.48,70.637,88.095,0.0,61.972,88.095,0.0,70.637,88.095,70.637,61.972
INST0139_N12_W19_D001,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_P002,88.095,24.909,88.095,0.0,88.095,0.0,50.631,70.637,61.972,0.0,50.631,70.637,50.631,88.095,63.48,70.637,88.095,0.0,61.972,88.095,0.0,70.637,88.095,70.637,61.972
INST0139_N12_W19_D002,133.769,67.612,133.769,50.631,133.769,50.631,0.0,117.595,50.317,50.631,0.0,117.595,0.0,133.769,22.951,117.595,133.769,50.631,50.317,133.769,50.631,117.595,133.769,117.595,50.317
INST0139_N12_W19_P003,18.026,50.015,18.026,70.637,18.026,70.637,117.595,0.0,129.907,70.637,117.595,0.0,117.595,18.026,133.671,0.0,18.026,70.637,129.907,18.026,70.637,0.0,18.026,0.0,129.907
INST0139_N12_W19_D003,147.866,86.82,147.866,61.972,147.866,61.972,50.317,129.907,0.0,61.972,50.317,129.907,50.317,147.866,35.228,129.907,147.866,61.972,0.0,147.866,61.972,129.907,147.866,129.907,0.0
INST0139_N12_W19_P004,88.095,24.909,88.095,0.0,88.095,0.0,50.631,70.637,61.972,0.0,50.631,70.637,50.631,88.095,63.48,70.637,88.095,0.0,61.972,88.095,0.0,70.637,88.095,70.637,61.972
