,depot,INST0152_N15_S02_P000,INST0152_N15_S02_D000,INST0152_N15_S02_P001,INST0152_N15_S02_D001,INST0152_N15_S02_P002,INST0152_N15_S02_D002,INST0152_N15_S02_P003,INST0152_N15_S02_D003,INST0152_N15_S02_P004,INST0152_N15_S02_D004,INST0152_N15_S02_P005,INST0152_N15_S02_D005,INST0152_N15_S02_P006,INST0152_N15_S02_D006,INST0152_N15_S02_P007,INST0152_N15_S02_D007,INST0152_N15_S02_P008,INST0152_N15_S02_D008,INST0152_N15_S02_P009,INST0152_N15_S02_D009,INST0152_N15_S02_P010,INST0152_N15_S02_D010,INST0152_N15_S02_P011,INST0152_N15_S02_D011,INST0152_N15_S02_P012,INST0152_N15_S02_D012,INST0152_N15_S02_P013,INST0152_N15_S02_D013,INST0152_N15_S02_P014,INST0152_N15_S02_D014
depot,0.0,67.557,26.348,26.348,102.142,23.863,26.348,29.68,102.142,24.036,23.863,67.557,23.863,72.268,23.863,72.268,24.036,24.036,102.142,72.268,24.036,26.348,112.533,67.557,112.533,24.036,31.149,31.149,55.105,24.036,112.533
INST0152_N15_S02_P000,67.557,0.0,92.948,92.948,94.398,83.129,92.948,74.382,94.398,75.176,83.129,0.0,83.129,139.086,83.129,139.086,75.176,75.176,94.398,139.086,75.176,92.948,44.98,0.0,44.98,75.176,66.815,66.815,13.307,75.176,44.98
INST0152_N15_S02_D000,26.348,92.948,0.0,0.0,108.949,30.556,0.0,32.455,108.949,26.3,30.556,92.948,30.556,46.181,30.556,46.181,26.3,26.3,108.949,46.181,26.3,0.0,137.848,92.948,137.848,26.3,39.549,39.549,80.067,26.3,137.848
INST0152_N15_S02_P001,26.348,92.948,0.0,0.0,108.949,30.556,0.0,32.455,108.949,26.3,30.556,92.948,30.556,46.181,30.556,46.181,26.3,26.3,108.949,46.181,26.3,0.0,137.848,92.948,137.848,26.3,39.549,39.549,80.067,26.3,137.848
INST0152_N15_S02_D001,102.142,94.398,108.949,108.949,0.0,125.848,108.949,77.018,0.0,83.656,125.848,94.398,125.848,138.993,125.848,138.993,83.656,83.656,0.0,138.993,83.656,108.949,114.428,94.398,114.428,83.656,71.877,71.877,87.998,83.656,114.428
INST0152_N15_S02_P002,23.863,83.129,30.556,30.556,125.848,0.0,30.556,51.136,125.848,44.645,0.0,83.129,0.0,67.228,0.0,67.228,44.645,44.645,125.848,67.228,44.645,30.556,127.137,83.129,127.137,44.645,54.293,54.293,72.248,44.645,127.137
INST0152_N15_S02_D002,26.348,92.948,0.0,0.0,108.949,30.556,0.0,32.455,108.949,26.3,30.556,92.948,30.556,46.181,30.556,46.181,26.3,26.3,108.949,46.181,26.3,0.0,137.848,92.948,137.848,26.3,39.549,39.549,80.067,26.3,137.848
INST0152_N15_S02_P003,29.68,74.382,32.455,32.455,77.018,51.136,32.455,0.0,77.018,6.707,51.136,74.382,51.136,71.658,51.136,71.658,6.707,6.707,77.018,71.658,6.707,32.455,117.194,74.382,117.194,6.707,8.581,8.581,61.135,6.707,117.194
INST0152_N15_S02_D003,102.142,94.398,108.949,108.949,0.0,125.848,108.949,77.018,0.0,83.656,125.848,94.398,125.848,138.993,125.848,138.993,83.656,83.656,0.0,138.993,83.656,108.949,114.428,94.398,114.428,83.656,71.877,71.877,87.998,83.656,114.428
INST0152_N15_S02_P004,24.036,75.176,26.3,26.3,83.656,44.645,26.3,6.707,83.656,0.0,44.645,75.176,44.645,67.566,44.645,67.566,0.0,0.0,83.656,67.566,0.0,26.3,118.85,75.176,118.85,0.0,13.324,13.324,61.869,0.0,118.85
INST0152_N15_S02_D004,23.863,83.129,30.556,30.556,125.848,0.0,30.556,51.136,125.848,44.645,0.0,83.129,0.0,67.228,0.0,67.228,44.645,44.645,125.848,67.228,44.645,30.556,127.137,83.129,127.137,44.645,54.293,54.293,72.248,44.645,127.137
INST0152_N15_S02_P005,67.557,0.0,92.948,92.948,94.398,83.129,92.948,74.382,94.398,75.176,83.129,0.0,83.129,139.086,83.129,139.086,75.176,75.176,94.398,139.086,75.176,92.948,44.98,0.0,44.98,75.176,66.815,66.815,13.307,75.176,44.98
INST0152_N15_S02_D005,23.863,83.129,30.556,30.556,125.848,0.0,30.556,51.136,125.848,44.645,0.0,83.129,0.0,67.228,0.0,67.228,44.645,44.645,125.848,67.228,44.645,30.556,127.137,83.129,127.137,44.645,54.293,54.293,72.248,44.645,127.137
INST0152_N15_S02_P006,72.268,139.086,46.181,46.181,138.993,67.228,46.181,71.658,138.993,67.566,67.228,139.086,67.228,0.0,67.228,0.0,67.566,67.566,138.993,0.0,67.566,46.181,183.928,139.086,183.928,67.566,80.145,80.145,126.125,67.566,183.928
INST0152_N15_S02_D006,23.863,83.129,30.556,30.556,125.848,0.0,30.556,51.136,125.848,44.645,0.0,83.129,0.0,67.228,0.0,67.228,44.645,44.645,125.848,67.228,44.645,30.556,127.137,83.129,127.137,44.645,54.293,54.293,72.248,44.645,127.137
INST0152_N15_S02_P007,72.268,139.086,46.181,46.181,138.993,67.228,46.181,71.658,138.993,67.566,67.228,139.086,67.228,0.0,67.228,0.0,67.566,67.566,138.993,0.0,67.566,46.181,183.928,139.086,183.928,67.566,80.145,80.145,126.125,67.566,183.928
INST0152_N15_S02_D007,24.036,75.176,26.3,26.3,83.656,44.645,26.3,6.707,83.656,0.0,44.645,75.176,44.645,67.566,44.645,67.566,0.0,0.0,83.656,67.566,0.0,26.3,118.85,75.176,118.85,0.0,13.324,13.324,61.869,0.0,118.85
INST0152_N15_S02_P008,24.036,75.176,26.3,26.3,83.656,44.645,26.3,6.707,83.656,0.0,44.645,75.176,44.645,67.566,44.645,67.566,0.0,0.0,83.656,67.566,0.0,26.3,118.85,75.176,118.85,0.0,13.324,13.324,61.869,0.0,118.85
INST0152_N15_S02_D008,102.142,94.398,108.949,108.949,0.0,125.848,108.949,77.018,0.0,83.656,125.848,94.398,125.848,138.993,125.848,138.993,83.656,83.656,0.0,138.993,83.656,108.949,114.428,94.398,114.428,83.656,71.877,71.877,87.998,83.656,114.428
INST0152_N15_S02_P009,72.268,139.086,46.181,46.181,138.993,67.228,46.181,71.658,138.993,67.566,67.228,139.086,67.228,0.0,67.228,0.0,67.566,67.566,138.993,0.0,67.566,46.181,183.928,139.086,183.928,67.566,80.145,80.145,126.125,67.566,183.928
INST0152_N15_S02_D009,24.036,75.176,26.3,26.3,83.656,44.645,26.3,6.707,83.656,0.0,44.645,75.176,44.645,67.566,44.645,67.566,0.0,0.0,83.656,67.566,0.0,26.3,118.85,75.176,118.85,0.0,13.324,13.324,61.869,0.0,118.85
INST0152_N15_S02_P010,26.348,92.948,0.0,0.0,108.949,30.556,0.0,32.455,108.949,26.3,30.556,92.948,30.556,46.181,30.556,46.181,26.3,26.3,108.949,46.181,26.3,0.0,137.848,92.948,137.848,26.3,39.549,39.549,80.067,26.3,137.848
INST0152_N15_S02_D010,112.533,44.98,137.848,137.848,114.428,127.137,137.848,117.194,114.428,118.85,127.137,44.98,127.137,183.928,127.137,183.928,118.85,118.85,114.428,183.928,118.85,137.848,0.0,44.98,0.0,118.85,109.068,109.068,57.803,118.85,0.0
INST0152_N15_S02_P011,67.557,0.0,92.948,92.948,94.398,83.129,92.948,74.382,94.398,75.176,83.129,0.0,83.129,139.086,83.129,139.086,75.176,75.176,94.398,139.086,75.176,92.948,44.98,0.0,44.98,75.176,66.815,66.815,13.307,75.176,44.98
INST0152_N15_S02_D011,112.533,44.98,137.848,137.848,114.428,127.137,137.848,117.194,114.428,118.85,127.137,44.98,127.137,183.928,127.137,183.928,118.85,118.85,114.428,183.928,118.85,137.848,0.0,44.98,0.0,118.85,109.068,109.068,57.803,118.85,0.0
INST0152_N15_S02_P012,24.036,75.176,26.3,26.3,83.656,44.645,26.3,6.707,83.656,0.0,44.645,75.176,44.645,67.566,44.645,67.566,0.0,0.0,83.656,67.566,0.0,26.3,118.85,75.176,118.85,0.0,13.324,13.324,61.869,0.0,118.85
INST0152_N15_S02_D012,31.149,66.815,39.549,39.549,71.877,54.293,39.549,8.581,71.877,13.324,54.293,66.815,54.293,80.145,54.293,80.145,13.324,13.324,71.877,80.145,13.324,39.549,109.068,66.815,109.068,13.324,0.0,0.0,53.679,13.324,109.068
INST0152_N15_S02_P013,31.149,66.815,39.549,39.549,71.877,54.293,39.549,8.581,71.877,13.324,54.293,66.815,54.293,80.145,54.293,80.145,13.324,13.324,71.877,80.145,13.324,39.549,109.068,66.815,109.068,13.324,0.0,0.0,53.679,13.324,109.068
INST0152_N15_S02_D013,55.105,13.307,80.067,80.067,87.998,72.248,80.067,61.135,87.998,61.869,72.248,13.307,72.248,126.125,72.248,126.125,61.869,61.869,87.998,126.125,61.869,80.067,57.803,13.307,57.803,61.869,53.679,53.679,0.0,61.869,57.803
INST0152_N15_S02_P014,24.036,75.176,26.3,26.3,83.656,44.645,26.3,6.707,83.656,0.0,44.645,75.176,44.645,67.566,44.645,67.566,0.0,0.0,83.656,67.566,0.0,26.3,118.85,75.176,118.85,0.0,13.324,13.324,61.869,0.0,118.85
INST0152_N15_S02_D014,112.533,44.98,137.848,137.848,114.428,127.137,137.848,117.194,114.428,118.85,127.137,44.98,127.137,183.928,127.137,183.928,118.85,118.85,114.428,183.928,118.85,137.848,0.0,44.98,0.0,118.85,109.068,109.068,57.803,118.85,0.0
