,depot,INST0156_N15_N06_P000,INST0156_N15_N06_D000,INST0156_N15_N06_P001,INST0156_N15_N06_D001,INST0156_N15_N06_P002,INST0156_N15_N06_D002,INST0156_N15_N06_P003,INST0156_N15_N06_D003,INST0156_N15_N06_P004,INST0156_N15_N06_D004,INST0156_N15_N06_P005,INST0156_N15_N06_D005,INST0156_N15_N06_P006,INST0156_N15_N06_D006,INST0156_N15_N06_P007,INST0156_N15_N06_D007,INST0156_N15_N06_P008,INST0156_N15_N06_D008,INST0156_N15_N06_P009,INST0156_N15_N06_D009,INST0156_N15_N06_P010,INST0156_N15_N06_D010,INST0156_N15_N06_P011,INST0156_N15_N06_D011,INST0156_N15_N06_P012,INST0156_N15_N06_D012,INST0156_N15_N06_P013,INST0156_N15_N06_D013,INST0156_N15_N06_P014,INST0156_N15_N06_D014
depot,0.0,20.683,28.616,17.254,81.17,20.683,0.0,0.0,113.8,28.616,23.353,23.353,81.17,64.86,23.353,64.86,28.616,17.254,28.616,28.616,23.353,28.616,100.436,0.0,28.616,19.671,100.436,17.254,23.461,23.461,17.254
INST0156_N15_N06_P000,20.683,0.0,48.052,26.126,77.99,0.0,20.683,20.683,128.231,48.052,11.436,11.436,77.99,46.019,11.436,46.019,48.052,26.126,48.052,48.052,11.436,48.052,81.189,20.683,48.052,21.8,81.189,26.126,13.942,13.942,26.126
INST0156_N15_N06_D000,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_P001,17.254,26.126,27.111,0.0,64.45,26.126,17.254,17.254,127.973,27.111,20.176,20.176,64.45,71.779,20.176,71.779,27.111,0.0,27.111,27.111,20.176,27.111,95.136,17.254,27.111,7.201,95.136,0.0,18.229,18.229,0.0
INST0156_N15_N06_D001,81.17,77.99,81.232,64.45,0.0,77.99,81.17,81.17,190.666,81.232,66.572,66.572,0.0,107.477,66.572,107.477,81.232,64.45,81.232,81.232,66.572,81.232,85.106,81.17,81.232,61.784,85.106,64.45,64.236,64.236,64.45
INST0156_N15_N06_P002,20.683,0.0,48.052,26.126,77.99,0.0,20.683,20.683,128.231,48.052,11.436,11.436,77.99,46.019,11.436,46.019,48.052,26.126,48.052,48.052,11.436,48.052,81.189,20.683,48.052,21.8,81.189,26.126,13.942,13.942,26.126
INST0156_N15_N06_D002,0.0,20.683,28.616,17.254,81.17,20.683,0.0,0.0,113.8,28.616,23.353,23.353,81.17,64.86,23.353,64.86,28.616,17.254,28.616,28.616,23.353,28.616,100.436,0.0,28.616,19.671,100.436,17.254,23.461,23.461,17.254
INST0156_N15_N06_P003,0.0,20.683,28.616,17.254,81.17,20.683,0.0,0.0,113.8,28.616,23.353,23.353,81.17,64.86,23.353,64.86,28.616,17.254,28.616,28.616,23.353,28.616,100.436,0.0,28.616,19.671,100.436,17.254,23.461,23.461,17.254
INST0156_N15_N06_D003,113.8,128.231,110.202,127.973,190.666,128.231,113.8,113.8,0.0,110.202,135.971,135.971,190.666,149.304,135.971,149.304,110.202,127.973,110.202,110.202,135.971,110.202,206.878,113.8,110.202,132.823,206.878,127.973,136.742,136.742,127.973
INST0156_N15_N06_P004,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_D004,23.353,11.436,46.06,20.176,66.572,11.436,23.353,23.353,135.971,46.06,0.0,0.0,66.572,52.8,0.0,52.8,46.06,20.176,46.06,46.06,0.0,46.06,77.555,23.353,46.06,13.759,77.555,20.176,2.788,2.788,20.176
INST0156_N15_N06_P005,23.353,11.436,46.06,20.176,66.572,11.436,23.353,23.353,135.971,46.06,0.0,0.0,66.572,52.8,0.0,52.8,46.06,20.176,46.06,46.06,0.0,46.06,77.555,23.353,46.06,13.759,77.555,20.176,2.788,2.788,20.176
INST0156_N15_N06_D005,81.17,77.99,81.232,64.45,0.0,77.99,81.17,81.17,190.666,81.232,66.572,66.572,0.0,107.477,66.572,107.477,81.232,64.45,81.232,81.232,66.572,81.232,85.106,81.17,81.232,61.784,85.106,64.45,64.236,64.236,64.45
INST0156_N15_N06_P006,64.86,46.019,93.371,71.779,107.477,46.019,64.86,64.86,149.304,93.371,52.8,52.8,107.477,0.0,52.8,0.0,93.371,71.779,93.371,93.371,52.8,93.371,65.084,64.86,93.371,66.32,65.084,71.779,55.435,55.435,71.779
INST0156_N15_N06_D006,23.353,11.436,46.06,20.176,66.572,11.436,23.353,23.353,135.971,46.06,0.0,0.0,66.572,52.8,0.0,52.8,46.06,20.176,46.06,46.06,0.0,46.06,77.555,23.353,46.06,13.759,77.555,20.176,2.788,2.788,20.176
INST0156_N15_N06_P007,64.86,46.019,93.371,71.779,107.477,46.019,64.86,64.86,149.304,93.371,52.8,52.8,107.477,0.0,52.8,0.0,93.371,71.779,93.371,93.371,52.8,93.371,65.084,64.86,93.371,66.32,65.084,71.779,55.435,55.435,71.779
INST0156_N15_N06_D007,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_P008,17.254,26.126,27.111,0.0,64.45,26.126,17.254,17.254,127.973,27.111,20.176,20.176,64.45,71.779,20.176,71.779,27.111,0.0,27.111,27.111,20.176,27.111,95.136,17.254,27.111,7.201,95.136,0.0,18.229,18.229,0.0
INST0156_N15_N06_D008,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_P009,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_D009,23.353,11.436,46.06,20.176,66.572,11.436,23.353,23.353,135.971,46.06,0.0,0.0,66.572,52.8,0.0,52.8,46.06,20.176,46.06,46.06,0.0,46.06,77.555,23.353,46.06,13.759,77.555,20.176,2.788,2.788,20.176
INST0156_N15_N06_P010,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_D010,100.436,81.189,122.247,95.136,85.106,81.189,100.436,100.436,206.878,122.247,77.555,77.555,85.106,65.084,77.555,65.084,122.247,95.136,122.247,122.247,77.555,122.247,0.0,100.436,122.247,87.958,0.0,95.136,78.292,78.292,95.136
INST0156_N15_N06_P011,0.0,20.683,28.616,17.254,81.17,20.683,0.0,0.0,113.8,28.616,23.353,23.353,81.17,64.86,23.353,64.86,28.616,17.254,28.616,28.616,23.353,28.616,100.436,0.0,28.616,19.671,100.436,17.254,23.461,23.461,17.254
INST0156_N15_N06_D011,28.616,48.052,0.0,27.111,81.232,48.052,28.616,28.616,110.202,0.0,46.06,46.06,81.232,93.371,46.06,93.371,0.0,27.111,0.0,0.0,46.06,0.0,122.247,28.616,0.0,34.294,122.247,27.111,44.646,44.646,27.111
INST0156_N15_N06_P012,19.671,21.8,34.294,7.201,61.784,21.8,19.671,19.671,132.823,34.294,13.759,13.759,61.784,66.32,13.759,66.32,34.294,7.201,34.294,34.294,13.759,34.294,87.958,19.671,34.294,0.0,87.958,7.201,11.477,11.477,7.201
INST0156_N15_N06_D012,100.436,81.189,122.247,95.136,85.106,81.189,100.436,100.436,206.878,122.247,77.555,77.555,85.106,65.084,77.555,65.084,122.247,95.136,122.247,122.247,77.555,122.247,0.0,100.436,122.247,87.958,0.0,95.136,78.292,78.292,95.136
INST0156_N15_N06_P013,17.254,26.126,27.111,0.0,64.45,26.126,17.254,17.254,127.973,27.111,20.176,20.176,64.45,71.779,20.176,71.779,27.111,0.0,27.111,27.111,20.176,27.111,95.136,17.254,27.111,7.201,95.136,0.0,18.229,18.229,0.0
INST0156_N15_N06_D013,23.461,13.942,44.646,18.229,64.236,13.942,23.461,23.461,136.742,44.646,2.788,2.788,64.236,55.435,2.788,55.435,44.646,18.229,44.646,44.646,2.788,44.646,78.292,23.461,44.646,11.477,78.292,18.229,0.0,0.0,18.229
INST0156_N15_N06_P014,23.461,13.942,44.646,18.229,64.236,13.942,23.461,23.461,136.742,44.646,2.788,2.788,64.236,55.435,2.788,55.435,44.646,18.229,44.646,44.646,2.788,44.646,78.292,23.461,44.646,11.477,78.292,18.229,0.0,0.0,18.229
INST0156_N15_N06_D014,17.254,26.126,27.111,0.0,64.45,26.126,17.254,17.254,127.973,27.111,20.176,20.176,64.45,71.779,20.176,71.779,27.111,0.0,27.111,27.111,20.176,27.111,95.136,17.254,27.111,7.201,95.136,0.0,18.229,18.229,0.0
