,depot,INST0156_N15_N06_P000,INST0156_N15_N06_D000,INST0156_N15_N06_P001,INST0156_N15_N06_D001,INST0156_N15_N06_P002,INST0156_N15_N06_D002,INST0156_N15_N06_P003,INST0156_N15_N06_D003,INST0156_N15_N06_P004,INST0156_N15_N06_D004,INST0156_N15_N06_P005,INST0156_N15_N06_D005,INST0156_N15_N06_P006,INST0156_N15_N06_D006,INST0156_N15_N06_P007,INST0156_N15_N06_D007,INST0156_N15_N06_P008,INST0156_N15_N06_D008,INST0156_N15_N06_P009,INST0156_N15_N06_D009,INST0156_N15_N06_P010,INST0156_N15_N06_D010,INST0156_N15_N06_P011,INST0156_N15_N06_D011,INST0156_N15_N06_P012,INST0156_N15_N06_D012,INST0156_N15_N06_P013,INST0156_N15_N06_D013,INST0156_N15_N06_P014,INST0156_N15_N06_D014
depot,0.0,25.326,35.041,21.127,99.392,25.326,0.0,0.0,139.347,35.041,28.595,28.595,99.392,79.42,28.595,79.42,35.041,21.127,35.041,35.041,28.595,35.041,122.983,0.0,35.041,24.088,122.983,21.127,28.727,28.727,21.127
INST0156_N15_N06_P000,25.326,0.0,58.839,31.992,95.498,0.0,25.326,25.326,157.017,58.839,14.003,14.003,95.498,56.35,14.003,56.35,58.839,31.992,58.839,58.839,14.003,58.839,99.415,25.326,58.839,26.694,99.415,31.992,17.072,17.072,31.992
INST0156_N15_N06_D000,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_P001,21.127,31.992,33.197,0.0,78.919,31.992,21.127,21.127,156.702,33.197,24.705,24.705,78.919,87.893,24.705,87.893,33.197,0.0,33.197,33.197,24.705,33.197,116.493,21.127,33.197,8.817,116.493,0.0,22.322,22.322,0.0
INST0156_N15_N06_D001,99.392,95.498,99.467,78.919,0.0,95.498,99.392,99.392,233.468,99.467,81.517,81.517,0.0,131.605,81.517,131.605,99.467,78.919,99.467,99.467,81.517,99.467,104.211,99.392,99.467,75.654,104.211,78.919,78.656,78.656,78.919
INST0156_N15_N06_P002,25.326,0.0,58.839,31.992,95.498,0.0,25.326,25.326,157.017,58.839,14.003,14.003,95.498,56.35,14.003,56.35,58.839,31.992,58.839,58.839,14.003,58.839,99.415,25.326,58.839,26.694,99.415,31.992,17.072,17.072,31.992
INST0156_N15_N06_D002,0.0,25.326,35.041,21.127,99.392,25.326,0.0,0.0,139.347,35.041,28.595,28.595,99.392,79.42,28.595,79.42,35.041,21.127,35.041,35.041,28.595,35.041,122.983,0.0,35.041,24.088,122.983,21.127,28.727,28.727,21.127
INST0156_N15_N06_P003,0.0,25.326,35.041,21.127,99.392,25.326,0.0,0.0,139.347,35.041,28.595,28.595,99.392,79.42,28.595,79.42,35.041,21.127,35.041,35.041,28.595,35.041,122.983,0.0,35.041,24.088,122.983,21.127,28.727,28.727,21.127
INST0156_N15_N06_D003,139.347,157.017,134.941,156.702,233.468,157.017,139.347,139.347,0.0,134.941,166.496,166.496,233.468,182.822,166.496,182.822,134.941,156.702,134.941,134.941,166.496,134.941,253.32,139.347,134.941,162.641,253.32,156.702,167.44,167.44,156.702
INST0156_N15_N06_P004,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_D004,28.595,14.003,56.4,24.705,81.517,14.003,28.595,28.595,166.496,56.4,0.0,0.0,81.517,64.653,0.0,64.653,56.4,24.705,56.4,56.4,0.0,56.4,94.965,28.595,56.4,16.848,94.965,24.705,3.413,3.413,24.705
INST0156_N15_N06_P005,28.595,14.003,56.4,24.705,81.517,14.003,28.595,28.595,166.496,56.4,0.0,0.0,81.517,64.653,0.0,64.653,56.4,24.705,56.4,56.4,0.0,56.4,94.965,28.595,56.4,16.848,94.965,24.705,3.413,3.413,24.705
INST0156_N15_N06_D005,99.392,95.498,99.467,78.919,0.0,95.498,99.392,99.392,233.468,99.467,81.517,81.517,0.0,131.605,81.517,131.605,99.467,78.919,99.467,99.467,81.517,99.467,104.211,99.392,99.467,75.654,104.211,78.919,78.656,78.656,78.919
INST0156_N15_N06_P006,79.42,56.35,114.332,87.893,131.605,56.35,79.42,79.42,182.822,114.332,64.653,64.653,131.605,0.0,64.653,0.0,114.332,87.893,114.332,114.332,64.653,114.332,79.694,79.42,114.332,81.208,79.694,87.893,67.88,67.88,87.893
INST0156_N15_N06_D006,28.595,14.003,56.4,24.705,81.517,14.003,28.595,28.595,166.496,56.4,0.0,0.0,81.517,64.653,0.0,64.653,56.4,24.705,56.4,56.4,0.0,56.4,94.965,28.595,56.4,16.848,94.965,24.705,3.413,3.413,24.705
INST0156_N15_N06_P007,79.42,56.35,114.332,87.893,131.605,56.35,79.42,79.42,182.822,114.332,64.653,64.653,131.605,0.0,64.653,0.0,114.332,87.893,114.332,114.332,64.653,114.332,79.694,79.42,114.332,81.208,79.694,87.893,67.88,67.88,87.893
