,depot,INST0160_N15_W10_P000,INST0160_N15_W10_D000,INST0160_N15_W10_P001,INST0160_N15_W10_D001,INST0160_N15_W10_P002,INST0160_N15_W10_D002,INST0160_N15_W10_P003,INST0160_N15_W10_D003,INST0160_N15_W10_P004,INST0160_N15_W10_D004,INST0160_N15_W10_P005,INST0160_N15_W10_D005,INST0160_N15_W10_P006,INST0160_N15_W10_D006,INST0160_N15_W10_P007,INST0160_N15_W10_D007,INST0160_N15_W10_P008,INST0160_N15_W10_D008,INST0160_N15_W10_P009,INST0160_N15_W10_D009,INST0160_N15_W10_P010,INST0160_N15_W10_D010,INST0160_N15_W10_P011,INST0160_N15_W10_D011,INST0160_N15_W10_P012,INST0160_N15_W10_D012,INST0160_N15_W10_P013,INST0160_N15_W10_D013,INST0160_N15_W10_P014,INST0160_N15_W10_D014
depot,0.0,19.054,11.735,19.054,0.0,19.054,109.164,51.842,19.054,18.744,19.054,69.129,0.0,18.744,11.735,11.735,16.35,11.735,28.769,52.507,109.164,0.0,109.164,11.735,29.48,52.507,0.0,52.507,123.055,28.769,109.164
INST0160_N15_W10_P000,19.054,0.0,27.544,0.0,19.054,0.0,90.122,32.833,0.0,14.077,0.0,50.28,19.054,14.077,27.544,27.544,16.791,27.544,29.954,46.592,90.122,19.054,90.122,27.544,10.426,46.592,19.054,46.592,104.062,29.954,90.122
INST0160_N15_W10_D000,11.735,27.544,0.0,27.544,11.735,27.544,116.61,58.923,27.544,30.344,27.544,77.525,11.735,30.344,0.0,0.0,16.399,0.0,23.199,64.172,116.61,11.735,116.61,0.0,37.477,64.172,11.735,64.172,130.825,23.199,116.61
INST0160_N15_W10_P001,19.054,0.0,27.544,0.0,19.054,0.0,90.122,32.833,0.0,14.077,0.0,50.28,19.054,14.077,27.544,27.544,16.791,27.544,29.954,46.592,90.122,19.054,90.122,27.544,10.426,46.592,19.054,46.592,104.062,29.954,90.122
INST0160_N15_W10_D001,0.0,19.054,11.735,19.054,0.0,19.054,109.164,51.842,19.054,18.744,19.054,69.129,0.0,18.744,11.735,11.735,16.35,11.735,28.769,52.507,109.164,0.0,109.164,11.735,29.48,52.507,0.0,52.507,123.055,28.769,109.164
INST0160_N15_W10_P002,19.054,0.0,27.544,0.0,19.054,0.0,90.122,32.833,0.0,14.077,0.0,50.28,19.054,14.077,27.544,27.544,16.791,27.544,29.954,46.592,90.122,19.054,90.122,27.544,10.426,46.592,19.054,46.592,104.062,29.954,90.122
INST0160_N15_W10_D002,109.164,90.122,116.61,90.122,109.164,90.122,0.0,57.687,90.122,96.036,90.122,40.846,109.164,96.036,116.61,116.61,101.402,116.61,106.091,94.442,0.0,109.164,0.0,116.61,79.708,94.442,109.164,94.442,14.722,106.091,0.0
INST0160_N15_W10_P003,51.842,32.833,58.923,32.833,51.842,32.833,57.687,0.0,32.833,41.349,32.833,20.342,51.842,41.349,58.923,58.923,43.952,58.923,50.611,55.918,57.687,51.842,57.687,58.923,22.455,55.918,51.842,55.918,71.944,50.611,57.687
INST0160_N15_W10_D003,19.054,0.0,27.544,0.0,19.054,0.0,90.122,32.833,0.0,14.077,0.0,50.28,19.054,14.077,27.544,27.544,16.791,27.544,29.954,46.592,90.122,19.054,90.122,27.544,10.426,46.592,19.054,46.592,104.062,29.954,90.122
INST0160_N15_W10_P004,18.744,14.077,30.344,14.077,18.744,14.077,96.036,41.349,14.077,0.0,14.077,55.217,18.744,0.0,30.344,30.344,26.872,30.344,41.092,35.155,96.036,18.744,96.036,30.344,20.581,35.155,18.744,35.155,109.245,41.092,96.036
INST0160_N15_W10_D004,19.054,0.0,27.544,0.0,19.054,0.0,90.122,32.833,0.0,14.077,0.0,50.28,19.054,14.077,27.544,27.544,16.791,27.544,29.954,46.592,90.122,19.054,90.122,27.544,10.426,46.592,19.054,46.592,104.062,29.954,90.122
INST0160_N15_W10_P005,69.129,50.28,77.525,50.28,69.129,50.28,40.846,20.342,50.28,55.217,50.28,0.0,69.129,55.217,77.525,77.525,63.444,77.525,70.903,57.646,40.846,69.129,40.846,77.525,40.063,57.646,69.129,57.646,54.132,70.903,40.846
INST0160_N15_W10_D005,0.0,19.054,11.735,19.054,0.0,19.054,109.164,51.842,19.054,18.744,19.054,69.129,0.0,18.744,11.735,11.735,16.35,11.735,28.769,52.507,109.164,0.0,109.164,11.735,29.48,52.507,0.0,52.507,123.055,28.769,109.164
INST0160_N15_W10_P006,18.744,14.077,30.344,14.077,18.744,14.077,96.036,41.349,14.077,0.0,14.077,55.217,18.744,0.0,30.344,30.344,26.872,30.344,41.092,35.155,96.036,18.744,96.036,30.344,20.581,35.155,18.744,35.155,109.245,41.092,96.036
