,depot,INST0186_N18_N06_P000,INST0186_N18_N06_D000,INST0186_N18_N06_P001,INST0186_N18_N06_D001,INST0186_N18_N06_P002,INST0186_N18_N06_D002,INST0186_N18_N06_P003,INST0186_N18_N06_D003,INST0186_N18_N06_P004,INST0186_N18_N06_D004,INST0186_N18_N06_P005,INST0186_N18_N06_D005,INST0186_N18_N06_P006,INST0186_N18_N06_D006,INST0186_N18_N06_P007,INST0186_N18_N06_D007,INST0186_N18_N06_P008,INST0186_N18_N06_D008,INST0186_N18_N06_P009,INST0186_N18_N06_D009,INST0186_N18_N06_P010,INST0186_N18_N06_D010,INST0186_N18_N06_P011,INST0186_N18_N06_D011,INST0186_N18_N06_P012,INST0186_N18_N06_D012,INST0186_N18_N06_P013,INST0186_N18_N06_D013,INST0186_N18_N06_P014,INST0186_N18_N06_D014,INST0186_N18_N06_P015,INST0186_N18_N06_D015,INST0186_N18_N06_P016,INST0186_N18_N06_D016,INST0186_N18_N06_P017,INST0186_N18_N06_D017
depot,0.0,23.461,100.436,28.616,19.671,23.353,17.254,28.616,23.461,35.534,23.461,23.461,132.815,64.86,23.353,17.254,125.319,17.254,0.0,17.254,132.815,23.353,35.534,17.254,35.534,28.616,17.254,28.616,125.319,0.0,20.683,23.353,17.254,0.0,28.616,0.0,19.671
INST0186_N18_N06_P000,23.461,0.0,78.292,44.646,11.477,2.788,18.229,44.646,0.0,27.709,0.0,0.0,110.207,55.435,2.788,18.229,144.673,18.229,23.461,18.229,110.207,2.788,27.709,18.229,27.709,44.646,18.229,44.646,144.673,23.461,13.942,2.788,18.229,23.461,44.646,23.461,11.477
INST0186_N18_N06_D000,100.436,78.292,0.0,122.247,87.958,77.555,95.136,122.247,78.292,93.214,78.292,78.292,32.884,65.084,77.555,95.136,222.229,95.136,100.436,95.136,32.884,77.555,93.214,95.136,93.214,122.247,95.136,122.247,222.229,100.436,81.189,77.555,95.136,100.436,122.247,100.436,87.958
INST0186_N18_N06_P001,28.616,44.646,122.247,0.0,34.294,46.06,27.111,0.0,44.646,35.653,44.646,44.646,153.371,93.371,46.06,27.111,100.108,27.111,28.616,27.111,153.371,46.06,35.653,27.111,35.653,0.0,27.111,0.0,100.108,28.616,48.052,46.06,27.111,28.616,0.0,28.616,34.294
INST0186_N18_N06_D001,19.671,11.477,87.958,34.294,0.0,13.759,7.201,34.294,11.477,18.791,11.477,11.477,119.262,66.32,13.759,7.201,134.365,7.201,19.671,7.201,119.262,13.759,18.791,7.201,18.791,34.294,7.201,34.294,134.365,19.671,21.8,13.759,7.201,19.671,34.294,19.671,0.0
INST0186_N18_N06_P002,23.353,2.788,77.555,46.06,13.759,0.0,20.176,46.06,2.788,30.471,2.788,2.788,109.689,52.8,0.0,20.176,145.919,20.176,23.353,20.176,109.689,0.0,30.471,20.176,30.471,46.06,20.176,46.06,145.919,23.353,11.436,0.0,20.176,23.353,46.06,23.353,13.759
INST0186_N18_N06_D002,17.254,18.229,95.136,27.111,7.201,20.176,0.0,27.111,18.229,18.283,18.229,18.229,126.352,71.779,20.176,0.0,127.166,0.0,17.254,0.0,126.352,20.176,18.283,0.0,18.283,27.111,0.0,27.111,127.166,17.254,26.126,20.176,0.0,17.254,27.111,17.254,7.201
INST0186_N18_N06_P003,28.616,44.646,122.247,0.0,34.294,46.06,27.111,0.0,44.646,35.653,44.646,44.646,153.371,93.371,46.06,27.111,100.108,27.111,28.616,27.111,153.371,46.06,35.653,27.111,35.653,0.0,27.111,0.0,100.108,28.616,48.052,46.06,27.111,28.616,0.0,28.616,34.294
INST0186_N18_N06_D003,23.461,0.0,78.292,44.646,11.477,2.788,18.229,44.646,0.0,27.709,0.0,0.0,110.207,55.435,2.788,18.229,144.673,18.229,23.461,18.229,110.207,2.788,27.709,18.229,27.709,44.646,18.229,44.646,144.673,23.461,13.942,2.788,18.229,23.461,44.646,23.461,11.477
INST0186_N18_N06_P004,35.534,27.709,93.214,35.653,18.791,30.471,18.283,35.653,27.709,0.0,27.709,27.709,122.278,82.833,30.471,18.283,131.141,18.283,35.534,18.283,122.278,30.471,0.0,18.283,0.0,35.653,18.283,35.653,131.141,35.534,40.266,30.471,18.283,35.534,35.653,35.534,18.791
