,depot,INST0191_N18_S11_P000,INST0191_N18_S11_D000,INST0191_N18_S11_P001,INST0191_N18_S11_D001,INST0191_N18_S11_P002,INST0191_N18_S11_D002,INST0191_N18_S11_P003,INST0191_N18_S11_D003,INST0191_N18_S11_P004,INST0191_N18_S11_D004,INST0191_N18_S11_P005,INST0191_N18_S11_D005,INST0191_N18_S11_P006,INST0191_N18_S11_D006,INST0191_N18_S11_P007,INST0191_N18_S11_D007,INST0191_N18_S11_P008,INST0191_N18_S11_D008,INST0191_N18_S11_P009,INST0191_N18_S11_D009,INST0191_N18_S11_P010,INST0191_N18_S11_D010,INST0191_N18_S11_P011,INST0191_N18_S11_D011,INST0191_N18_S11_P012,INST0191_N18_S11_D012,INST0191_N18_S11_P013,INST0191_N18_S11_D013,INST0191_N18_S11_P014,INST0191_N18_S11_D014,INST0191_N18_S11_P015,INST0191_N18_S11_D015,INST0191_N18_S11_P016,INST0191_N18_S11_D016,INST0191_N18_S11_P017,INST0191_N18_S11_D017
depot,0.0,30.556,26.3,46.181,30.556,26.348,80.067,39.549,108.949,26.348,108.949,46.181,32.455,26.348,30.556,80.067,32.455,39.549,108.949,92.948,137.848,0.0,32.455,30.556,137.848,26.3,92.948,80.067,0.0,26.348,177.944,26.3,137.848,32.455,26.348,92.948,177.944
INST0191_N18_S11_P000,30.556,0.0,44.645,67.228,0.0,23.863,72.248,54.293,125.848,23.863,125.848,67.228,51.136,23.863,0.0,72.248,51.136,54.293,125.848,83.129,127.137,30.556,51.136,0.0,127.137,44.645,83.129,72.248,30.556,23.863,164.482,44.645,127.137,51.136,23.863,83.129,164.482
INST0191_N18_S11_D000,26.3,44.645,0.0,67.566,44.645,24.036,61.869,13.324,83.656,24.036,83.656,67.566,6.707,24.036,44.645,61.869,6.707,13.324,83.656,75.176,118.85,26.3,6.707,44.645,118.85,0.0,75.176,61.869,26.3,24.036,160.028,0.0,118.85,6.707,24.036,75.176,160.028
INST0191_N18_S11_P001,46.181,67.228,67.566,0.0,67.228,72.268,126.125,80.145,138.993,72.268,138.993,0.0,71.658,72.268,67.228,126.125,71.658,80.145,138.993,139.086,183.928,46.181,71.658,67.228,183.928,67.566,139.086,126.125,46.181,72.268,224.124,67.566,183.928,71.658,72.268,139.086,224.124
INST0191_N18_S11_D001,30.556,0.0,44.645,67.228,0.0,23.863,72.248,54.293,125.848,23.863,125.848,67.228,51.136,23.863,0.0,72.248,51.136,54.293,125.848,83.129,127.137,30.556,51.136,0.0,127.137,44.645,83.129,72.248,30.556,23.863,164.482,44.645,127.137,51.136,23.863,83.129,164.482
INST0191_N18_S11_P002,26.348,23.863,24.036,72.268,23.863,0.0,55.105,31.149,102.142,0.0,102.142,72.268,29.68,0.0,23.863,55.105,29.68,31.149,102.142,67.557,112.533,26.348,29.68,23.863,112.533,24.036,67.557,55.105,26.348,0.0,152.108,24.036,112.533,29.68,0.0,67.557,152.108
INST0191_N18_S11_D002,80.067,72.248,61.869,126.125,72.248,55.105,0.0,53.679,87.998,55.105,87.998,126.125,61.135,55.105,72.248,0.0,61.135,53.679,87.998,13.307,57.803,80.067,61.135,72.248,57.803,61.869,13.307,0.0,80.067,55.105,98.41,61.869,57.803,61.135,55.105,13.307,98.41
INST0191_N18_S11_P003,39.549,54.293,13.324,80.145,54.293,31.149,53.679,0.0,71.877,31.149,71.877,80.145,8.581,31.149,54.293,53.679,8.581,0.0,71.877,66.815,109.068,39.549,8.581,54.293,109.068,13.324,66.815,53.679,39.549,31.149,150.553,13.324,109.068,8.581,31.149,66.815,150.553
INST0191_N18_S11_D003,108.949,125.848,83.656,138.993,125.848,102.142,87.998,71.877,0.0,102.142,0.0,138.993,77.018,102.142,125.848,87.998,77.018,71.877,0.0,94.398,114.428,108.949,77.018,125.848,114.428,83.656,94.398,87.998,108.949,102.142,151.155,83.656,114.428,77.018,102.142,94.398,151.155
INST0191_N18_S11_P004,26.348,23.863,24.036,72.268,23.863,0.0,55.105,31.149,102.142,0.0,102.142,72.268,29.68,0.0,23.863,55.105,29.68,31.149,102.142,67.557,112.533,26.348,29.68,23.863,112.533,24.036,67.557,55.105,26.348,0.0,152.108,24.036,112.533,29.68,0.0,67.557,152.108
INST0191_N18_S11_D004,108.949,125.848,83.656,138.993,125.848,102.142,87.998,71.877,0.0,102.142,0.0,138.993,77.018,102.142,125.848,87.998,77.018,71.877,0.0,94.398,114.428,108.949,77.018,125.848,114.428,83.656,94.398,87.998,108.949,102.142,151.155,83.656,114.428,77.018,102.142,94.398,151.155
INST0191_N18_S11_P005,46.181,67.228,67.566,0.0,67.228,72.268,126.125,80.145,138.993,72.268,138.993,0.0,71.658,72.268,67.228,126.125,71.658,80.145,138.993,139.086,183.928,46.181,71.658,67.228,183.928,67.566,139.086,126.125,46.181,72.268,224.124,67.566,183.928,71.658,72.268,139.086,224.124
INST0191_N18_S11_D005,32.455,51.136,6.707,71.658,51.136,29.68,61.135,8.581,77.018,29.68,77.018,71.658,0.0,29.68,51.136,61.135,0.0,8.581,77.018,74.382,117.194,32.455,0.0,51.136,117.194,6.707,74.382,61.135,32.455,29.68,158.604,6.707,117.194,0.0,29.68,74.382,158.604
INST0191_N18_S11_P006,26.348,23.863,24.036,72.268,23.863,0.0,55.105,31.149,102.142,0.0,102.142,72.268,29.68,0.0,23.863,55.105,29.68,31.149,102.142,67.557,112.533,26.348,29.68,23.863,112.533,24.036,67.557,55.105,26.348,0.0,152.108,24.036,112.533,29.68,0.0,67.557,152.108
INST0191_N18_S11_D006,30.556,0.0,44.645,67.228,0.0,23.863,72.248,54.293,125.848,23.863,125.848,67.228,51.136,23.863,0.0,72.248,51.136,54.293,125.848,83.129,127.137,30.556,51.136,0.0,127.137,44.645,83.129,72.248,30.556,23.863,164.482,44.645,127.137,51.136,23.863,83.129,164.482
INST0191_N18_S11_P007,80.067,72.248,61.869,126.125,72.248,55.105,0.0,53.679,87.998,55.105,87.998,126.125,61.135,55.105,72.248,0.0,61.135,53.679,87.998,13.307,57.803,80.067,61.135,72.248,57.803,61.869,13.307,0.0,80.067,55.105,98.41,61.869,57.803,61.135,55.105,13.307,98.41
INST0191_N18_S11_D007,32.455,51.136,6.707,71.658,51.136,29.68,61.135,8.581,77.018,29.68,77.018,71.658,0.0,29.68,51.136,61.135,0.0,8.581,77.018,74.382,117.194,32.455,0.0,51.136,117.194,6.707,74.382,61.135,32.455,29.68,158.604,6.707,117.194,0.0,29.68,74.382,158.604
INST0191_N18_S11_P008,39.549,54.293,13.324,80.145,54.293,31.149,53.679,0.0,71.877,31.149,71.877,80.145,8.581,31.149,54.293,53.679,8.581,0.0,71.877,66.815,109.068,39.549,8.581,54.293,109.068,13.324,66.815,53.679,39.549,31.149,150.553,13.324,109.068,8.581,31.149,66.815,150.553
INST0191_N18_S11_D008,108.949,125.848,83.656,138.993,125.848,102.142,87.998,71.877,0.0,102.142,0.0,138.993,77.018,102.142,125.848,87.998,77.018,71.877,0.0,94.398,114.428,108.949,77.018,125.848,114.428,83.656,94.398,87.998,108.949,102.142,151.155,83.656,114.428,77.018,102.142,94.398,151.155
INST0191_N18_S11_P009,92.948,83.129,75.176,139.086,83.129,67.557,13.307,66.815,94.398,67.557,94.398,139.086,74.382,67.557,83.129,13.307,74.382,66.815,94.398,0.0,44.98,92.948,74.382,83.129,44.98,75.176,0.0,13.307,92.948,67.557,85.211,75.176,44.98,74.382,67.557,0.0,85.211
INST0191_N18_S11_D009,137.848,127.137,118.85,183.928,127.137,112.533,57.803,109.068,114.428,112.533,114.428,183.928,117.194,112.533,127.137,57.803,117.194,109.068,114.428,44.98,0.0,137.848,117.194,127.137,0.0,118.85,44.98,57.803,137.848,112.533,41.594,118.85,0.0,117.194,112.533,44.98,41.594
INST0191_N18_S11_P010,0.0,30.556,26.3,46.181,30.556,26.348,80.067,39.549,108.949,26.348,108.949,46.181,32.455,26.348,30.556,80.067,32.455,39.549,108.949,92.948,137.848,0.0,32.455,30.556,137.848,26.3,92.948,80.067,0.0,26.348,177.944,26.3,137.848,32.455,26.348,92.948,177.944
INST0191_N18_S11_D010,32.455,51.136,6.707,71.658,51.136,29.68,61.135,8.581,77.018,29.68,77.018,71.658,0.0,29.68,51.136,61.135,0.0,8.581,77.018,74.382,117.194,32.455,0.0,51.136,117.194,6.707,74.382,61.135,32.455,29.68,158.604,6.707,117.194,0.0,29.68,74.382,158.604
INST0191_N18_S11_P011,30.556,0.0,44.645,67.228,0.0,23.863,72.248,54.293,125.848,23.863,125.848,67.228,51.136,23.863,0.0,72.248,51.136,54.293,125.848,83.129,127.137,30.556,51.136,0.0,127.137,44.645,83.129,72.248,30.556,23.863,164.482,44.645,127.137,51.136,23.863,83.129,164.482
INST0191_N18_S11_D011,137.848,127.137,118.85,183.928,127.137,112.533,57.803,109.068,114.428,112.533,114.428,183.928,117.194,112.533,127.137,57.803,117.194,109.068,114.428,44.98,0.0,137.848,117.194,127.137,0.0,118.85,44.98,57.803,137.848,112.533,41.594,118.85,0.0,117.194,112.533,44.98,41.594
INST0191_N18_S11_P012,26.3,44.645,0.0,67.566,44.645,24.036,61.869,13.324,83.656,24.036,83.656,67.566,6.707,24.036,44.645,61.869,6.707,13.324,83.656,75.176,118.85,26.3,6.707,44.645,118.85,0.0,75.176,61.869,26.3,24.036,160.028,0.0,118.85,6.707,24.036,75.176,160.028
INST0191_N18_S11_D012,92.948,83.129,75.176,139.086,83.129,67.557,13.307,66.815,94.398,67.557,94.398,139.086,74.382,67.557,83.129,13.307,74.382,66.815,94.398,0.0,44.98,92.948,74.382,83.129,44.98,75.176,0.0,13.307,92.948,67.557,85.211,75.176,44.98,74.382,67.557,0.0,85.211
INST0191_N18_S11_P013,80.067,72.248,61.869,126.125,72.248,55.105,0.0,53.679,87.998,55.105,87.998,126.125,61.135,55.105,72.248,0.0,61.135,53.679,87.998,13.307,57.803,80.067,61.135,72.248,57.803,61.869,13.307,0.0,80.067,55.105,98.41,61.869,57.803,61.135,55.105,13.307,98.41
INST0191_N18_S11_D013,0.0,30.556,26.3,46.181,30.556,26.348,80.067,39.549,108.949,26.348,108.949,46.181,32.455,26.348,30.556,80.067,32.455,39.549,108.949,92.948,137.848,0.0,32.455,30.556,137.848,26.3,92.948,80.067,0.0,26.348,177.944,26.3,137.848,32.455,26.348,92.948,177.944
INST0191_N18_S11_P014,26.348,23.863,24.036,72.268,23.863,0.0,55.105,31.149,102.142,0.0,102.142,72.268,29.68,0.0,23.863,55.105,29.68,31.149,102.142,67.557,112.533,26.348,29.68,23.863,112.533,24.036,67.557,55.105,26.348,0.0,152.108,24.036,112.533,29.68,0.0,67.557,152.108
INST0191_N18_S11_D014,177.944,164.482,160.028,224.124,164.482,152.108,98.41,150.553,151.155,152.108,151.155,224.124,158.604,152.108,164.482,98.41,158.604,150.553,151.155,85.211,41.594,177.944,158.604,164.482,41.594,160.028,85.211,98.41,177.944,152.108,0.0,160.028,41.594,158.604,152.108,85.211,0.0
INST0191_N18_S11_P015,26.3,44.645,0.0,67.566,44.645,24.036,61.869,13.324,83.656,24.036,83.656,67.566,6.707,24.036,44.645,61.869,6.707,13.324,83.656,75.176,118.85,26.3,6.707,44.645,118.85,0.0,75.176,61.869,26.3,24.036,160.028,0.0,118.85,6.707,24.036,75.176,160.028
