,depot,INST0196_N18_W16_P000,INST0196_N18_W16_D000,INST0196_N18_W16_P001,INST0196_N18_W16_D001,INST0196_N18_W16_P002,INST0196_N18_W16_D002,INST0196_N18_W16_P003,INST0196_N18_W16_D003,INST0196_N18_W16_P004,INST0196_N18_W16_D004,INST0196_N18_W16_P005,INST0196_N18_W16_D005,INST0196_N18_W16_P006,INST0196_N18_W16_D006,INST0196_N18_W16_P007,INST0196_N18_W16_D007,INST0196_N18_W16_P008,INST0196_N18_W16_D008,INST0196_N18_W16_P009,INST0196_N18_W16_D009,INST0196_N18_W16_P010,INST0196_N18_W16_D010,INST0196_N18_W16_P011,INST0196_N18_W16_D011,INST0196_N18_W16_P012,INST0196_N18_W16_D012,INST0196_N18_W16_P013,INST0196_N18_W16_D013,INST0196_N18_W16_P014,INST0196_N18_W16_D014,INST0196_N18_W16_P015,INST0196_N18_W16_D015,INST0196_N18_W16_P016,INST0196_N18_W16_D016,INST0196_N18_W16_P017,INST0196_N18_W16_D017
depot,0.0,0.0,133.769,17.238,43.046,50.631,0.0,37.156,117.595,50.317,22.951,17.238,50.317,67.612,50.631,50.631,133.769,50.317,37.156,67.612,50.631,22.951,50.317,67.612,22.951,0.0,25.201,32.905,25.201,25.201,43.046,0.0,37.156,32.905,22.951,37.156,43.046
INST0196_N18_W16_P000,0.0,0.0,133.769,17.238,43.046,50.631,0.0,37.156,117.595,50.317,22.951,17.238,50.317,67.612,50.631,50.631,133.769,50.317,37.156,67.612,50.631,22.951,50.317,67.612,22.951,0.0,25.201,32.905,25.201,25.201,43.046,0.0,37.156,32.905,22.951,37.156,43.046
INST0196_N18_W16_D000,133.769,133.769,0.0,127.423,128.123,88.095,133.769,160.194,18.026,147.866,150.679,127.423,147.866,66.284,88.095,88.095,0.0,147.866,160.194,66.284,88.095,150.679,147.866,66.284,150.679,133.769,114.719,141.804,114.719,114.719,128.123,133.769,160.194,141.804,150.679,160.194,128.123
INST0196_N18_W16_P001,17.238,17.238,127.423,0.0,57.051,40.204,17.238,33.728,110.354,36.679,23.331,0.0,36.679,61.567,40.204,40.204,127.423,36.679,33.728,61.567,40.204,23.331,36.679,61.567,23.331,17.238,12.767,20.56,12.767,12.767,57.051,17.238,33.728,20.56,23.331,33.728,57.051
INST0196_N18_W16_D001,43.046,43.046,128.123,57.051,0.0,68.471,43.046,78.578,115.643,92.961,64.294,57.051,92.961,70.587,68.471,68.471,128.123,92.961,78.578,70.587,68.471,64.294,92.961,70.587,64.294,43.046,56.961,75.699,56.961,56.961,0.0,43.046,78.578,75.699,64.294,78.578,0.0
INST0196_N18_W16_P002,50.631,50.631,88.095,40.204,68.471,0.0,50.631,72.151,70.637,61.972,63.48,40.204,61.972,24.909,0.0,0.0,88.095,61.972,72.151,24.909,0.0,63.48,61.972,24.909,63.48,50.631,27.496,53.818,27.496,27.496,68.471,50.631,72.151,53.818,63.48,72.151,68.471
INST0196_N18_W16_D002,0.0,0.0,133.769,17.238,43.046,50.631,0.0,37.156,117.595,50.317,22.951,17.238,50.317,67.612,50.631,50.631,133.769,50.317,37.156,67.612,50.631,22.951,50.317,67.612,22.951,0.0,25.201,32.905,25.201,25.201,43.046,0.0,37.156,32.905,22.951,37.156,43.046
INST0196_N18_W16_P003,37.156,37.156,160.194,33.728,78.578,72.151,37.156,0.0,142.787,28.407,14.369,33.728,28.407,94.929,72.151,72.151,160.194,28.407,0.0,94.929,72.151,14.369,28.407,94.929,14.369,37.156,45.89,20.081,45.89,45.89,78.578,37.156,0.0,20.081,14.369,0.0,78.578
INST0196_N18_W16_D003,117.595,117.595,18.026,110.354,115.643,70.637,117.595,142.787,0.0,129.907,133.671,110.354,129.907,50.015,70.637,70.637,18.026,129.907,142.787,50.015,70.637,133.671,129.907,50.015,133.671,117.595,97.602,124.166,97.602,97.602,115.643,117.595,142.787,124.166,133.671,142.787,115.643
INST0196_N18_W16_P004,50.317,50.317,147.866,36.679,92.961,61.972,50.317,28.407,129.907,0.0,35.228,36.679,0.0,86.82,61.972,61.972,147.866,0.0,28.407,86.82,61.972,35.228,0.0,86.82,35.228,50.317,43.098,17.435,43.098,43.098,92.961,50.317,28.407,17.435,35.228,28.407,92.961
