,depot,INST0200_N18_S20_P000,INST0200_N18_S20_D000,INST0200_N18_S20_P001,INST0200_N18_S20_D001,INST0200_N18_S20_P002,INST0200_N18_S20_D002,INST0200_N18_S20_P003,INST0200_N18_S20_D003,INST0200_N18_S20_P004,INST0200_N18_S20_D004,INST0200_N18_S20_P005,INST0200_N18_S20_D005,INST0200_N18_S20_P006,INST0200_N18_S20_D006,INST0200_N18_S20_P007,INST0200_N18_S20_D007,INST0200_N18_S20_P008,INST0200_N18_S20_D008,INST0200_N18_S20_P009,INST0200_N18_S20_D009,INST0200_N18_S20_P010,INST0200_N18_S20_D010,INST0200_N18_S20_P011,INST0200_N18_S20_D011,INST0200_N18_S20_P012,INST0200_N18_S20_D012,INST0200_N18_S20_P013,INST0200_N18_S20_D013,INST0200_N18_S20_P014,INST0200_N18_S20_D014,INST0200_N18_S20_P015,INST0200_N18_S20_D015,INST0200_N18_S20_P016,INST0200_N18_S20_D016,INST0200_N18_S20_P017,INST0200_N18_S20_D017
depot,0.0,5.477,61.394,10.881,50.526,5.477,55.179,36.46,21.478,0.0,21.478,68.319,10.881,68.319,36.46,19.629,68.319,0.0,61.394,50.526,5.477,68.319,55.179,21.478,97.061,5.477,36.46,50.526,68.319,68.319,21.478,55.179,36.46,36.46,10.881,36.46,50.526
INST0200_N18_S20_P000,5.477,0.0,60.745,7.008,49.927,0.0,58.521,41.761,26.505,5.477,26.505,62.898,7.008,62.898,41.761,24.239,62.898,5.477,60.745,49.927,0.0,62.898,58.521,26.505,95.708,0.0,41.761,49.927,62.898,62.898,26.505,58.521,41.761,41.761,7.008,41.761,49.927
INST0200_N18_S20_D000,61.394,60.745,0.0,54.565,10.867,60.745,113.587,67.889,75.908,61.394,75.908,77.092,54.565,77.092,67.889,55.171,77.092,61.394,0.0,10.867,60.745,77.092,113.587,75.908,36.733,60.745,67.889,10.867,77.092,77.092,75.908,113.587,67.889,67.889,54.565,67.889,10.867
INST0200_N18_S20_P001,10.881,7.008,54.565,0.0,43.838,7.008,65.452,44.339,32.298,10.881,32.298,58.699,0.0,58.699,44.339,25.439,58.699,10.881,54.565,43.838,7.008,58.699,65.452,32.298,89.072,7.008,44.339,43.838,58.699,58.699,32.298,65.452,44.339,44.339,0.0,44.339,43.838
INST0200_N18_S20_D001,50.526,49.927,10.867,43.838,0.0,49.927,103.002,59.003,65.388,50.526,65.388,71.865,43.838,71.865,59.003,45.002,71.865,50.526,10.867,0.0,49.927,71.865,103.002,65.388,47.206,49.927,59.003,0.0,71.865,71.865,65.388,103.002,59.003,59.003,43.838,59.003,0.0
INST0200_N18_S20_P002,5.477,0.0,60.745,7.008,49.927,0.0,58.521,41.761,26.505,5.477,26.505,62.898,7.008,62.898,41.761,24.239,62.898,5.477,60.745,49.927,0.0,62.898,58.521,26.505,95.708,0.0,41.761,49.927,62.898,62.898,26.505,58.521,41.761,41.761,7.008,41.761,49.927
INST0200_N18_S20_D002,55.179,58.521,113.587,65.452,103.002,58.521,0.0,54.903,37.715,55.179,37.715,113.511,65.452,113.511,54.903,59.019,113.511,55.179,113.587,103.002,58.521,113.511,0.0,37.715,150.208,58.521,54.903,103.002,113.511,113.511,37.715,0.0,54.903,54.903,65.452,54.903,103.002
INST0200_N18_S20_P003,36.46,41.761,67.889,44.339,59.003,41.761,54.903,0.0,24.954,36.46,24.954,102.776,44.339,102.776,0.0,19.488,102.776,36.46,67.889,59.003,41.761,102.776,54.903,24.954,103.829,41.761,0.0,59.003,102.776,102.776,24.954,54.903,0.0,0.0,44.339,0.0,59.003
INST0200_N18_S20_D003,21.478,26.505,75.908,32.298,65.388,26.505,37.715,24.954,0.0,21.478,0.0,88.975,32.298,88.975,24.954,21.517,88.975,21.478,75.908,65.388,26.505,88.975,37.715,0.0,112.576,26.505,24.954,65.388,88.975,88.975,0.0,37.715,24.954,24.954,32.298,24.954,65.388
INST0200_N18_S20_P004,0.0,5.477,61.394,10.881,50.526,5.477,55.179,36.46,21.478,0.0,21.478,68.319,10.881,68.319,36.46,19.629,68.319,0.0,61.394,50.526,5.477,68.319,55.179,21.478,97.061,5.477,36.46,50.526,68.319,68.319,21.478,55.179,36.46,36.46,10.881,36.46,50.526
