,depot,INST0208_N18_W28_P000,INST0208_N18_W28_D000,INST0208_N18_W28_P001,INST0208_N18_W28_D001,INST0208_N18_W28_P002,INST0208_N18_W28_D002,INST0208_N18_W28_P003,INST0208_N18_W28_D003,INST0208_N18_W28_P004,INST0208_N18_W28_D004,INST0208_N18_W28_P005,INST0208_N18_W28_D005,INST0208_N18_W28_P006,INST0208_N18_W28_D006,INST0208_N18_W28_P007,INST0208_N18_W28_D007,INST0208_N18_W28_P008,INST0208_N18_W28_D008,INST0208_N18_W28_P009,INST0208_N18_W28_D009,INST0208_N18_W28_P010,INST0208_N18_W28_D010,INST0208_N18_W28_P011,INST0208_N18_W28_D011,INST0208_N18_W28_P012,INST0208_N18_W28_D012,INST0208_N18_W28_P013,INST0208_N18_W28_D013,INST0208_N18_W28_P014,INST0208_N18_W28_D014,INST0208_N18_W28_P015,INST0208_N18_W28_D015,INST0208_N18_W28_P016,INST0208_N18_W28_D016,INST0208_N18_W28_P017,INST0208_N18_W28_D017
depot,0.0,79.708,90.122,57.687,0.0,0.0,106.091,14.722,40.846,0.0,106.091,0.0,57.687,0.0,79.708,40.846,90.122,0.0,106.091,57.687,14.722,79.708,94.442,40.846,94.442,0.0,94.442,0.0,94.442,0.0,14.722,0.0,90.122,57.687,90.122,79.708,40.846
INST0208_N18_W28_P000,79.708,0.0,10.426,22.455,79.708,79.708,35.196,93.687,40.063,79.708,35.196,79.708,22.455,79.708,0.0,40.063,10.426,79.708,35.196,22.455,93.687,0.0,46.518,40.063,46.518,79.708,46.518,79.708,46.518,79.708,93.687,79.708,10.426,22.455,10.426,0.0,40.063
INST0208_N18_W28_D000,90.122,10.426,0.0,32.833,90.122,90.122,29.954,104.062,50.28,90.122,29.954,90.122,32.833,90.122,10.426,50.28,0.0,90.122,29.954,32.833,104.062,10.426,46.592,50.28,46.592,90.122,46.592,90.122,46.592,90.122,104.062,90.122,0.0,32.833,0.0,10.426,50.28
INST0208_N18_W28_P001,57.687,22.455,32.833,0.0,57.687,57.687,50.611,71.944,20.342,57.687,50.611,57.687,0.0,57.687,22.455,20.342,32.833,57.687,50.611,0.0,71.944,22.455,55.918,20.342,55.918,57.687,55.918,57.687,55.918,57.687,71.944,57.687,32.833,0.0,32.833,22.455,20.342
INST0208_N18_W28_D001,0.0,79.708,90.122,57.687,0.0,0.0,106.091,14.722,40.846,0.0,106.091,0.0,57.687,0.0,79.708,40.846,90.122,0.0,106.091,57.687,14.722,79.708,94.442,40.846,94.442,0.0,94.442,0.0,94.442,0.0,14.722,0.0,90.122,57.687,90.122,79.708,40.846
INST0208_N18_W28_P002,0.0,79.708,90.122,57.687,0.0,0.0,106.091,14.722,40.846,0.0,106.091,0.0,57.687,0.0,79.708,40.846,90.122,0.0,106.091,57.687,14.722,79.708,94.442,40.846,94.442,0.0,94.442,0.0,94.442,0.0,14.722,0.0,90.122,57.687,90.122,79.708,40.846
INST0208_N18_W28_D002,106.091,35.196,29.954,50.611,106.091,106.091,0.0,120.757,70.903,106.091,0.0,106.091,50.611,106.091,35.196,70.903,29.954,106.091,0.0,50.611,120.757,35.196,75.918,70.903,75.918,106.091,75.918,106.091,75.918,106.091,120.757,106.091,29.954,50.611,29.954,35.196,70.903
INST0208_N18_W28_P003,14.722,93.687,104.062,71.944,14.722,14.722,120.757,0.0,54.132,14.722,120.757,14.722,71.944,14.722,93.687,54.132,104.062,14.722,120.757,71.944,0.0,93.687,104.634,54.132,104.634,14.722,104.634,14.722,104.634,14.722,0.0,14.722,104.062,71.944,104.062,93.687,54.132
INST0208_N18_W28_D003,40.846,40.063,50.28,20.342,40.846,40.846,70.903,54.132,0.0,40.846,70.903,40.846,20.342,40.846,40.063,0.0,50.28,40.846,70.903,20.342,54.132,40.063,57.646,0.0,57.646,40.846,57.646,40.846,57.646,40.846,54.132,40.846,50.28,20.342,50.28,40.063,0.0
INST0208_N18_W28_P004,0.0,79.708,90.122,57.687,0.0,0.0,106.091,14.722,40.846,0.0,106.091,0.0,57.687,0.0,79.708,40.846,90.122,0.0,106.091,57.687,14.722,79.708,94.442,40.846,94.442,0.0,94.442,0.0,94.442,0.0,14.722,0.0,90.122,57.687,90.122,79.708,40.846
