,depot,INST0210_N20_N00_P000,INST0210_N20_N00_D000,INST0210_N20_N00_P001,INST0210_N20_N00_D001,INST0210_N20_N00_P002,INST0210_N20_N00_D002,INST0210_N20_N00_P003,INST0210_N20_N00_D003,INST0210_N20_N00_P004,INST0210_N20_N00_D004,INST0210_N20_N00_P005,INST0210_N20_N00_D005,INST0210_N20_N00_P006,INST0210_N20_N00_D006,INST0210_N20_N00_P007,INST0210_N20_N00_D007,INST0210_N20_N00_P008,INST0210_N20_N00_D008,INST0210_N20_N00_P009,INST0210_N20_N00_D009,INST0210_N20_N00_P010,INST0210_N20_N00_D010,INST0210_N20_N00_P011,INST0210_N20_N00_D011,INST0210_N20_N00_P012,INST0210_N20_N00_D012,INST0210_N20_N00_P013,INST0210_N20_N00_D013,INST0210_N20_N00_P014,INST0210_N20_N00_D014,INST0210_N20_N00_P015,INST0210_N20_N00_D015,INST0210_N20_N00_P016,INST0210_N20_N00_D016,INST0210_N20_N00_P017,INST0210_N20_N00_D017,INST0210_N20_N00_P018,INST0210_N20_N00_D018,INST0210_N20_N00_P019,INST0210_N20_N00_D019
depot,0.0,0.0,13.759,21.8,132.823,61.784,11.477,61.784,119.262,0.0,34.294,19.671,61.784,7.201,34.294,18.791,119.262,11.477,119.262,34.294,61.784,19.671,0.0,13.759,19.671,66.32,87.958,19.671,34.294,34.294,19.671,61.784,19.671,34.294,66.32,7.201,19.671,18.791,21.8,11.477,7.201
INST0210_N20_N00_P000,0.0,0.0,13.759,21.8,132.823,61.784,11.477,61.784,119.262,0.0,34.294,19.671,61.784,7.201,34.294,18.791,119.262,11.477,119.262,34.294,61.784,19.671,0.0,13.759,19.671,66.32,87.958,19.671,34.294,34.294,19.671,61.784,19.671,34.294,66.32,7.201,19.671,18.791,21.8,11.477,7.201
INST0210_N20_N00_D000,13.759,13.759,0.0,11.436,135.971,66.572,2.788,66.572,109.689,13.759,46.06,23.353,66.572,20.176,46.06,30.471,109.689,2.788,109.689,46.06,66.572,23.353,13.759,0.0,23.353,52.8,77.555,23.353,46.06,46.06,23.353,66.572,23.353,46.06,52.8,20.176,23.353,30.471,11.436,2.788,20.176
INST0210_N20_N00_P001,21.8,21.8,11.436,0.0,128.231,77.99,13.942,77.99,113.909,21.8,48.052,20.683,77.99,26.126,48.052,40.266,113.909,13.942,113.909,48.052,77.99,20.683,21.8,11.436,20.683,46.019,81.189,20.683,48.052,48.052,20.683,77.99,20.683,48.052,46.019,26.126,20.683,40.266,0.0,13.942,26.126
INST0210_N20_N00_D001,132.823,132.823,135.971,128.231,0.0,190.666,136.742,190.666,239.676,132.823,110.202,113.8,190.666,127.973,110.202,143.5,239.676,136.742,239.676,110.202,190.666,113.8,132.823,135.971,113.8,149.304,206.878,113.8,110.202,110.202,113.8,190.666,113.8,110.202,149.304,127.973,113.8,143.5,128.231,136.742,127.973
INST0210_N20_N00_P002,61.784,61.784,66.572,77.99,190.666,0.0,64.236,0.0,104.379,61.784,81.232,81.17,0.0,64.45,81.232,47.339,104.379,64.236,104.379,81.232,0.0,81.17,61.784,66.572,81.17,107.477,85.106,81.17,81.232,81.232,81.17,0.0,81.17,81.232,107.477,64.45,81.17,47.339,77.99,64.236,64.45
INST0210_N20_N00_D002,11.477,11.477,2.788,13.942,136.742,64.236,0.0,64.236,110.207,11.477,44.646,23.461,64.236,18.229,44.646,27.709,110.207,0.0,110.207,44.646,64.236,23.461,11.477,2.788,23.461,55.435,78.292,23.461,44.646,44.646,23.461,64.236,23.461,44.646,55.435,18.229,23.461,27.709,13.942,0.0,18.229
INST0210_N20_N00_P003,61.784,61.784,66.572,77.99,190.666,0.0,64.236,0.0,104.379,61.784,81.232,81.17,0.0,64.45,81.232,47.339,104.379,64.236,104.379,81.232,0.0,81.17,61.784,66.572,81.17,107.477,85.106,81.17,81.232,81.232,81.17,0.0,81.17,81.232,107.477,64.45,81.17,47.339,77.99,64.236,64.45
INST0210_N20_N00_D003,119.262,119.262,109.689,113.909,239.676,104.379,110.207,104.379,0.0,119.262,153.371,132.815,104.379,126.352,153.371,122.278,0.0,110.207,0.0,153.371,104.379,132.815,119.262,109.689,132.815,95.428,32.884,132.815,153.371,153.371,132.815,104.379,132.815,153.371,95.428,126.352,132.815,122.278,113.909,110.207,126.352
INST0210_N20_N00_P004,0.0,0.0,13.759,21.8,132.823,61.784,11.477,61.784,119.262,0.0,34.294,19.671,61.784,7.201,34.294,18.791,119.262,11.477,119.262,34.294,61.784,19.671,0.0,13.759,19.671,66.32,87.958,19.671,34.294,34.294,19.671,61.784,19.671,34.294,66.32,7.201,19.671,18.791,21.8,11.477,7.201
