,depot,INST0213_N20_N03_P000,INST0213_N20_N03_D000,INST0213_N20_N03_P001,INST0213_N20_N03_D001,INST0213_N20_N03_P002,INST0213_N20_N03_D002,INST0213_N20_N03_P003,INST0213_N20_N03_D003,INST0213_N20_N03_P004,INST0213_N20_N03_D004,INST0213_N20_N03_P005,INST0213_N20_N03_D005,INST0213_N20_N03_P006,INST0213_N20_N03_D006,INST0213_N20_N03_P007,INST0213_N20_N03_D007,INST0213_N20_N03_P008,INST0213_N20_N03_D008,INST0213_N20_N03_P009,INST0213_N20_N03_D009,INST0213_N20_N03_P010,INST0213_N20_N03_D010,INST0213_N20_N03_P011,INST0213_N20_N03_D011,INST0213_N20_N03_P012,INST0213_N20_N03_D012,INST0213_N20_N03_P013,INST0213_N20_N03_D013,INST0213_N20_N03_P014,INST0213_N20_N03_D014,INST0213_N20_N03_P015,INST0213_N20_N03_D015,INST0213_N20_N03_P016,INST0213_N20_N03_D016,INST0213_N20_N03_P017,INST0213_N20_N03_D017,INST0213_N20_N03_P018,INST0213_N20_N03_D018,INST0213_N20_N03_P019,INST0213_N20_N03_D019
depot,0.0,94.965,16.848,64.653,37.312,16.848,28.595,24.705,64.653,3.413,14.003,81.517,37.312,24.705,14.003,94.965,16.848,56.4,14.003,0.0,81.517,28.595,166.496,64.653,134.313,81.517,94.965,94.965,37.312,14.003,3.413,14.003,64.653,3.413,16.848,28.595,37.312,3.413,24.705,37.312,56.4
INST0213_N20_N03_P000,94.965,0.0,107.703,79.694,114.14,107.703,122.983,116.493,79.694,95.867,99.415,104.211,114.14,116.493,99.415,0.0,107.703,149.69,99.415,94.965,104.211,122.983,253.32,79.694,40.266,104.211,0.0,0.0,114.14,99.415,95.867,99.415,79.694,95.867,107.703,122.983,114.14,95.867,116.493,114.14,149.69
INST0213_N20_N03_D000,16.848,107.703,0.0,81.208,23.01,0.0,24.088,8.817,81.208,14.053,26.694,75.654,23.01,8.817,26.694,107.703,0.0,41.993,26.694,16.848,75.654,24.088,162.641,81.208,146.035,75.654,107.703,107.703,23.01,26.694,14.053,26.694,81.208,14.053,0.0,24.088,23.01,14.053,8.817,23.01,41.993
INST0213_N20_N03_P001,64.653,79.694,81.208,0.0,101.428,81.208,79.42,87.893,0.0,67.88,56.35,131.605,101.428,87.893,56.35,79.694,81.208,114.332,56.35,64.653,131.605,79.42,182.822,0.0,116.851,131.605,79.694,79.694,101.428,56.35,67.88,56.35,0.0,67.88,81.208,79.42,101.428,67.88,87.893,101.428,114.332
INST0213_N20_N03_D001,37.312,114.14,23.01,101.428,0.0,23.01,43.511,22.387,101.428,33.929,49.306,57.966,0.0,22.387,49.306,114.14,23.01,43.657,49.306,37.312,57.966,43.511,175.714,101.428,149.729,57.966,114.14,114.14,0.0,49.306,33.929,49.306,101.428,33.929,23.01,43.511,0.0,33.929,22.387,0.0,43.657
INST0213_N20_N03_P002,16.848,107.703,0.0,81.208,23.01,0.0,24.088,8.817,81.208,14.053,26.694,75.654,23.01,8.817,26.694,107.703,0.0,41.993,26.694,16.848,75.654,24.088,162.641,81.208,146.035,75.654,107.703,107.703,23.01,26.694,14.053,26.694,81.208,14.053,0.0,24.088,23.01,14.053,8.817,23.01,41.993
INST0213_N20_N03_D002,28.595,122.983,24.088,79.42,43.511,24.088,0.0,21.127,79.42,28.727,25.326,99.392,43.511,21.127,25.326,122.983,24.088,35.041,25.326,28.595,99.392,0.0,139.347,79.42,162.63,99.392,122.983,122.983,43.511,25.326,28.727,25.326,79.42,28.727,24.088,0.0,43.511,28.727,21.127,43.511,35.041
INST0213_N20_N03_P003,24.705,116.493,8.817,87.893,22.387,8.817,21.127,0.0,87.893,22.322,31.992,78.919,22.387,0.0,31.992,116.493,8.817,33.197,31.992,24.705,78.919,21.127,156.702,87.893,154.717,78.919,116.493,116.493,22.387,31.992,22.322,31.992,87.893,22.322,8.817,21.127,22.387,22.322,0.0,22.387,33.197
INST0213_N20_N03_D003,64.653,79.694,81.208,0.0,101.428,81.208,79.42,87.893,0.0,67.88,56.35,131.605,101.428,87.893,56.35,79.694,81.208,114.332,56.35,64.653,131.605,79.42,182.822,0.0,116.851,131.605,79.694,79.694,101.428,56.35,67.88,56.35,0.0,67.88,81.208,79.42,101.428,67.88,87.893,101.428,114.332
INST0213_N20_N03_P004,3.413,95.867,14.053,67.88,33.929,14.053,28.727,22.322,67.88,0.0,17.072,78.656,33.929,22.322,17.072,95.867,14.053,54.669,17.072,3.413,78.656,28.727,167.44,67.88,134.948,78.656,95.867,95.867,33.929,17.072,0.0,17.072,67.88,0.0,14.053,28.727,33.929,0.0,22.322,33.929,54.669
INST0213_N20_N03_D004,14.003,99.415,26.694,56.35,49.306,26.694,25.326,31.992,56.35,17.072,0.0,95.498,49.306,31.992,0.0,99.415,26.694,58.839,0.0,14.003,95.498,25.326,157.017,56.35,139.481,95.498,99.415,99.415,49.306,0.0,17.072,0.0,56.35,17.072,26.694,25.326,49.306,17.072,31.992,49.306,58.839
INST0213_N20_N03_P005,81.517,104.211,75.654,131.605,57.966,75.654,99.392,78.919,131.605,78.656,95.498,0.0,57.966,78.919,95.498,104.211,75.654,99.467,95.498,81.517,0.0,99.392,233.468,131.605,127.812,0.0,104.211,104.211,57.966,95.498,78.656,95.498,131.605,78.656,75.654,99.392,57.966,78.656,78.919,57.966,99.467
INST0213_N20_N03_D005,37.312,114.14,23.01,101.428,0.0,23.01,43.511,22.387,101.428,33.929,49.306,57.966,0.0,22.387,49.306,114.14,23.01,43.657,49.306,37.312,57.966,43.511,175.714,101.428,149.729,57.966,114.14,114.14,0.0,49.306,33.929,49.306,101.428,33.929,23.01,43.511,0.0,33.929,22.387,0.0,43.657
INST0213_N20_N03_P006,24.705,116.493,8.817,87.893,22.387,8.817,21.127,0.0,87.893,22.322,31.992,78.919,22.387,0.0,31.992,116.493,8.817,33.197,31.992,24.705,78.919,21.127,156.702,87.893,154.717,78.919,116.493,116.493,22.387,31.992,22.322,31.992,87.893,22.322,8.817,21.127,22.387,22.322,0.0,22.387,33.197
INST0213_N20_N03_D006,14.003,99.415,26.694,56.35,49.306,26.694,25.326,31.992,56.35,17.072,0.0,95.498,49.306,31.992,0.0,99.415,26.694,58.839,0.0,14.003,95.498,25.326,157.017,56.35,139.481,95.498,99.415,99.415,49.306,0.0,17.072,0.0,56.35,17.072,26.694,25.326,49.306,17.072,31.992,49.306,58.839
INST0213_N20_N03_P007,94.965,0.0,107.703,79.694,114.14,107.703,122.983,116.493,79.694,95.867,99.415,104.211,114.14,116.493,99.415,0.0,107.703,149.69,99.415,94.965,104.211,122.983,253.32,79.694,40.266,104.211,0.0,0.0,114.14,99.415,95.867,99.415,79.694,95.867,107.703,122.983,114.14,95.867,116.493,114.14,149.69
INST0213_N20_N03_D007,16.848,107.703,0.0,81.208,23.01,0.0,24.088,8.817,81.208,14.053,26.694,75.654,23.01,8.817,26.694,107.703,0.0,41.993,26.694,16.848,75.654,24.088,162.641,81.208,146.035,75.654,107.703,107.703,23.01,26.694,14.053,26.694,81.208,14.053,0.0,24.088,23.01,14.053,8.817,23.01,41.993
INST0213_N20_N03_P008,56.4,149.69,41.993,114.332,43.657,41.993,35.041,33.197,114.332,54.669,58.839,99.467,43.657,33.197,58.839,149.69,41.993,0.0,58.839,56.4,99.467,35.041,134.941,114.332,187.802,99.467,149.69,149.69,43.657,58.839,54.669,58.839,114.332,54.669,41.993,35.041,43.657,54.669,33.197,43.657,0.0
INST0213_N20_N03_D008,14.003,99.415,26.694,56.35,49.306,26.694,25.326,31.992,56.35,17.072,0.0,95.498,49.306,31.992,0.0,99.415,26.694,58.839,0.0,14.003,95.498,25.326,157.017,56.35,139.481,95.498,99.415,99.415,49.306,0.0,17.072,0.0,56.35,17.072,26.694,25.326,49.306,17.072,31.992,49.306,58.839
INST0213_N20_N03_P009,0.0,94.965,16.848,64.653,37.312,16.848,28.595,24.705,64.653,3.413,14.003,81.517,37.312,24.705,14.003,94.965,16.848,56.4,14.003,0.0,81.517,28.595,166.496,64.653,134.313,81.517,94.965,94.965,37.312,14.003,3.413,14.003,64.653,3.413,16.848,28.595,37.312,3.413,24.705,37.312,56.4
INST0213_N20_N03_D009,81.517,104.211,75.654,131.605,57.966,75.654,99.392,78.919,131.605,78.656,95.498,0.0,57.966,78.919,95.498,104.211,75.654,99.467,95.498,81.517,0.0,99.392,233.468,131.605,127.812,0.0,104.211,104.211,57.966,95.498,78.656,95.498,131.605,78.656,75.654,99.392,57.966,78.656,78.919,57.966,99.467
INST0213_N20_N03_P010,28.595,122.983,24.088,79.42,43.511,24.088,0.0,21.127,79.42,28.727,25.326,99.392,43.511,21.127,25.326,122.983,24.088,35.041,25.326,28.595,99.392,0.0,139.347,79.42,162.63,99.392,122.983,122.983,43.511,25.326,28.727,25.326,79.42,28.727,24.088,0.0,43.511,28.727,21.127,43.511,35.041
INST0213_N20_N03_D010,166.496,253.32,162.641,182.822,175.714,162.641,139.347,156.702,182.822,167.44,157.017,233.468,175.714,156.702,157.017,253.32,162.641,134.941,157.017,166.496,233.468,139.347,0.0,182.822,293.481,233.468,253.32,253.32,175.714,157.017,167.44,157.017,182.822,167.44,162.641,139.347,175.714,167.44,156.702,175.714,134.941
INST0213_N20_N03_P011,64.653,79.694,81.208,0.0,101.428,81.208,79.42,87.893,0.0,67.88,56.35,131.605,101.428,87.893,56.35,79.694,81.208,114.332,56.35,64.653,131.605,79.42,182.822,0.0,116.851,131.605,79.694,79.694,101.428,56.35,67.88,56.35,0.0,67.88,81.208,79.42,101.428,67.88,87.893,101.428,114.332
INST0213_N20_N03_D011,134.313,40.266,146.035,116.851,149.729,146.035,162.63,154.717,116.851,134.948,139.481,127.812,149.729,154.717,139.481,40.266,146.035,187.802,139.481,134.313,127.812,162.63,293.481,116.851,0.0,127.812,40.266,40.266,149.729,139.481,134.948,139.481,116.851,134.948,146.035,162.63,149.729,134.948,154.717,149.729,187.802
INST0213_N20_N03_P012,81.517,104.211,75.654,131.605,57.966,75.654,99.392,78.919,131.605,78.656,95.498,0.0,57.966,78.919,95.498,104.211,75.654,99.467,95.498,81.517,0.0,99.392,233.468,131.605,127.812,0.0,104.211,104.211,57.966,95.498,78.656,95.498,131.605,78.656,75.654,99.392,57.966,78.656,78.919,57.966,99.467
INST0213_N20_N03_D012,94.965,0.0,107.703,79.694,114.14,107.703,122.983,116.493,79.694,95.867,99.415,104.211,114.14,116.493,99.415,0.0,107.703,149.69,99.415,94.965,104.211,122.983,253.32,79.694,40.266,104.211,0.0,0.0,114.14,99.415,95.867,99.415,79.694,95.867,107.703,122.983,114.14,95.867,116.493,114.14,149.69
INST0213_N20_N03_P013,94.965,0.0,107.703,79.694,114.14,107.703,122.983,116.493,79.694,95.867,99.415,104.211,114.14,116.493,99.415,0.0,107.703,149.69,99.415,94.965,104.211,122.983,253.32,79.694,40.266,104.211,0.0,0.0,114.14,99.415,95.867,99.415,79.694,95.867,107.703,122.983,114.14,95.867,116.493,114.14,149.69
INST0213_N20_N03_D013,37.312,114.14,23.01,101.428,0.0,23.01,43.511,22.387,101.428,33.929,49.306,57.966,0.0,22.387,49.306,114.14,23.01,43.657,49.306,37.312,57.966,43.511,175.714,101.428,149.729,57.966,114.14,114.14,0.0,49.306,33.929,49.306,101.428,33.929,23.01,43.511,0.0,33.929,22.387,0.0,43.657
INST0213_N20_N03_P014,14.003,99.415,26.694,56.35,49.306,26.694,25.326,31.992,56.35,17.072,0.0,95.498,49.306,31.992,0.0,99.415,26.694,58.839,0.0,14.003,95.498,25.326,157.017,56.35,139.481,95.498,99.415,99.415,49.306,0.0,17.072,0.0,56.35,17.072,26.694,25.326,49.306,17.072,31.992,49.306,58.839
INST0213_N20_N03_D014,3.413,95.867,14.053,67.88,33.929,14.053,28.727,22.322,67.88,0.0,17.072,78.656,33.929,22.322,17.072,95.867,14.053,54.669,17.072,3.413,78.656,28.727,167.44,67.88,134.948,78.656,95.867,95.867,33.929,17.072,0.0,17.072,67.88,0.0,14.053,28.727,33.929,0.0,22.322,33.929,54.669
INST0213_N20_N03_P015,14.003,99.415,26.694,56.35,49.306,26.694,25.326,31.992,56.35,17.072,0.0,95.498,49.306,31.992,0.0,99.415,26.694,58.839,0.0,14.003,95.498,25.326,157.017,56.35,139.481,95.498,99.415,99.415,49.306,0.0,17.072,0.0,56.35,17.072,26.694,25.326,49.306,17.072,31.992,49.306,58.839
INST0213_N20_N03_D015,64.653,79.694,81.208,0.0,101.428,81.208,79.42,87.893,0.0,67.88,56.35,131.605,101.428,87.893,56.35,79.694,81.208,114.332,56.35,64.653,131.605,79.42,182.822,0.0,116.851,131.605,79.694,79.694,101.428,56.35,67.88,56.35,0.0,67.88,81.208,79.42,101.428,67.88,87.893,101.428,114.332
INST0213_N20_N03_P016,3.413,95.867,14.053,67.88,33.929,14.053,28.727,22.322,67.88,0.0,17.072,78.656,33.929,22.322,17.072,95.867,14.053,54.669,17.072,3.413,78.656,28.727,167.44,67.88,134.948,78.656,95.867,95.867,33.929,17.072,0.0,17.072,67.88,0.0,14.053,28.727,33.929,0.0,22.322,33.929,54.669
INST0213_N20_N03_D016,16.848,107.703,0.0,81.208,23.01,0.0,24.088,8.817,81.208,14.053,26.694,75.654,23.01,8.817,26.694,107.703,0.0,41.993,26.694,16.848,75.654,24.088,162.641,81.208,146.035,75.654,107.703,107.703,23.01,26.694,14.053,26.694,81.208,14.053,0.0,24.088,23.01,14.053,8.817,23.01,41.993
