,depot,INST0220_N20_W10_P000,INST0220_N20_W10_D000,INST0220_N20_W10_P001,INST0220_N20_W10_D001,INST0220_N20_W10_P002,INST0220_N20_W10_D002,INST0220_N20_W10_P003,INST0220_N20_W10_D003,INST0220_N20_W10_P004,INST0220_N20_W10_D004,INST0220_N20_W10_P005,INST0220_N20_W10_D005,INST0220_N20_W10_P006,INST0220_N20_W10_D006,INST0220_N20_W10_P007,INST0220_N20_W10_D007,INST0220_N20_W10_P008,INST0220_N20_W10_D008,INST0220_N20_W10_P009,INST0220_N20_W10_D009,INST0220_N20_W10_P010,INST0220_N20_W10_D010,INST0220_N20_W10_P011,INST0220_N20_W10_D011,INST0220_N20_W10_P012,INST0220_N20_W10_D012,INST0220_N20_W10_P013,INST0220_N20_W10_D013,INST0220_N20_W10_P014,INST0220_N20_W10_D014,INST0220_N20_W10_P015,INST0220_N20_W10_D015,INST0220_N20_W10_P016,INST0220_N20_W10_D016,INST0220_N20_W10_P017,INST0220_N20_W10_D017,INST0220_N20_W10_P018,INST0220_N20_W10_D018,INST0220_N20_W10_P019,INST0220_N20_W10_D019
depot,0.0,18.744,28.769,52.507,123.055,16.35,69.129,18.744,16.35,69.129,16.35,69.129,29.48,11.735,16.35,0.0,29.48,29.48,11.735,19.054,16.35,19.054,109.164,52.507,18.744,29.48,0.0,52.507,18.744,18.744,51.842,16.35,52.507,16.35,29.48,19.054,16.35,69.129,11.735,29.48,69.129
INST0220_N20_W10_P000,18.744,0.0,41.092,35.155,109.245,26.872,55.217,0.0,26.872,55.217,26.872,55.217,20.581,30.344,26.872,18.744,20.581,20.581,30.344,14.077,26.872,14.077,96.036,35.155,0.0,20.581,18.744,35.155,0.0,0.0,41.349,26.872,35.155,26.872,20.581,14.077,26.872,55.217,30.344,20.581,55.217
INST0220_N20_W10_D000,28.769,41.092,0.0,75.918,120.757,14.239,70.903,41.092,14.239,70.903,14.239,70.903,35.196,23.199,14.239,28.769,35.196,35.196,23.199,29.954,14.239,29.954,106.091,75.918,41.092,35.196,28.769,75.918,41.092,41.092,50.611,14.239,75.918,14.239,35.196,29.954,14.239,70.903,23.199,35.196,70.903
INST0220_N20_W10_P001,52.507,35.155,75.918,0.0,104.634,61.821,57.646,35.155,61.821,57.646,61.821,57.646,46.518,64.172,61.821,52.507,46.518,46.518,64.172,46.592,61.821,46.592,94.442,0.0,35.155,46.518,52.507,0.0,35.155,35.155,55.918,61.821,0.0,61.821,46.518,46.592,61.821,57.646,64.172,46.518,57.646
INST0220_N20_W10_D001,123.055,109.245,120.757,104.634,0.0,115.807,54.132,109.245,115.807,54.132,115.807,54.132,93.687,130.825,115.807,123.055,93.687,93.687,130.825,104.062,115.807,104.062,14.722,104.634,109.245,93.687,123.055,104.634,109.245,109.245,71.944,115.807,104.634,115.807,93.687,104.062,115.807,54.132,130.825,93.687,54.132
INST0220_N20_W10_P002,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_D002,69.129,55.217,70.903,57.646,54.132,63.444,0.0,55.217,63.444,0.0,63.444,0.0,40.063,77.525,63.444,69.129,40.063,40.063,77.525,50.28,63.444,50.28,40.846,57.646,55.217,40.063,69.129,57.646,55.217,55.217,20.342,63.444,57.646,63.444,40.063,50.28,63.444,0.0,77.525,40.063,0.0
INST0220_N20_W10_P003,18.744,0.0,41.092,35.155,109.245,26.872,55.217,0.0,26.872,55.217,26.872,55.217,20.581,30.344,26.872,18.744,20.581,20.581,30.344,14.077,26.872,14.077,96.036,35.155,0.0,20.581,18.744,35.155,0.0,0.0,41.349,26.872,35.155,26.872,20.581,14.077,26.872,55.217,30.344,20.581,55.217
INST0220_N20_W10_D003,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_P004,69.129,55.217,70.903,57.646,54.132,63.444,0.0,55.217,63.444,0.0,63.444,0.0,40.063,77.525,63.444,69.129,40.063,40.063,77.525,50.28,63.444,50.28,40.846,57.646,55.217,40.063,69.129,57.646,55.217,55.217,20.342,63.444,57.646,63.444,40.063,50.28,63.444,0.0,77.525,40.063,0.0
