,depot,INST0227_N20_S17_P000,INST0227_N20_S17_D000,INST0227_N20_S17_P001,INST0227_N20_S17_D001,INST0227_N20_S17_P002,INST0227_N20_S17_D002,INST0227_N20_S17_P003,INST0227_N20_S17_D003,INST0227_N20_S17_P004,INST0227_N20_S17_D004,INST0227_N20_S17_P005,INST0227_N20_S17_D005,INST0227_N20_S17_P006,INST0227_N20_S17_D006,INST0227_N20_S17_P007,INST0227_N20_S17_D007,INST0227_N20_S17_P008,INST0227_N20_S17_D008,INST0227_N20_S17_P009,INST0227_N20_S17_D009,INST0227_N20_S17_P010,INST0227_N20_S17_D010,INST0227_N20_S17_P011,INST0227_N20_S17_D011,INST0227_N20_S17_P012,INST0227_N20_S17_D012,INST0227_N20_S17_P013,INST0227_N20_S17_D013,INST0227_N20_S17_P014,INST0227_N20_S17_D014,INST0227_N20_S17_P015,INST0227_N20_S17_D015,INST0227_N20_S17_P016,INST0227_N20_S17_D016,INST0227_N20_S17_P017,INST0227_N20_S17_D017,INST0227_N20_S17_P018,INST0227_N20_S17_D018,INST0227_N20_S17_P019,INST0227_N20_S17_D019
depot,0.0,19.629,25.439,25.439,83.416,19.629,21.517,19.488,59.019,21.517,24.239,0.0,124.222,24.239,19.488,24.239,124.222,59.019,45.002,59.019,24.239,0.0,19.629,19.488,19.629,19.629,55.171,19.488,0.0,24.239,19.488,25.439,91.902,21.517,45.002,24.239,0.0,19.488,25.439,59.019,24.239
INST0227_N20_S17_P000,19.629,0.0,10.881,10.881,68.319,0.0,21.478,36.46,55.179,21.478,5.477,19.629,130.689,5.477,36.46,5.477,130.689,55.179,50.526,55.179,5.477,19.629,0.0,36.46,0.0,0.0,61.394,36.46,19.629,5.477,36.46,10.881,97.061,21.478,50.526,5.477,19.629,36.46,10.881,55.179,5.477
INST0227_N20_S17_D000,25.439,10.881,0.0,0.0,58.699,10.881,32.298,44.339,65.452,32.298,7.008,25.439,122.952,7.008,44.339,7.008,122.952,65.452,43.838,65.452,7.008,25.439,10.881,44.339,10.881,10.881,54.565,44.339,25.439,7.008,44.339,0.0,89.072,32.298,43.838,7.008,25.439,44.339,0.0,65.452,7.008
INST0227_N20_S17_P001,25.439,10.881,0.0,0.0,58.699,10.881,32.298,44.339,65.452,32.298,7.008,25.439,122.952,7.008,44.339,7.008,122.952,65.452,43.838,65.452,7.008,25.439,10.881,44.339,10.881,10.881,54.565,44.339,25.439,7.008,44.339,0.0,89.072,32.298,43.838,7.008,25.439,44.339,0.0,65.452,7.008
INST0227_N20_S17_D001,83.416,68.319,58.699,58.699,0.0,68.319,88.975,102.776,113.511,88.975,62.898,83.416,123.443,62.898,102.776,62.898,123.443,113.511,71.865,113.511,62.898,83.416,68.319,102.776,68.319,68.319,77.092,102.776,83.416,62.898,102.776,58.699,93.449,88.975,71.865,62.898,83.416,102.776,58.699,113.511,62.898
INST0227_N20_S17_P002,19.629,0.0,10.881,10.881,68.319,0.0,21.478,36.46,55.179,21.478,5.477,19.629,130.689,5.477,36.46,5.477,130.689,55.179,50.526,55.179,5.477,19.629,0.0,36.46,0.0,0.0,61.394,36.46,19.629,5.477,36.46,10.881,97.061,21.478,50.526,5.477,19.629,36.46,10.881,55.179,5.477
INST0227_N20_S17_D002,21.517,21.478,32.298,32.298,88.975,21.478,0.0,24.954,37.715,0.0,26.505,21.517,145.321,26.505,24.954,26.505,145.321,37.715,65.388,37.715,26.505,21.517,21.478,24.954,21.478,21.478,75.908,24.954,21.517,26.505,24.954,32.298,112.576,0.0,65.388,26.505,21.517,24.954,32.298,37.715,26.505
INST0227_N20_S17_P003,19.488,36.46,44.339,44.339,102.776,36.46,24.954,0.0,54.903,24.954,41.761,19.488,134.327,41.761,0.0,41.761,134.327,54.903,59.003,54.903,41.761,19.488,36.46,0.0,36.46,36.46,67.889,0.0,19.488,41.761,0.0,44.339,103.829,24.954,59.003,41.761,19.488,0.0,44.339,54.903,41.761
INST0227_N20_S17_D003,59.019,55.179,65.452,65.452,113.511,55.179,37.715,54.903,0.0,37.715,58.521,59.019,183.035,58.521,54.903,58.521,183.035,0.0,103.002,0.0,58.521,59.019,55.179,54.903,55.179,55.179,113.587,54.903,59.019,58.521,54.903,65.452,150.208,37.715,103.002,58.521,59.019,54.903,65.452,0.0,58.521
INST0227_N20_S17_P004,21.517,21.478,32.298,32.298,88.975,21.478,0.0,24.954,37.715,0.0,26.505,21.517,145.321,26.505,24.954,26.505,145.321,37.715,65.388,37.715,26.505,21.517,21.478,24.954,21.478,21.478,75.908,24.954,21.517,26.505,24.954,32.298,112.576,0.0,65.388,26.505,21.517,24.954,32.298,37.715,26.505
