,depot,INST0235_N20_W25_P000,INST0235_N20_W25_D000,INST0235_N20_W25_P001,INST0235_N20_W25_D001,INST0235_N20_W25_P002,INST0235_N20_W25_D002,INST0235_N20_W25_P003,INST0235_N20_W25_D003,INST0235_N20_W25_P004,INST0235_N20_W25_D004,INST0235_N20_W25_P005,INST0235_N20_W25_D005,INST0235_N20_W25_P006,INST0235_N20_W25_D006,INST0235_N20_W25_P007,INST0235_N20_W25_D007,INST0235_N20_W25_P008,INST0235_N20_W25_D008,INST0235_N20_W25_P009,INST0235_N20_W25_D009,INST0235_N20_W25_P010,INST0235_N20_W25_D010,INST0235_N20_W25_P011,INST0235_N20_W25_D011,INST0235_N20_W25_P012,INST0235_N20_W25_D012,INST0235_N20_W25_P013,INST0235_N20_W25_D013,INST0235_N20_W25_P014,INST0235_N20_W25_D014,INST0235_N20_W25_P015,INST0235_N20_W25_D015,INST0235_N20_W25_P016,INST0235_N20_W25_D016,INST0235_N20_W25_P017,INST0235_N20_W25_D017,INST0235_N20_W25_P018,INST0235_N20_W25_D018,INST0235_N20_W25_P019,INST0235_N20_W25_D019
depot,0.0,23.331,150.679,84.648,150.679,36.098,22.951,23.331,133.671,0.0,22.951,0.0,84.648,35.228,84.648,36.098,150.679,35.228,168.582,64.294,150.679,35.228,0.0,14.369,0.0,84.648,133.671,35.228,84.648,20.02,63.48,36.098,23.331,0.0,20.02,22.951,84.648,84.648,23.331,20.02,14.369
INST0235_N20_W25_P000,23.331,0.0,127.423,61.567,127.423,12.767,17.238,0.0,110.354,23.331,17.238,23.331,61.567,36.679,61.567,12.767,127.423,36.679,163.588,57.051,127.423,36.679,23.331,33.728,23.331,61.567,110.354,36.679,61.567,20.56,40.204,12.767,0.0,23.331,20.56,17.238,61.567,61.567,0.0,20.56,33.728
INST0235_N20_W25_D000,150.679,127.423,0.0,66.284,0.0,114.719,133.769,127.423,18.026,150.679,133.769,150.679,66.284,147.866,66.284,114.719,0.0,147.866,201.301,128.123,0.0,147.866,150.679,160.194,150.679,66.284,18.026,147.866,66.284,141.804,88.095,114.719,127.423,150.679,141.804,133.769,66.284,66.284,127.423,141.804,160.194
INST0235_N20_W25_P001,84.648,61.567,66.284,0.0,66.284,49.056,67.612,61.567,50.015,84.648,67.612,84.648,0.0,86.82,0.0,49.056,66.284,86.82,176.253,70.587,66.284,86.82,84.648,94.929,84.648,0.0,50.015,86.82,0.0,77.687,24.909,49.056,61.567,84.648,77.687,67.612,0.0,0.0,61.567,77.687,94.929
INST0235_N20_W25_D001,150.679,127.423,0.0,66.284,0.0,114.719,133.769,127.423,18.026,150.679,133.769,150.679,66.284,147.866,66.284,114.719,0.0,147.866,201.301,128.123,0.0,147.866,150.679,160.194,150.679,66.284,18.026,147.866,66.284,141.804,88.095,114.719,127.423,150.679,141.804,133.769,66.284,66.284,127.423,141.804,160.194
INST0235_N20_W25_P002,36.098,12.767,114.719,49.056,114.719,0.0,25.201,12.767,97.602,36.098,25.201,36.098,49.056,43.098,49.056,0.0,114.719,43.098,162.13,56.961,114.719,43.098,36.098,45.89,36.098,49.056,97.602,43.098,49.056,29.878,27.496,0.0,12.767,36.098,29.878,25.201,49.056,49.056,12.767,29.878,45.89
INST0235_N20_W25_D002,22.951,17.238,133.769,67.612,133.769,25.201,0.0,17.238,117.595,22.951,0.0,22.951,67.612,50.317,67.612,25.201,133.769,50.317,180.319,43.046,133.769,50.317,22.951,37.156,22.951,67.612,117.595,50.317,67.612,32.905,50.631,25.201,17.238,22.951,32.905,0.0,67.612,67.612,17.238,32.905,37.156
INST0235_N20_W25_P003,23.331,0.0,127.423,61.567,127.423,12.767,17.238,0.0,110.354,23.331,17.238,23.331,61.567,36.679,61.567,12.767,127.423,36.679,163.588,57.051,127.423,36.679,23.331,33.728,23.331,61.567,110.354,36.679,61.567,20.56,40.204,12.767,0.0,23.331,20.56,17.238,61.567,61.567,0.0,20.56,33.728
INST0235_N20_W25_D003,133.671,110.354,18.026,50.015,18.026,97.602,117.595,110.354,0.0,133.671,117.595,133.671,50.015,129.907,50.015,97.602,18.026,129.907,187.182,115.643,18.026,129.907,133.671,142.787,133.671,50.015,0.0,129.907,50.015,124.166,70.637,97.602,110.354,133.671,124.166,117.595,50.015,50.015,110.354,124.166,142.787
INST0235_N20_W25_P004,0.0,23.331,150.679,84.648,150.679,36.098,22.951,23.331,133.671,0.0,22.951,0.0,84.648,35.228,84.648,36.098,150.679,35.228,168.582,64.294,150.679,35.228,0.0,14.369,0.0,84.648,133.671,35.228,84.648,20.02,63.48,36.098,23.331,0.0,20.02,22.951,84.648,84.648,23.331,20.02,14.369
