,depot,INST0236_N20_S26_P000,INST0236_N20_S26_D000,INST0236_N20_S26_P001,INST0236_N20_S26_D001,INST0236_N20_S26_P002,INST0236_N20_S26_D002,INST0236_N20_S26_P003,INST0236_N20_S26_D003,INST0236_N20_S26_P004,INST0236_N20_S26_D004,INST0236_N20_S26_P005,INST0236_N20_S26_D005,INST0236_N20_S26_P006,INST0236_N20_S26_D006,INST0236_N20_S26_P007,INST0236_N20_S26_D007,INST0236_N20_S26_P008,INST0236_N20_S26_D008,INST0236_N20_S26_P009,INST0236_N20_S26_D009,INST0236_N20_S26_P010,INST0236_N20_S26_D010,INST0236_N20_S26_P011,INST0236_N20_S26_D011,INST0236_N20_S26_P012,INST0236_N20_S26_D012,INST0236_N20_S26_P013,INST0236_N20_S26_D013,INST0236_N20_S26_P014,INST0236_N20_S26_D014,INST0236_N20_S26_P015,INST0236_N20_S26_D015,INST0236_N20_S26_P016,INST0236_N20_S26_D016,INST0236_N20_S26_P017,INST0236_N20_S26_D017,INST0236_N20_S26_P018,INST0236_N20_S26_D018,INST0236_N20_S26_P019,INST0236_N20_S26_D019
depot,0.0,80.067,108.949,46.181,108.949,46.181,39.549,26.3,137.848,92.948,108.949,80.067,32.455,30.556,32.455,0.0,108.949,26.348,0.0,26.3,30.556,92.948,177.944,92.948,177.944,46.181,80.067,32.455,137.848,92.948,26.348,46.181,0.0,80.067,26.3,92.948,30.556,0.0,137.848,80.067,108.949
INST0236_N20_S26_P000,80.067,0.0,87.998,126.125,87.998,126.125,53.679,61.869,57.803,13.307,87.998,0.0,61.135,72.248,61.135,80.067,87.998,55.105,80.067,61.869,72.248,13.307,98.41,13.307,98.41,126.125,0.0,61.135,57.803,13.307,55.105,126.125,80.067,0.0,61.869,13.307,72.248,80.067,57.803,0.0,87.998
INST0236_N20_S26_D000,108.949,87.998,0.0,138.993,0.0,138.993,71.877,83.656,114.428,94.398,0.0,87.998,77.018,125.848,77.018,108.949,0.0,102.142,108.949,83.656,125.848,94.398,151.155,94.398,151.155,138.993,87.998,77.018,114.428,94.398,102.142,138.993,108.949,87.998,83.656,94.398,125.848,108.949,114.428,87.998,0.0
INST0236_N20_S26_P001,46.181,126.125,138.993,0.0,138.993,0.0,80.145,67.566,183.928,139.086,138.993,126.125,71.658,67.228,71.658,46.181,138.993,72.268,46.181,67.566,67.228,139.086,224.124,139.086,224.124,0.0,126.125,71.658,183.928,139.086,72.268,0.0,46.181,126.125,67.566,139.086,67.228,46.181,183.928,126.125,138.993
INST0236_N20_S26_D001,108.949,87.998,0.0,138.993,0.0,138.993,71.877,83.656,114.428,94.398,0.0,87.998,77.018,125.848,77.018,108.949,0.0,102.142,108.949,83.656,125.848,94.398,151.155,94.398,151.155,138.993,87.998,77.018,114.428,94.398,102.142,138.993,108.949,87.998,83.656,94.398,125.848,108.949,114.428,87.998,0.0
INST0236_N20_S26_P002,46.181,126.125,138.993,0.0,138.993,0.0,80.145,67.566,183.928,139.086,138.993,126.125,71.658,67.228,71.658,46.181,138.993,72.268,46.181,67.566,67.228,139.086,224.124,139.086,224.124,0.0,126.125,71.658,183.928,139.086,72.268,0.0,46.181,126.125,67.566,139.086,67.228,46.181,183.928,126.125,138.993
INST0236_N20_S26_D002,39.549,53.679,71.877,80.145,71.877,80.145,0.0,13.324,109.068,66.815,71.877,53.679,8.581,54.293,8.581,39.549,71.877,31.149,39.549,13.324,54.293,66.815,150.553,66.815,150.553,80.145,53.679,8.581,109.068,66.815,31.149,80.145,39.549,53.679,13.324,66.815,54.293,39.549,109.068,53.679,71.877
INST0236_N20_S26_P003,26.3,61.869,83.656,67.566,83.656,67.566,13.324,0.0,118.85,75.176,83.656,61.869,6.707,44.645,6.707,26.3,83.656,24.036,26.3,0.0,44.645,75.176,160.028,75.176,160.028,67.566,61.869,6.707,118.85,75.176,24.036,67.566,26.3,61.869,0.0,75.176,44.645,26.3,118.85,61.869,83.656
INST0236_N20_S26_D003,137.848,57.803,114.428,183.928,114.428,183.928,109.068,118.85,0.0,44.98,114.428,57.803,117.194,127.137,117.194,137.848,114.428,112.533,137.848,118.85,127.137,44.98,41.594,44.98,41.594,183.928,57.803,117.194,0.0,44.98,112.533,183.928,137.848,57.803,118.85,44.98,127.137,137.848,0.0,57.803,114.428
INST0236_N20_S26_P004,92.948,13.307,94.398,139.086,94.398,139.086,66.815,75.176,44.98,0.0,94.398,13.307,74.382,83.129,74.382,92.948,94.398,67.557,92.948,75.176,83.129,0.0,85.211,0.0,85.211,139.086,13.307,74.382,44.98,0.0,67.557,139.086,92.948,13.307,75.176,0.0,83.129,92.948,44.98,13.307,94.398
INST0236_N20_S26_D004,108.949,87.998,0.0,138.993,0.0,138.993,71.877,83.656,114.428,94.398,0.0,87.998,77.018,125.848,77.018,108.949,0.0,102.142,108.949,83.656,125.848,94.398,151.155,94.398,151.155,138.993,87.998,77.018,114.428,94.398,102.142,138.993,108.949,87.998,83.656,94.398,125.848,108.949,114.428,87.998,0.0
INST0236_N20_S26_P005,80.067,0.0,87.998,126.125,87.998,126.125,53.679,61.869,57.803,13.307,87.998,0.0,61.135,72.248,61.135,80.067,87.998,55.105,80.067,61.869,72.248,13.307,98.41,13.307,98.41,126.125,0.0,61.135,57.803,13.307,55.105,126.125,80.067,0.0,61.869,13.307,72.248,80.067,57.803,0.0,87.998
INST0236_N20_S26_D005,32.455,61.135,77.018,71.658,77.018,71.658,8.581,6.707,117.194,74.382,77.018,61.135,0.0,51.136,0.0,32.455,77.018,29.68,32.455,6.707,51.136,74.382,158.604,74.382,158.604,71.658,61.135,0.0,117.194,74.382,29.68,71.658,32.455,61.135,6.707,74.382,51.136,32.455,117.194,61.135,77.018
INST0236_N20_S26_P006,30.556,72.248,125.848,67.228,125.848,67.228,54.293,44.645,127.137,83.129,125.848,72.248,51.136,0.0,51.136,30.556,125.848,23.863,30.556,44.645,0.0,83.129,164.482,83.129,164.482,67.228,72.248,51.136,127.137,83.129,23.863,67.228,30.556,72.248,44.645,83.129,0.0,30.556,127.137,72.248,125.848
INST0236_N20_S26_D006,32.455,61.135,77.018,71.658,77.018,71.658,8.581,6.707,117.194,74.382,77.018,61.135,0.0,51.136,0.0,32.455,77.018,29.68,32.455,6.707,51.136,74.382,158.604,74.382,158.604,71.658,61.135,0.0,117.194,74.382,29.68,71.658,32.455,61.135,6.707,74.382,51.136,32.455,117.194,61.135,77.018
INST0236_N20_S26_P007,0.0,80.067,108.949,46.181,108.949,46.181,39.549,26.3,137.848,92.948,108.949,80.067,32.455,30.556,32.455,0.0,108.949,26.348,0.0,26.3,30.556,92.948,177.944,92.948,177.944,46.181,80.067,32.455,137.848,92.948,26.348,46.181,0.0,80.067,26.3,92.948,30.556,0.0,137.848,80.067,108.949
INST0236_N20_S26_D007,108.949,87.998,0.0,138.993,0.0,138.993,71.877,83.656,114.428,94.398,0.0,87.998,77.018,125.848,77.018,108.949,0.0,102.142,108.949,83.656,125.848,94.398,151.155,94.398,151.155,138.993,87.998,77.018,114.428,94.398,102.142,138.993,108.949,87.998,83.656,94.398,125.848,108.949,114.428,87.998,0.0
INST0236_N20_S26_P008,26.348,55.105,102.142,72.268,102.142,72.268,31.149,24.036,112.533,67.557,102.142,55.105,29.68,23.863,29.68,26.348,102.142,0.0,26.348,24.036,23.863,67.557,152.108,67.557,152.108,72.268,55.105,29.68,112.533,67.557,0.0,72.268,26.348,55.105,24.036,67.557,23.863,26.348,112.533,55.105,102.142
INST0236_N20_S26_D008,0.0,80.067,108.949,46.181,108.949,46.181,39.549,26.3,137.848,92.948,108.949,80.067,32.455,30.556,32.455,0.0,108.949,26.348,0.0,26.3,30.556,92.948,177.944,92.948,177.944,46.181,80.067,32.455,137.848,92.948,26.348,46.181,0.0,80.067,26.3,92.948,30.556,0.0,137.848,80.067,108.949
INST0236_N20_S26_P009,26.3,61.869,83.656,67.566,83.656,67.566,13.324,0.0,118.85,75.176,83.656,61.869,6.707,44.645,6.707,26.3,83.656,24.036,26.3,0.0,44.645,75.176,160.028,75.176,160.028,67.566,61.869,6.707,118.85,75.176,24.036,67.566,26.3,61.869,0.0,75.176,44.645,26.3,118.85,61.869,83.656
INST0236_N20_S26_D009,30.556,72.248,125.848,67.228,125.848,67.228,54.293,44.645,127.137,83.129,125.848,72.248,51.136,0.0,51.136,30.556,125.848,23.863,30.556,44.645,0.0,83.129,164.482,83.129,164.482,67.228,72.248,51.136,127.137,83.129,23.863,67.228,30.556,72.248,44.645,83.129,0.0,30.556,127.137,72.248,125.848
INST0236_N20_S26_P010,92.948,13.307,94.398,139.086,94.398,139.086,66.815,75.176,44.98,0.0,94.398,13.307,74.382,83.129,74.382,92.948,94.398,67.557,92.948,75.176,83.129,0.0,85.211,0.0,85.211,139.086,13.307,74.382,44.98,0.0,67.557,139.086,92.948,13.307,75.176,0.0,83.129,92.948,44.98,13.307,94.398
INST0236_N20_S26_D010,177.944,98.41,151.155,224.124,151.155,224.124,150.553,160.028,41.594,85.211,151.155,98.41,158.604,164.482,158.604,177.944,151.155,152.108,177.944,160.028,164.482,85.211,0.0,85.211,0.0,224.124,98.41,158.604,41.594,85.211,152.108,224.124,177.944,98.41,160.028,85.211,164.482,177.944,41.594,98.41,151.155
INST0236_N20_S26_P011,92.948,13.307,94.398,139.086,94.398,139.086,66.815,75.176,44.98,0.0,94.398,13.307,74.382,83.129,74.382,92.948,94.398,67.557,92.948,75.176,83.129,0.0,85.211,0.0,85.211,139.086,13.307,74.382,44.98,0.0,67.557,139.086,92.948,13.307,75.176,0.0,83.129,92.948,44.98,13.307,94.398
INST0236_N20_S26_D011,177.944,98.41,151.155,224.124,151.155,224.124,150.553,160.028,41.594,85.211,151.155,98.41,158.604,164.482,158.604,177.944,151.155,152.108,177.944,160.028,164.482,85.211,0.0,85.211,0.0,224.124,98.41,158.604,41.594,85.211,152.108,224.124,177.944,98.41,160.028,85.211,164.482,177.944,41.594,98.41,151.155
INST0236_N20_S26_P012,46.181,126.125,138.993,0.0,138.993,0.0,80.145,67.566,183.928,139.086,138.993,126.125,71.658,67.228,71.658,46.181,138.993,72.268,46.181,67.566,67.228,139.086,224.124,139.086,224.124,0.0,126.125,71.658,183.928,139.086,72.268,0.0,46.181,126.125,67.566,139.086,67.228,46.181,183.928,126.125,138.993
INST0236_N20_S26_D012,80.067,0.0,87.998,126.125,87.998,126.125,53.679,61.869,57.803,13.307,87.998,0.0,61.135,72.248,61.135,80.067,87.998,55.105,80.067,61.869,72.248,13.307,98.41,13.307,98.41,126.125,0.0,61.135,57.803,13.307,55.105,126.125,80.067,0.0,61.869,13.307,72.248,80.067,57.803,0.0,87.998
INST0236_N20_S26_P013,32.455,61.135,77.018,71.658,77.018,71.658,8.581,6.707,117.194,74.382,77.018,61.135,0.0,51.136,0.0,32.455,77.018,29.68,32.455,6.707,51.136,74.382,158.604,74.382,158.604,71.658,61.135,0.0,117.194,74.382,29.68,71.658,32.455,61.135,6.707,74.382,51.136,32.455,117.194,61.135,77.018
INST0236_N20_S26_D013,137.848,57.803,114.428,183.928,114.428,183.928,109.068,118.85,0.0,44.98,114.428,57.803,117.194,127.137,117.194,137.848,114.428,112.533,137.848,118.85,127.137,44.98,41.594,44.98,41.594,183.928,57.803,117.194,0.0,44.98,112.533,183.928,137.848,57.803,118.85,44.98,127.137,137.848,0.0,57.803,114.428
INST0236_N20_S26_P014,92.948,13.307,94.398,139.086,94.398,139.086,66.815,75.176,44.98,0.0,94.398,13.307,74.382,83.129,74.382,92.948,94.398,67.557,92.948,75.176,83.129,0.0,85.211,0.0,85.211,139.086,13.307,74.382,44.98,0.0,67.557,139.086,92.948,13.307,75.176,0.0,83.129,92.948,44.98,13.307,94.398
INST0236_N20_S26_D014,26.348,55.105,102.142,72.268,102.142,72.268,31.149,24.036,112.533,67.557,102.142,55.105,29.68,23.863,29.68,26.348,102.142,0.0,26.348,24.036,23.863,67.557,152.108,67.557,152.108,72.268,55.105,29.68,112.533,67.557,0.0,72.268,26.348,55.105,24.036,67.557,23.863,26.348,112.533,55.105,102.142
INST0236_N20_S26_P015,46.181,126.125,138.993,0.0,138.993,0.0,80.145,67.566,183.928,139.086,138.993,126.125,71.658,67.228,71.658,46.181,138.993,72.268,46.181,67.566,67.228,139.086,224.124,139.086,224.124,0.0,126.125,71.658,183.928,139.086,72.268,0.0,46.181,126.125,67.566,139.086,67.228,46.181,183.928,126.125,138.993
INST0236_N20_S26_D015,0.0,80.067,108.949,46.181,108.949,46.181,39.549,26.3,137.848,92.948,108.949,80.067,32.455,30.556,32.455,0.0,108.949,26.348,0.0,26.3,30.556,92.948,177.944,92.948,177.944,46.181,80.067,32.455,137.848,92.948,26.348,46.181,0.0,80.067,26.3,92.948,30.556,0.0,137.848,80.067,108.949
INST0236_N20_S26_P016,80.067,0.0,87.998,126.125,87.998,126.125,53.679,61.869,57.803,13.307,87.998,0.0,61.135,72.248,61.135,80.067,87.998,55.105,80.067,61.869,72.248,13.307,98.41,13.307,98.41,126.125,0.0,61.135,57.803,13.307,55.105,126.125,80.067,0.0,61.869,13.307,72.248,80.067,57.803,0.0,87.998
