,depot,INST0254_N22_S14_P000,INST0254_N22_S14_D000,INST0254_N22_S14_P001,INST0254_N22_S14_D001,INST0254_N22_S14_P002,INST0254_N22_S14_D002,INST0254_N22_S14_P003,INST0254_N22_S14_D003,INST0254_N22_S14_P004,INST0254_N22_S14_D004,INST0254_N22_S14_P005,INST0254_N22_S14_D005,INST0254_N22_S14_P006,INST0254_N22_S14_D006,INST0254_N22_S14_P007,INST0254_N22_S14_D007,INST0254_N22_S14_P008,INST0254_N22_S14_D008,INST0254_N22_S14_P009,INST0254_N22_S14_D009,INST0254_N22_S14_P010,INST0254_N22_S14_D010,INST0254_N22_S14_P011,INST0254_N22_S14_D011,INST0254_N22_S14_P012,INST0254_N22_S14_D012,INST0254_N22_S14_P013,INST0254_N22_S14_D013,INST0254_N22_S14_P014,INST0254_N22_S14_D014,INST0254_N22_S14_P015,INST0254_N22_S14_D015,INST0254_N22_S14_P016,INST0254_N22_S14_D016,INST0254_N22_S14_P017,INST0254_N22_S14_D017,INST0254_N22_S14_P018,INST0254_N22_S14_D018,INST0254_N22_S14_P019,INST0254_N22_S14_D019,INST0254_N22_S14_P020,INST0254_N22_S14_D020,INST0254_N22_S14_P021,INST0254_N22_S14_D021
depot,0.0,31.149,71.877,71.877,0.0,71.877,39.549,8.581,80.145,39.549,53.679,39.549,54.293,13.324,31.149,31.149,109.068,8.581,54.293,13.324,71.877,0.0,54.293,0.0,66.815,31.149,66.815,80.145,39.549,53.679,13.324,71.877,8.581,0.0,13.324,0.0,109.068,54.293,66.815,53.679,0.0,66.815,150.553,71.877,66.815
INST0254_N22_S14_P000,31.149,0.0,102.142,102.142,31.149,102.142,26.348,29.68,72.268,26.348,55.105,26.348,23.863,24.036,0.0,0.0,112.533,29.68,23.863,24.036,102.142,31.149,23.863,31.149,67.557,0.0,67.557,72.268,26.348,55.105,24.036,102.142,29.68,31.149,24.036,31.149,112.533,23.863,67.557,55.105,31.149,67.557,152.108,102.142,67.557
INST0254_N22_S14_D000,71.877,102.142,0.0,0.0,71.877,0.0,108.949,77.018,138.993,108.949,87.998,108.949,125.848,83.656,102.142,102.142,114.428,77.018,125.848,83.656,0.0,71.877,125.848,71.877,94.398,102.142,94.398,138.993,108.949,87.998,83.656,0.0,77.018,71.877,83.656,71.877,114.428,125.848,94.398,87.998,71.877,94.398,151.155,0.0,94.398
INST0254_N22_S14_P001,71.877,102.142,0.0,0.0,71.877,0.0,108.949,77.018,138.993,108.949,87.998,108.949,125.848,83.656,102.142,102.142,114.428,77.018,125.848,83.656,0.0,71.877,125.848,71.877,94.398,102.142,94.398,138.993,108.949,87.998,83.656,0.0,77.018,71.877,83.656,71.877,114.428,125.848,94.398,87.998,71.877,94.398,151.155,0.0,94.398
INST0254_N22_S14_D001,0.0,31.149,71.877,71.877,0.0,71.877,39.549,8.581,80.145,39.549,53.679,39.549,54.293,13.324,31.149,31.149,109.068,8.581,54.293,13.324,71.877,0.0,54.293,0.0,66.815,31.149,66.815,80.145,39.549,53.679,13.324,71.877,8.581,0.0,13.324,0.0,109.068,54.293,66.815,53.679,0.0,66.815,150.553,71.877,66.815
INST0254_N22_S14_P002,71.877,102.142,0.0,0.0,71.877,0.0,108.949,77.018,138.993,108.949,87.998,108.949,125.848,83.656,102.142,102.142,114.428,77.018,125.848,83.656,0.0,71.877,125.848,71.877,94.398,102.142,94.398,138.993,108.949,87.998,83.656,0.0,77.018,71.877,83.656,71.877,114.428,125.848,94.398,87.998,71.877,94.398,151.155,0.0,94.398
INST0254_N22_S14_D002,39.549,26.348,108.949,108.949,39.549,108.949,0.0,32.455,46.181,0.0,80.067,0.0,30.556,26.3,26.348,26.348,137.848,32.455,30.556,26.3,108.949,39.549,30.556,39.549,92.948,26.348,92.948,46.181,0.0,80.067,26.3,108.949,32.455,39.549,26.3,39.549,137.848,30.556,92.948,80.067,39.549,92.948,177.944,108.949,92.948
INST0254_N22_S14_P003,8.581,29.68,77.018,77.018,8.581,77.018,32.455,0.0,71.658,32.455,61.135,32.455,51.136,6.707,29.68,29.68,117.194,0.0,51.136,6.707,77.018,8.581,51.136,8.581,74.382,29.68,74.382,71.658,32.455,61.135,6.707,77.018,0.0,8.581,6.707,8.581,117.194,51.136,74.382,61.135,8.581,74.382,158.604,77.018,74.382
INST0254_N22_S14_D003,80.145,72.268,138.993,138.993,80.145,138.993,46.181,71.658,0.0,46.181,126.125,46.181,67.228,67.566,72.268,72.268,183.928,71.658,67.228,67.566,138.993,80.145,67.228,80.145,139.086,72.268,139.086,0.0,46.181,126.125,67.566,138.993,71.658,80.145,67.566,80.145,183.928,67.228,139.086,126.125,80.145,139.086,224.124,138.993,139.086
INST0254_N22_S14_P004,39.549,26.348,108.949,108.949,39.549,108.949,0.0,32.455,46.181,0.0,80.067,0.0,30.556,26.3,26.348,26.348,137.848,32.455,30.556,26.3,108.949,39.549,30.556,39.549,92.948,26.348,92.948,46.181,0.0,80.067,26.3,108.949,32.455,39.549,26.3,39.549,137.848,30.556,92.948,80.067,39.549,92.948,177.944,108.949,92.948
