,depot,INST0255_N22_N15_P000,INST0255_N22_N15_D000,INST0255_N22_N15_P001,INST0255_N22_N15_D001,INST0255_N22_N15_P002,INST0255_N22_N15_D002,INST0255_N22_N15_P003,INST0255_N22_N15_D003,INST0255_N22_N15_P004,INST0255_N22_N15_D004,INST0255_N22_N15_P005,INST0255_N22_N15_D005,INST0255_N22_N15_P006,INST0255_N22_N15_D006,INST0255_N22_N15_P007,INST0255_N22_N15_D007,INST0255_N22_N15_P008,INST0255_N22_N15_D008,INST0255_N22_N15_P009,INST0255_N22_N15_D009,INST0255_N22_N15_P010,INST0255_N22_N15_D010,INST0255_N22_N15_P011,INST0255_N22_N15_D011,INST0255_N22_N15_P012,INST0255_N22_N15_D012,INST0255_N22_N15_P013,INST0255_N22_N15_D013,INST0255_N22_N15_P014,INST0255_N22_N15_D014,INST0255_N22_N15_P015,INST0255_N22_N15_D015,INST0255_N22_N15_P016,INST0255_N22_N15_D016,INST0255_N22_N15_P017,INST0255_N22_N15_D017,INST0255_N22_N15_P018,INST0255_N22_N15_D018,INST0255_N22_N15_P019,INST0255_N22_N15_D019,INST0255_N22_N15_P020,INST0255_N22_N15_D020,INST0255_N22_N15_P021,INST0255_N22_N15_D021
depot,0.0,11.477,87.958,61.784,119.262,34.294,21.8,0.0,13.759,0.0,19.671,61.784,13.759,66.32,11.477,11.477,19.671,21.8,66.32,0.0,34.294,0.0,21.8,0.0,119.262,61.784,66.32,61.784,66.32,7.201,61.784,66.32,21.8,61.784,87.958,19.671,34.294,61.784,7.201,61.784,87.958,18.791,11.477,21.8,87.958
INST0255_N22_N15_P000,11.477,0.0,78.292,64.236,110.207,44.646,13.942,11.477,2.788,11.477,23.461,64.236,2.788,55.435,0.0,0.0,23.461,13.942,55.435,11.477,44.646,11.477,13.942,11.477,110.207,64.236,55.435,64.236,55.435,18.229,64.236,55.435,13.942,64.236,78.292,23.461,44.646,64.236,18.229,64.236,78.292,27.709,0.0,13.942,78.292
INST0255_N22_N15_D000,87.958,78.292,0.0,85.106,32.884,122.247,81.189,87.958,77.555,87.958,100.436,85.106,77.555,65.084,78.292,78.292,100.436,81.189,65.084,87.958,122.247,87.958,81.189,87.958,32.884,85.106,65.084,85.106,65.084,95.136,85.106,65.084,81.189,85.106,0.0,100.436,122.247,85.106,95.136,85.106,0.0,93.214,78.292,81.189,0.0
INST0255_N22_N15_P001,61.784,64.236,85.106,0.0,104.379,81.232,77.99,61.784,66.572,61.784,81.17,0.0,66.572,107.477,64.236,64.236,81.17,77.99,107.477,61.784,81.232,61.784,77.99,61.784,104.379,0.0,107.477,0.0,107.477,64.45,0.0,107.477,77.99,0.0,85.106,81.17,81.232,0.0,64.45,0.0,85.106,47.339,64.236,77.99,85.106
INST0255_N22_N15_D001,119.262,110.207,32.884,104.379,0.0,153.371,113.909,119.262,109.689,119.262,132.815,104.379,109.689,95.428,110.207,110.207,132.815,113.909,95.428,119.262,153.371,119.262,113.909,119.262,0.0,104.379,95.428,104.379,95.428,126.352,104.379,95.428,113.909,104.379,32.884,132.815,153.371,104.379,126.352,104.379,32.884,122.278,110.207,113.909,32.884
INST0255_N22_N15_P002,34.294,44.646,122.247,81.232,153.371,0.0,48.052,34.294,46.06,34.294,28.616,81.232,46.06,93.371,44.646,44.646,28.616,48.052,93.371,34.294,0.0,34.294,48.052,34.294,153.371,81.232,93.371,81.232,93.371,27.111,81.232,93.371,48.052,81.232,122.247,28.616,0.0,81.232,27.111,81.232,122.247,35.653,44.646,48.052,122.247
INST0255_N22_N15_D002,21.8,13.942,81.189,77.99,113.909,48.052,0.0,21.8,11.436,21.8,20.683,77.99,11.436,46.019,13.942,13.942,20.683,0.0,46.019,21.8,48.052,21.8,0.0,21.8,113.909,77.99,46.019,77.99,46.019,26.126,77.99,46.019,0.0,77.99,81.189,20.683,48.052,77.99,26.126,77.99,81.189,40.266,13.942,0.0,81.189
INST0255_N22_N15_P003,0.0,11.477,87.958,61.784,119.262,34.294,21.8,0.0,13.759,0.0,19.671,61.784,13.759,66.32,11.477,11.477,19.671,21.8,66.32,0.0,34.294,0.0,21.8,0.0,119.262,61.784,66.32,61.784,66.32,7.201,61.784,66.32,21.8,61.784,87.958,19.671,34.294,61.784,7.201,61.784,87.958,18.791,11.477,21.8,87.958
INST0255_N22_N15_D003,13.759,2.788,77.555,66.572,109.689,46.06,11.436,13.759,0.0,13.759,23.353,66.572,0.0,52.8,2.788,2.788,23.353,11.436,52.8,13.759,46.06,13.759,11.436,13.759,109.689,66.572,52.8,66.572,52.8,20.176,66.572,52.8,11.436,66.572,77.555,23.353,46.06,66.572,20.176,66.572,77.555,30.471,2.788,11.436,77.555
INST0255_N22_N15_P004,0.0,11.477,87.958,61.784,119.262,34.294,21.8,0.0,13.759,0.0,19.671,61.784,13.759,66.32,11.477,11.477,19.671,21.8,66.32,0.0,34.294,0.0,21.8,0.0,119.262,61.784,66.32,61.784,66.32,7.201,61.784,66.32,21.8,61.784,87.958,19.671,34.294,61.784,7.201,61.784,87.958,18.791,11.477,21.8,87.958
