,depot,INST0256_N22_W16_P000,INST0256_N22_W16_D000,INST0256_N22_W16_P001,INST0256_N22_W16_D001,INST0256_N22_W16_P002,INST0256_N22_W16_D002,INST0256_N22_W16_P003,INST0256_N22_W16_D003,INST0256_N22_W16_P004,INST0256_N22_W16_D004,INST0256_N22_W16_P005,INST0256_N22_W16_D005,INST0256_N22_W16_P006,INST0256_N22_W16_D006,INST0256_N22_W16_P007,INST0256_N22_W16_D007,INST0256_N22_W16_P008,INST0256_N22_W16_D008,INST0256_N22_W16_P009,INST0256_N22_W16_D009,INST0256_N22_W16_P010,INST0256_N22_W16_D010,INST0256_N22_W16_P011,INST0256_N22_W16_D011,INST0256_N22_W16_P012,INST0256_N22_W16_D012,INST0256_N22_W16_P013,INST0256_N22_W16_D013,INST0256_N22_W16_P014,INST0256_N22_W16_D014,INST0256_N22_W16_P015,INST0256_N22_W16_D015,INST0256_N22_W16_P016,INST0256_N22_W16_D016,INST0256_N22_W16_P017,INST0256_N22_W16_D017,INST0256_N22_W16_P018,INST0256_N22_W16_D018,INST0256_N22_W16_P019,INST0256_N22_W16_D019,INST0256_N22_W16_P020,INST0256_N22_W16_D020,INST0256_N22_W16_P021,INST0256_N22_W16_D021
depot,0.0,41.092,30.344,20.581,41.349,41.092,30.344,0.0,26.872,41.349,109.245,0.0,55.217,14.077,35.155,18.744,96.036,0.0,30.344,35.155,0.0,0.0,18.744,35.155,41.092,20.581,96.036,26.872,35.155,20.581,41.349,20.581,96.036,18.744,0.0,18.744,109.245,35.155,41.092,35.155,30.344,20.581,18.744,0.0,41.092
INST0256_N22_W16_P000,41.092,0.0,23.199,35.196,50.611,0.0,23.199,41.092,14.239,50.611,120.757,41.092,70.903,29.954,75.918,28.769,106.091,41.092,23.199,75.918,41.092,41.092,28.769,75.918,0.0,35.196,106.091,14.239,75.918,35.196,50.611,35.196,106.091,28.769,41.092,28.769,120.757,75.918,0.0,75.918,23.199,35.196,28.769,41.092,0.0
INST0256_N22_W16_D000,30.344,23.199,0.0,37.477,58.923,23.199,0.0,30.344,16.399,58.923,130.825,30.344,77.525,27.544,64.172,11.735,116.61,30.344,0.0,64.172,30.344,30.344,11.735,64.172,23.199,37.477,116.61,16.399,64.172,37.477,58.923,37.477,116.61,11.735,30.344,11.735,130.825,64.172,23.199,64.172,0.0,37.477,11.735,30.344,23.199
INST0256_N22_W16_P001,20.581,35.196,37.477,0.0,22.455,35.196,37.477,20.581,24.4,22.455,93.687,20.581,40.063,10.426,46.518,29.48,79.708,20.581,37.477,46.518,20.581,20.581,29.48,46.518,35.196,0.0,79.708,24.4,46.518,0.0,22.455,0.0,79.708,29.48,20.581,29.48,93.687,46.518,35.196,46.518,37.477,0.0,29.48,20.581,35.196
INST0256_N22_W16_D001,41.349,50.611,58.923,22.455,0.0,50.611,58.923,41.349,43.952,0.0,71.944,41.349,20.342,32.833,55.918,51.842,57.687,41.349,58.923,55.918,41.349,41.349,51.842,55.918,50.611,22.455,57.687,43.952,55.918,22.455,0.0,22.455,57.687,51.842,41.349,51.842,71.944,55.918,50.611,55.918,58.923,22.455,51.842,41.349,50.611
INST0256_N22_W16_P002,41.092,0.0,23.199,35.196,50.611,0.0,23.199,41.092,14.239,50.611,120.757,41.092,70.903,29.954,75.918,28.769,106.091,41.092,23.199,75.918,41.092,41.092,28.769,75.918,0.0,35.196,106.091,14.239,75.918,35.196,50.611,35.196,106.091,28.769,41.092,28.769,120.757,75.918,0.0,75.918,23.199,35.196,28.769,41.092,0.0
INST0256_N22_W16_D002,30.344,23.199,0.0,37.477,58.923,23.199,0.0,30.344,16.399,58.923,130.825,30.344,77.525,27.544,64.172,11.735,116.61,30.344,0.0,64.172,30.344,30.344,11.735,64.172,23.199,37.477,116.61,16.399,64.172,37.477,58.923,37.477,116.61,11.735,30.344,11.735,130.825,64.172,23.199,64.172,0.0,37.477,11.735,30.344,23.199
INST0256_N22_W16_P003,0.0,41.092,30.344,20.581,41.349,41.092,30.344,0.0,26.872,41.349,109.245,0.0,55.217,14.077,35.155,18.744,96.036,0.0,30.344,35.155,0.0,0.0,18.744,35.155,41.092,20.581,96.036,26.872,35.155,20.581,41.349,20.581,96.036,18.744,0.0,18.744,109.245,35.155,41.092,35.155,30.344,20.581,18.744,0.0,41.092
INST0256_N22_W16_D003,26.872,14.239,16.399,24.4,43.952,14.239,16.399,26.872,0.0,43.952,115.807,26.872,63.444,16.791,61.821,16.35,101.402,26.872,16.399,61.821,26.872,26.872,16.35,61.821,14.239,24.4,101.402,0.0,61.821,24.4,43.952,24.4,101.402,16.35,26.872,16.35,115.807,61.821,14.239,61.821,16.399,24.4,16.35,26.872,14.239
INST0256_N22_W16_P004,41.349,50.611,58.923,22.455,0.0,50.611,58.923,41.349,43.952,0.0,71.944,41.349,20.342,32.833,55.918,51.842,57.687,41.349,58.923,55.918,41.349,41.349,51.842,55.918,50.611,22.455,57.687,43.952,55.918,22.455,0.0,22.455,57.687,51.842,41.349,51.842,71.944,55.918,50.611,55.918,58.923,22.455,51.842,41.349,50.611
