,depot,INST0261_N22_N21_P000,INST0261_N22_N21_D000,INST0261_N22_N21_P001,INST0261_N22_N21_D001,INST0261_N22_N21_P002,INST0261_N22_N21_D002,INST0261_N22_N21_P003,INST0261_N22_N21_D003,INST0261_N22_N21_P004,INST0261_N22_N21_D004,INST0261_N22_N21_P005,INST0261_N22_N21_D005,INST0261_N22_N21_P006,INST0261_N22_N21_D006,INST0261_N22_N21_P007,INST0261_N22_N21_D007,INST0261_N22_N21_P008,INST0261_N22_N21_D008,INST0261_N22_N21_P009,INST0261_N22_N21_D009,INST0261_N22_N21_P010,INST0261_N22_N21_D010,INST0261_N22_N21_P011,INST0261_N22_N21_D011,INST0261_N22_N21_P012,INST0261_N22_N21_D012,INST0261_N22_N21_P013,INST0261_N22_N21_D013,INST0261_N22_N21_P014,INST0261_N22_N21_D014,INST0261_N22_N21_P015,INST0261_N22_N21_D015,INST0261_N22_N21_P016,INST0261_N22_N21_D016,INST0261_N22_N21_P017,INST0261_N22_N21_D017,INST0261_N22_N21_P018,INST0261_N22_N21_D018,INST0261_N22_N21_P019,INST0261_N22_N21_D019,INST0261_N22_N21_P020,INST0261_N22_N21_D020,INST0261_N22_N21_P021,INST0261_N22_N21_D021
depot,0.0,28.727,0.0,79.42,28.727,79.42,21.127,24.088,122.983,24.088,122.983,79.42,0.0,43.511,79.42,21.127,99.392,21.127,99.392,28.727,43.511,43.511,21.127,25.326,28.595,35.041,25.326,28.595,25.326,0.0,139.347,35.041,28.727,35.041,0.0,79.42,99.392,35.041,43.511,35.041,153.452,28.595,0.0,28.727,0.0
INST0261_N22_N21_P000,28.727,0.0,28.727,67.88,0.0,67.88,22.322,14.053,95.867,14.053,95.867,67.88,28.727,33.929,67.88,22.322,78.656,22.322,78.656,0.0,33.929,33.929,22.322,17.072,3.413,54.669,17.072,3.413,17.072,28.727,167.44,54.669,0.0,54.669,28.727,67.88,78.656,54.669,33.929,54.669,177.15,3.413,28.727,0.0,28.727
INST0261_N22_N21_D000,0.0,28.727,0.0,79.42,28.727,79.42,21.127,24.088,122.983,24.088,122.983,79.42,0.0,43.511,79.42,21.127,99.392,21.127,99.392,28.727,43.511,43.511,21.127,25.326,28.595,35.041,25.326,28.595,25.326,0.0,139.347,35.041,28.727,35.041,0.0,79.42,99.392,35.041,43.511,35.041,153.452,28.595,0.0,28.727,0.0
INST0261_N22_N21_P001,79.42,67.88,79.42,0.0,67.88,0.0,87.893,81.208,79.694,81.208,79.694,0.0,79.42,101.428,0.0,87.893,131.605,87.893,131.605,67.88,101.428,101.428,87.893,56.35,64.653,114.332,56.35,64.653,56.35,79.42,182.822,114.332,67.88,114.332,79.42,0.0,131.605,114.332,101.428,114.332,229.986,64.653,79.42,67.88,79.42
INST0261_N22_N21_D001,28.727,0.0,28.727,67.88,0.0,67.88,22.322,14.053,95.867,14.053,95.867,67.88,28.727,33.929,67.88,22.322,78.656,22.322,78.656,0.0,33.929,33.929,22.322,17.072,3.413,54.669,17.072,3.413,17.072,28.727,167.44,54.669,0.0,54.669,28.727,67.88,78.656,54.669,33.929,54.669,177.15,3.413,28.727,0.0,28.727
INST0261_N22_N21_P002,79.42,67.88,79.42,0.0,67.88,0.0,87.893,81.208,79.694,81.208,79.694,0.0,79.42,101.428,0.0,87.893,131.605,87.893,131.605,67.88,101.428,101.428,87.893,56.35,64.653,114.332,56.35,64.653,56.35,79.42,182.822,114.332,67.88,114.332,79.42,0.0,131.605,114.332,101.428,114.332,229.986,64.653,79.42,67.88,79.42
INST0261_N22_N21_D002,21.127,22.322,21.127,87.893,22.322,87.893,0.0,8.817,116.493,8.817,116.493,87.893,21.127,22.387,87.893,0.0,78.919,0.0,78.919,22.322,22.387,22.387,0.0,31.992,24.705,33.197,31.992,24.705,31.992,21.127,156.702,33.197,22.322,33.197,21.127,87.893,78.919,33.197,22.387,33.197,155.714,24.705,21.127,22.322,21.127
INST0261_N22_N21_P003,24.088,14.053,24.088,81.208,14.053,81.208,8.817,0.0,107.703,0.0,107.703,81.208,24.088,23.01,81.208,8.817,75.654,8.817,75.654,14.053,23.01,23.01,8.817,26.694,16.848,41.993,26.694,16.848,26.694,24.088,162.641,41.993,14.053,41.993,24.088,81.208,75.654,41.993,23.01,41.993,164.529,16.848,24.088,14.053,24.088
INST0261_N22_N21_D003,122.983,95.867,122.983,79.694,95.867,79.694,116.493,107.703,0.0,107.703,0.0,79.694,122.983,114.14,79.694,116.493,104.211,116.493,104.211,95.867,114.14,114.14,116.493,99.415,94.965,149.69,99.415,94.965,99.415,122.983,253.32,149.69,95.867,149.69,122.983,79.694,104.211,149.69,114.14,149.69,272.117,94.965,122.983,95.867,122.983
INST0261_N22_N21_P004,24.088,14.053,24.088,81.208,14.053,81.208,8.817,0.0,107.703,0.0,107.703,81.208,24.088,23.01,81.208,8.817,75.654,8.817,75.654,14.053,23.01,23.01,8.817,26.694,16.848,41.993,26.694,16.848,26.694,24.088,162.641,41.993,14.053,41.993,24.088,81.208,75.654,41.993,23.01,41.993,164.529,16.848,24.088,14.053,24.088
INST0261_N22_N21_D004,122.983,95.867,122.983,79.694,95.867,79.694,116.493,107.703,0.0,107.703,0.0,79.694,122.983,114.14,79.694,116.493,104.211,116.493,104.211,95.867,114.14,114.14,116.493,99.415,94.965,149.69,99.415,94.965,99.415,122.983,253.32,149.69,95.867,149.69,122.983,79.694,104.211,149.69,114.14,149.69,272.117,94.965,122.983,95.867,122.983
INST0261_N22_N21_P005,79.42,67.88,79.42,0.0,67.88,0.0,87.893,81.208,79.694,81.208,79.694,0.0,79.42,101.428,0.0,87.893,131.605,87.893,131.605,67.88,101.428,101.428,87.893,56.35,64.653,114.332,56.35,64.653,56.35,79.42,182.822,114.332,67.88,114.332,79.42,0.0,131.605,114.332,101.428,114.332,229.986,64.653,79.42,67.88,79.42
INST0261_N22_N21_D005,0.0,28.727,0.0,79.42,28.727,79.42,21.127,24.088,122.983,24.088,122.983,79.42,0.0,43.511,79.42,21.127,99.392,21.127,99.392,28.727,43.511,43.511,21.127,25.326,28.595,35.041,25.326,28.595,25.326,0.0,139.347,35.041,28.727,35.041,0.0,79.42,99.392,35.041,43.511,35.041,153.452,28.595,0.0,28.727,0.0
INST0261_N22_N21_P006,43.511,33.929,43.511,101.428,33.929,101.428,22.387,23.01,114.14,23.01,114.14,101.428,43.511,0.0,101.428,22.387,57.966,22.387,57.966,33.929,0.0,0.0,22.387,49.306,37.312,43.657,49.306,37.312,49.306,43.511,175.714,43.657,33.929,43.657,43.511,101.428,57.966,43.657,0.0,43.657,160.581,37.312,43.511,33.929,43.511
