,depot,INST0278_N25_S08_P000,INST0278_N25_S08_D000,INST0278_N25_S08_P001,INST0278_N25_S08_D001,INST0278_N25_S08_P002,INST0278_N25_S08_D002,INST0278_N25_S08_P003,INST0278_N25_S08_D003,INST0278_N25_S08_P004,INST0278_N25_S08_D004,INST0278_N25_S08_P005,INST0278_N25_S08_D005,INST0278_N25_S08_P006,INST0278_N25_S08_D006,INST0278_N25_S08_P007,INST0278_N25_S08_D007,INST0278_N25_S08_P008,INST0278_N25_S08_D008,INST0278_N25_S08_P009,INST0278_N25_S08_D009,INST0278_N25_S08_P010,INST0278_N25_S08_D010,INST0278_N25_S08_P011,INST0278_N25_S08_D011,INST0278_N25_S08_P012,INST0278_N25_S08_D012,INST0278_N25_S08_P013,INST0278_N25_S08_D013,INST0278_N25_S08_P014,INST0278_N25_S08_D014,INST0278_N25_S08_P015,INST0278_N25_S08_D015,INST0278_N25_S08_P016,INST0278_N25_S08_D016,INST0278_N25_S08_P017,INST0278_N25_S08_D017,INST0278_N25_S08_P018,INST0278_N25_S08_D018,INST0278_N25_S08_P019,INST0278_N25_S08_D019,INST0278_N25_S08_P020,INST0278_N25_S08_D020,INST0278_N25_S08_P021,INST0278_N25_S08_D021,INST0278_N25_S08_P022,INST0278_N25_S08_D022,INST0278_N25_S08_P023,INST0278_N25_S08_D023,INST0278_N25_S08_P024,INST0278_N25_S08_D024
depot,0.0,74.382,0.0,71.658,32.455,61.135,117.194,74.382,61.135,8.581,74.382,74.382,71.658,77.018,6.707,32.455,6.707,29.68,8.581,8.581,61.135,29.68,77.018,0.0,117.194,8.581,74.382,29.68,8.581,6.707,32.455,71.658,29.68,29.68,32.455,0.0,74.382,29.68,71.658,0.0,117.194,6.707,32.455,6.707,71.658,29.68,61.135,74.382,158.604,0.0,77.018
INST0278_N25_S08_P000,74.382,0.0,74.382,139.086,92.948,13.307,44.98,0.0,13.307,66.815,0.0,0.0,139.086,94.398,75.176,92.948,75.176,67.557,66.815,66.815,13.307,67.557,94.398,74.382,44.98,66.815,0.0,67.557,66.815,75.176,92.948,139.086,67.557,67.557,92.948,74.382,0.0,67.557,139.086,74.382,44.98,75.176,92.948,75.176,139.086,67.557,13.307,0.0,85.211,74.382,94.398
INST0278_N25_S08_D000,0.0,74.382,0.0,71.658,32.455,61.135,117.194,74.382,61.135,8.581,74.382,74.382,71.658,77.018,6.707,32.455,6.707,29.68,8.581,8.581,61.135,29.68,77.018,0.0,117.194,8.581,74.382,29.68,8.581,6.707,32.455,71.658,29.68,29.68,32.455,0.0,74.382,29.68,71.658,0.0,117.194,6.707,32.455,6.707,71.658,29.68,61.135,74.382,158.604,0.0,77.018
INST0278_N25_S08_P001,71.658,139.086,71.658,0.0,46.181,126.125,183.928,139.086,126.125,80.145,139.086,139.086,0.0,138.993,67.566,46.181,67.566,72.268,80.145,80.145,126.125,72.268,138.993,71.658,183.928,80.145,139.086,72.268,80.145,67.566,46.181,0.0,72.268,72.268,46.181,71.658,139.086,72.268,0.0,71.658,183.928,67.566,46.181,67.566,0.0,72.268,126.125,139.086,224.124,71.658,138.993
INST0278_N25_S08_D001,32.455,92.948,32.455,46.181,0.0,80.067,137.848,92.948,80.067,39.549,92.948,92.948,46.181,108.949,26.3,0.0,26.3,26.348,39.549,39.549,80.067,26.348,108.949,32.455,137.848,39.549,92.948,26.348,39.549,26.3,0.0,46.181,26.348,26.348,0.0,32.455,92.948,26.348,46.181,32.455,137.848,26.3,0.0,26.3,46.181,26.348,80.067,92.948,177.944,32.455,108.949
INST0278_N25_S08_P002,61.135,13.307,61.135,126.125,80.067,0.0,57.803,13.307,0.0,53.679,13.307,13.307,126.125,87.998,61.869,80.067,61.869,55.105,53.679,53.679,0.0,55.105,87.998,61.135,57.803,53.679,13.307,55.105,53.679,61.869,80.067,126.125,55.105,55.105,80.067,61.135,13.307,55.105,126.125,61.135,57.803,61.869,80.067,61.869,126.125,55.105,0.0,13.307,98.41,61.135,87.998
INST0278_N25_S08_D002,117.194,44.98,117.194,183.928,137.848,57.803,0.0,44.98,57.803,109.068,44.98,44.98,183.928,114.428,118.85,137.848,118.85,112.533,109.068,109.068,57.803,112.533,114.428,117.194,0.0,109.068,44.98,112.533,109.068,118.85,137.848,183.928,112.533,112.533,137.848,117.194,44.98,112.533,183.928,117.194,0.0,118.85,137.848,118.85,183.928,112.533,57.803,44.98,41.594,117.194,114.428
INST0278_N25_S08_P003,74.382,0.0,74.382,139.086,92.948,13.307,44.98,0.0,13.307,66.815,0.0,0.0,139.086,94.398,75.176,92.948,75.176,67.557,66.815,66.815,13.307,67.557,94.398,74.382,44.98,66.815,0.0,67.557,66.815,75.176,92.948,139.086,67.557,67.557,92.948,74.382,0.0,67.557,139.086,74.382,44.98,75.176,92.948,75.176,139.086,67.557,13.307,0.0,85.211,74.382,94.398
INST0278_N25_S08_D003,61.135,13.307,61.135,126.125,80.067,0.0,57.803,13.307,0.0,53.679,13.307,13.307,126.125,87.998,61.869,80.067,61.869,55.105,53.679,53.679,0.0,55.105,87.998,61.135,57.803,53.679,13.307,55.105,53.679,61.869,80.067,126.125,55.105,55.105,80.067,61.135,13.307,55.105,126.125,61.135,57.803,61.869,80.067,61.869,126.125,55.105,0.0,13.307,98.41,61.135,87.998
INST0278_N25_S08_P004,8.581,66.815,8.581,80.145,39.549,53.679,109.068,66.815,53.679,0.0,66.815,66.815,80.145,71.877,13.324,39.549,13.324,31.149,0.0,0.0,53.679,31.149,71.877,8.581,109.068,0.0,66.815,31.149,0.0,13.324,39.549,80.145,31.149,31.149,39.549,8.581,66.815,31.149,80.145,8.581,109.068,13.324,39.549,13.324,80.145,31.149,53.679,66.815,150.553,8.581,71.877
