,depot,INST0288_N25_N18_P000,INST0288_N25_N18_D000,INST0288_N25_N18_P001,INST0288_N25_N18_D001,INST0288_N25_N18_P002,INST0288_N25_N18_D002,INST0288_N25_N18_P003,INST0288_N25_N18_D003,INST0288_N25_N18_P004,INST0288_N25_N18_D004,INST0288_N25_N18_P005,INST0288_N25_N18_D005,INST0288_N25_N18_P006,INST0288_N25_N18_D006,INST0288_N25_N18_P007,INST0288_N25_N18_D007,INST0288_N25_N18_P008,INST0288_N25_N18_D008,INST0288_N25_N18_P009,INST0288_N25_N18_D009,INST0288_N25_N18_P010,INST0288_N25_N18_D010,INST0288_N25_N18_P011,INST0288_N25_N18_D011,INST0288_N25_N18_P012,INST0288_N25_N18_D012,INST0288_N25_N18_P013,INST0288_N25_N18_D013,INST0288_N25_N18_P014,INST0288_N25_N18_D014,INST0288_N25_N18_P015,INST0288_N25_N18_D015,INST0288_N25_N18_P016,INST0288_N25_N18_D016,INST0288_N25_N18_P017,INST0288_N25_N18_D017,INST0288_N25_N18_P018,INST0288_N25_N18_D018,INST0288_N25_N18_P019,INST0288_N25_N18_D019,INST0288_N25_N18_P020,INST0288_N25_N18_D020,INST0288_N25_N18_P021,INST0288_N25_N18_D021,INST0288_N25_N18_P022,INST0288_N25_N18_D022,INST0288_N25_N18_P023,INST0288_N25_N18_D023,INST0288_N25_N18_P024,INST0288_N25_N18_D024
depot,0.0,0.0,23.353,2.788,23.353,46.06,52.8,0.0,20.176,52.8,46.06,46.06,2.788,66.572,109.689,66.572,2.788,0.0,20.176,13.759,30.471,0.0,77.555,13.759,77.555,66.572,2.788,2.788,109.689,13.759,77.555,77.555,0.0,23.353,11.436,66.572,11.436,77.555,46.06,52.8,109.689,13.759,66.572,13.759,109.689,23.353,30.471,52.8,13.759,30.471,66.572
INST0288_N25_N18_P000,0.0,0.0,23.353,2.788,23.353,46.06,52.8,0.0,20.176,52.8,46.06,46.06,2.788,66.572,109.689,66.572,2.788,0.0,20.176,13.759,30.471,0.0,77.555,13.759,77.555,66.572,2.788,2.788,109.689,13.759,77.555,77.555,0.0,23.353,11.436,66.572,11.436,77.555,46.06,52.8,109.689,13.759,66.572,13.759,109.689,23.353,30.471,52.8,13.759,30.471,66.572
INST0288_N25_N18_D000,23.353,23.353,0.0,23.461,0.0,28.616,64.86,23.353,17.254,64.86,28.616,28.616,23.461,81.17,132.815,81.17,23.461,23.353,17.254,19.671,35.534,23.353,100.436,19.671,100.436,81.17,23.461,23.461,132.815,19.671,100.436,100.436,23.353,0.0,20.683,81.17,20.683,100.436,28.616,64.86,132.815,19.671,81.17,19.671,132.815,0.0,35.534,64.86,19.671,35.534,81.17
INST0288_N25_N18_P001,2.788,2.788,23.461,0.0,23.461,44.646,55.435,2.788,18.229,55.435,44.646,44.646,0.0,64.236,110.207,64.236,0.0,2.788,18.229,11.477,27.709,2.788,78.292,11.477,78.292,64.236,0.0,0.0,110.207,11.477,78.292,78.292,2.788,23.461,13.942,64.236,13.942,78.292,44.646,55.435,110.207,11.477,64.236,11.477,110.207,23.461,27.709,55.435,11.477,27.709,64.236
INST0288_N25_N18_D001,23.353,23.353,0.0,23.461,0.0,28.616,64.86,23.353,17.254,64.86,28.616,28.616,23.461,81.17,132.815,81.17,23.461,23.353,17.254,19.671,35.534,23.353,100.436,19.671,100.436,81.17,23.461,23.461,132.815,19.671,100.436,100.436,23.353,0.0,20.683,81.17,20.683,100.436,28.616,64.86,132.815,19.671,81.17,19.671,132.815,0.0,35.534,64.86,19.671,35.534,81.17
INST0288_N25_N18_P002,46.06,46.06,28.616,44.646,28.616,0.0,93.371,46.06,27.111,93.371,0.0,0.0,44.646,81.232,153.371,81.232,44.646,46.06,27.111,34.294,35.653,46.06,122.247,34.294,122.247,81.232,44.646,44.646,153.371,34.294,122.247,122.247,46.06,28.616,48.052,81.232,48.052,122.247,0.0,93.371,153.371,34.294,81.232,34.294,153.371,28.616,35.653,93.371,34.294,35.653,81.232
INST0288_N25_N18_D002,52.8,52.8,64.86,55.435,64.86,93.371,0.0,52.8,71.779,0.0,93.371,93.371,55.435,107.477,95.428,107.477,55.435,52.8,71.779,66.32,82.833,52.8,65.084,66.32,65.084,107.477,55.435,55.435,95.428,66.32,65.084,65.084,52.8,64.86,46.019,107.477,46.019,65.084,93.371,0.0,95.428,66.32,107.477,66.32,95.428,64.86,82.833,0.0,66.32,82.833,107.477
INST0288_N25_N18_P003,0.0,0.0,23.353,2.788,23.353,46.06,52.8,0.0,20.176,52.8,46.06,46.06,2.788,66.572,109.689,66.572,2.788,0.0,20.176,13.759,30.471,0.0,77.555,13.759,77.555,66.572,2.788,2.788,109.689,13.759,77.555,77.555,0.0,23.353,11.436,66.572,11.436,77.555,46.06,52.8,109.689,13.759,66.572,13.759,109.689,23.353,30.471,52.8,13.759,30.471,66.572
INST0288_N25_N18_D003,20.176,20.176,17.254,18.229,17.254,27.111,71.779,20.176,0.0,71.779,27.111,27.111,18.229,64.45,126.352,64.45,18.229,20.176,0.0,7.201,18.283,20.176,95.136,7.201,95.136,64.45,18.229,18.229,126.352,7.201,95.136,95.136,20.176,17.254,26.126,64.45,26.126,95.136,27.111,71.779,126.352,7.201,64.45,7.201,126.352,17.254,18.283,71.779,7.201,18.283,64.45
INST0288_N25_N18_P004,52.8,52.8,64.86,55.435,64.86,93.371,0.0,52.8,71.779,0.0,93.371,93.371,55.435,107.477,95.428,107.477,55.435,52.8,71.779,66.32,82.833,52.8,65.084,66.32,65.084,107.477,55.435,55.435,95.428,66.32,65.084,65.084,52.8,64.86,46.019,107.477,46.019,65.084,93.371,0.0,95.428,66.32,107.477,66.32,95.428,64.86,82.833,0.0,66.32,82.833,107.477
