,depot,INST0292_N25_W22_P000,INST0292_N25_W22_D000,INST0292_N25_W22_P001,INST0292_N25_W22_D001,INST0292_N25_W22_P002,INST0292_N25_W22_D002,INST0292_N25_W22_P003,INST0292_N25_W22_D003,INST0292_N25_W22_P004,INST0292_N25_W22_D004,INST0292_N25_W22_P005,INST0292_N25_W22_D005,INST0292_N25_W22_P006,INST0292_N25_W22_D006,INST0292_N25_W22_P007,INST0292_N25_W22_D007,INST0292_N25_W22_P008,INST0292_N25_W22_D008,INST0292_N25_W22_P009,INST0292_N25_W22_D009,INST0292_N25_W22_P010,INST0292_N25_W22_D010,INST0292_N25_W22_P011,INST0292_N25_W22_D011,INST0292_N25_W22_P012,INST0292_N25_W22_D012,INST0292_N25_W22_P013,INST0292_N25_W22_D013,INST0292_N25_W22_P014,INST0292_N25_W22_D014,INST0292_N25_W22_P015,INST0292_N25_W22_D015,INST0292_N25_W22_P016,INST0292_N25_W22_D016,INST0292_N25_W22_P017,INST0292_N25_W22_D017,INST0292_N25_W22_P018,INST0292_N25_W22_D018,INST0292_N25_W22_P019,INST0292_N25_W22_D019,INST0292_N25_W22_P020,INST0292_N25_W22_D020,INST0292_N25_W22_P021,INST0292_N25_W22_D021,INST0292_N25_W22_P022,INST0292_N25_W22_D022,INST0292_N25_W22_P023,INST0292_N25_W22_D023,INST0292_N25_W22_P024,INST0292_N25_W22_D024
depot,0.0,29.878,124.166,29.878,17.435,17.435,77.687,53.818,17.435,17.435,0.0,77.687,20.02,77.687,20.56,20.02,124.166,77.687,20.02,0.0,77.687,20.02,17.435,32.905,75.699,75.699,124.166,32.905,0.0,77.687,75.699,32.905,17.435,20.02,53.818,20.02,77.687,29.878,20.56,53.818,32.905,53.818,77.687,53.818,20.02,17.435,0.0,32.905,75.699,32.905,124.166
INST0292_N25_W22_P000,29.878,0.0,97.602,0.0,43.098,43.098,49.056,27.496,43.098,43.098,29.878,49.056,36.098,49.056,12.767,36.098,97.602,49.056,36.098,29.878,49.056,36.098,43.098,25.201,56.961,56.961,97.602,25.201,29.878,49.056,56.961,25.201,43.098,36.098,27.496,36.098,49.056,0.0,12.767,27.496,25.201,27.496,49.056,27.496,36.098,43.098,29.878,25.201,56.961,25.201,97.602
INST0292_N25_W22_D000,124.166,97.602,0.0,97.602,129.907,129.907,50.015,70.637,129.907,129.907,124.166,50.015,133.671,50.015,110.354,133.671,0.0,50.015,133.671,124.166,50.015,133.671,129.907,117.595,115.643,115.643,0.0,117.595,124.166,50.015,115.643,117.595,129.907,133.671,70.637,133.671,50.015,97.602,110.354,70.637,117.595,70.637,50.015,70.637,133.671,129.907,124.166,117.595,115.643,117.595,0.0
INST0292_N25_W22_P001,29.878,0.0,97.602,0.0,43.098,43.098,49.056,27.496,43.098,43.098,29.878,49.056,36.098,49.056,12.767,36.098,97.602,49.056,36.098,29.878,49.056,36.098,43.098,25.201,56.961,56.961,97.602,25.201,29.878,49.056,56.961,25.201,43.098,36.098,27.496,36.098,49.056,0.0,12.767,27.496,25.201,27.496,49.056,27.496,36.098,43.098,29.878,25.201,56.961,25.201,97.602
INST0292_N25_W22_D001,17.435,43.098,129.907,43.098,0.0,0.0,86.82,61.972,0.0,0.0,17.435,86.82,35.228,86.82,36.679,35.228,129.907,86.82,35.228,17.435,86.82,35.228,0.0,50.317,92.961,92.961,129.907,50.317,17.435,86.82,92.961,50.317,0.0,35.228,61.972,35.228,86.82,43.098,36.679,61.972,50.317,61.972,86.82,61.972,35.228,0.0,17.435,50.317,92.961,50.317,129.907
INST0292_N25_W22_P002,17.435,43.098,129.907,43.098,0.0,0.0,86.82,61.972,0.0,0.0,17.435,86.82,35.228,86.82,36.679,35.228,129.907,86.82,35.228,17.435,86.82,35.228,0.0,50.317,92.961,92.961,129.907,50.317,17.435,86.82,92.961,50.317,0.0,35.228,61.972,35.228,86.82,43.098,36.679,61.972,50.317,61.972,86.82,61.972,35.228,0.0,17.435,50.317,92.961,50.317,129.907
INST0292_N25_W22_D002,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_P003,53.818,27.496,70.637,27.496,61.972,61.972,24.909,0.0,61.972,61.972,53.818,24.909,63.48,24.909,40.204,63.48,70.637,24.909,63.48,53.818,24.909,63.48,61.972,50.631,68.471,68.471,70.637,50.631,53.818,24.909,68.471,50.631,61.972,63.48,0.0,63.48,24.909,27.496,40.204,0.0,50.631,0.0,24.909,0.0,63.48,61.972,53.818,50.631,68.471,50.631,70.637
INST0292_N25_W22_D003,17.435,43.098,129.907,43.098,0.0,0.0,86.82,61.972,0.0,0.0,17.435,86.82,35.228,86.82,36.679,35.228,129.907,86.82,35.228,17.435,86.82,35.228,0.0,50.317,92.961,92.961,129.907,50.317,17.435,86.82,92.961,50.317,0.0,35.228,61.972,35.228,86.82,43.098,36.679,61.972,50.317,61.972,86.82,61.972,35.228,0.0,17.435,50.317,92.961,50.317,129.907
INST0292_N25_W22_P004,17.435,43.098,129.907,43.098,0.0,0.0,86.82,61.972,0.0,0.0,17.435,86.82,35.228,86.82,36.679,35.228,129.907,86.82,35.228,17.435,86.82,35.228,0.0,50.317,92.961,92.961,129.907,50.317,17.435,86.82,92.961,50.317,0.0,35.228,61.972,35.228,86.82,43.098,36.679,61.972,50.317,61.972,86.82,61.972,35.228,0.0,17.435,50.317,92.961,50.317,129.907
INST0292_N25_W22_D004,0.0,29.878,124.166,29.878,17.435,17.435,77.687,53.818,17.435,17.435,0.0,77.687,20.02,77.687,20.56,20.02,124.166,77.687,20.02,0.0,77.687,20.02,17.435,32.905,75.699,75.699,124.166,32.905,0.0,77.687,75.699,32.905,17.435,20.02,53.818,20.02,77.687,29.878,20.56,53.818,32.905,53.818,77.687,53.818,20.02,17.435,0.0,32.905,75.699,32.905,124.166
INST0292_N25_W22_P005,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_D005,20.02,36.098,133.671,36.098,35.228,35.228,84.648,63.48,35.228,35.228,20.02,84.648,0.0,84.648,23.331,0.0,133.671,84.648,0.0,20.02,84.648,0.0,35.228,22.951,64.294,64.294,133.671,22.951,20.02,84.648,64.294,22.951,35.228,0.0,63.48,0.0,84.648,36.098,23.331,63.48,22.951,63.48,84.648,63.48,0.0,35.228,20.02,22.951,64.294,22.951,133.671
INST0292_N25_W22_P006,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_D006,20.56,12.767,110.354,12.767,36.679,36.679,61.567,40.204,36.679,36.679,20.56,61.567,23.331,61.567,0.0,23.331,110.354,61.567,23.331,20.56,61.567,23.331,36.679,17.238,57.051,57.051,110.354,17.238,20.56,61.567,57.051,17.238,36.679,23.331,40.204,23.331,61.567,12.767,0.0,40.204,17.238,40.204,61.567,40.204,23.331,36.679,20.56,17.238,57.051,17.238,110.354
INST0292_N25_W22_P007,20.02,36.098,133.671,36.098,35.228,35.228,84.648,63.48,35.228,35.228,20.02,84.648,0.0,84.648,23.331,0.0,133.671,84.648,0.0,20.02,84.648,0.0,35.228,22.951,64.294,64.294,133.671,22.951,20.02,84.648,64.294,22.951,35.228,0.0,63.48,0.0,84.648,36.098,23.331,63.48,22.951,63.48,84.648,63.48,0.0,35.228,20.02,22.951,64.294,22.951,133.671
INST0292_N25_W22_D007,124.166,97.602,0.0,97.602,129.907,129.907,50.015,70.637,129.907,129.907,124.166,50.015,133.671,50.015,110.354,133.671,0.0,50.015,133.671,124.166,50.015,133.671,129.907,117.595,115.643,115.643,0.0,117.595,124.166,50.015,115.643,117.595,129.907,133.671,70.637,133.671,50.015,97.602,110.354,70.637,117.595,70.637,50.015,70.637,133.671,129.907,124.166,117.595,115.643,117.595,0.0
INST0292_N25_W22_P008,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_D008,20.02,36.098,133.671,36.098,35.228,35.228,84.648,63.48,35.228,35.228,20.02,84.648,0.0,84.648,23.331,0.0,133.671,84.648,0.0,20.02,84.648,0.0,35.228,22.951,64.294,64.294,133.671,22.951,20.02,84.648,64.294,22.951,35.228,0.0,63.48,0.0,84.648,36.098,23.331,63.48,22.951,63.48,84.648,63.48,0.0,35.228,20.02,22.951,64.294,22.951,133.671
INST0292_N25_W22_P009,0.0,29.878,124.166,29.878,17.435,17.435,77.687,53.818,17.435,17.435,0.0,77.687,20.02,77.687,20.56,20.02,124.166,77.687,20.02,0.0,77.687,20.02,17.435,32.905,75.699,75.699,124.166,32.905,0.0,77.687,75.699,32.905,17.435,20.02,53.818,20.02,77.687,29.878,20.56,53.818,32.905,53.818,77.687,53.818,20.02,17.435,0.0,32.905,75.699,32.905,124.166
INST0292_N25_W22_D009,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_P010,20.02,36.098,133.671,36.098,35.228,35.228,84.648,63.48,35.228,35.228,20.02,84.648,0.0,84.648,23.331,0.0,133.671,84.648,0.0,20.02,84.648,0.0,35.228,22.951,64.294,64.294,133.671,22.951,20.02,84.648,64.294,22.951,35.228,0.0,63.48,0.0,84.648,36.098,23.331,63.48,22.951,63.48,84.648,63.48,0.0,35.228,20.02,22.951,64.294,22.951,133.671
INST0292_N25_W22_D010,17.435,43.098,129.907,43.098,0.0,0.0,86.82,61.972,0.0,0.0,17.435,86.82,35.228,86.82,36.679,35.228,129.907,86.82,35.228,17.435,86.82,35.228,0.0,50.317,92.961,92.961,129.907,50.317,17.435,86.82,92.961,50.317,0.0,35.228,61.972,35.228,86.82,43.098,36.679,61.972,50.317,61.972,86.82,61.972,35.228,0.0,17.435,50.317,92.961,50.317,129.907
INST0292_N25_W22_P011,32.905,25.201,117.595,25.201,50.317,50.317,67.612,50.631,50.317,50.317,32.905,67.612,22.951,67.612,17.238,22.951,117.595,67.612,22.951,32.905,67.612,22.951,50.317,0.0,43.046,43.046,117.595,0.0,32.905,67.612,43.046,0.0,50.317,22.951,50.631,22.951,67.612,25.201,17.238,50.631,0.0,50.631,67.612,50.631,22.951,50.317,32.905,0.0,43.046,0.0,117.595
INST0292_N25_W22_D011,75.699,56.961,115.643,56.961,92.961,92.961,70.587,68.471,92.961,92.961,75.699,70.587,64.294,70.587,57.051,64.294,115.643,70.587,64.294,75.699,70.587,64.294,92.961,43.046,0.0,0.0,115.643,43.046,75.699,70.587,0.0,43.046,92.961,64.294,68.471,64.294,70.587,56.961,57.051,68.471,43.046,68.471,70.587,68.471,64.294,92.961,75.699,43.046,0.0,43.046,115.643
INST0292_N25_W22_P012,75.699,56.961,115.643,56.961,92.961,92.961,70.587,68.471,92.961,92.961,75.699,70.587,64.294,70.587,57.051,64.294,115.643,70.587,64.294,75.699,70.587,64.294,92.961,43.046,0.0,0.0,115.643,43.046,75.699,70.587,0.0,43.046,92.961,64.294,68.471,64.294,70.587,56.961,57.051,68.471,43.046,68.471,70.587,68.471,64.294,92.961,75.699,43.046,0.0,43.046,115.643
INST0292_N25_W22_D012,124.166,97.602,0.0,97.602,129.907,129.907,50.015,70.637,129.907,129.907,124.166,50.015,133.671,50.015,110.354,133.671,0.0,50.015,133.671,124.166,50.015,133.671,129.907,117.595,115.643,115.643,0.0,117.595,124.166,50.015,115.643,117.595,129.907,133.671,70.637,133.671,50.015,97.602,110.354,70.637,117.595,70.637,50.015,70.637,133.671,129.907,124.166,117.595,115.643,117.595,0.0
INST0292_N25_W22_P013,32.905,25.201,117.595,25.201,50.317,50.317,67.612,50.631,50.317,50.317,32.905,67.612,22.951,67.612,17.238,22.951,117.595,67.612,22.951,32.905,67.612,22.951,50.317,0.0,43.046,43.046,117.595,0.0,32.905,67.612,43.046,0.0,50.317,22.951,50.631,22.951,67.612,25.201,17.238,50.631,0.0,50.631,67.612,50.631,22.951,50.317,32.905,0.0,43.046,0.0,117.595
INST0292_N25_W22_D013,0.0,29.878,124.166,29.878,17.435,17.435,77.687,53.818,17.435,17.435,0.0,77.687,20.02,77.687,20.56,20.02,124.166,77.687,20.02,0.0,77.687,20.02,17.435,32.905,75.699,75.699,124.166,32.905,0.0,77.687,75.699,32.905,17.435,20.02,53.818,20.02,77.687,29.878,20.56,53.818,32.905,53.818,77.687,53.818,20.02,17.435,0.0,32.905,75.699,32.905,124.166
INST0292_N25_W22_P014,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_D014,75.699,56.961,115.643,56.961,92.961,92.961,70.587,68.471,92.961,92.961,75.699,70.587,64.294,70.587,57.051,64.294,115.643,70.587,64.294,75.699,70.587,64.294,92.961,43.046,0.0,0.0,115.643,43.046,75.699,70.587,0.0,43.046,92.961,64.294,68.471,64.294,70.587,56.961,57.051,68.471,43.046,68.471,70.587,68.471,64.294,92.961,75.699,43.046,0.0,43.046,115.643
INST0292_N25_W22_P015,32.905,25.201,117.595,25.201,50.317,50.317,67.612,50.631,50.317,50.317,32.905,67.612,22.951,67.612,17.238,22.951,117.595,67.612,22.951,32.905,67.612,22.951,50.317,0.0,43.046,43.046,117.595,0.0,32.905,67.612,43.046,0.0,50.317,22.951,50.631,22.951,67.612,25.201,17.238,50.631,0.0,50.631,67.612,50.631,22.951,50.317,32.905,0.0,43.046,0.0,117.595
INST0292_N25_W22_D015,17.435,43.098,129.907,43.098,0.0,0.0,86.82,61.972,0.0,0.0,17.435,86.82,35.228,86.82,36.679,35.228,129.907,86.82,35.228,17.435,86.82,35.228,0.0,50.317,92.961,92.961,129.907,50.317,17.435,86.82,92.961,50.317,0.0,35.228,61.972,35.228,86.82,43.098,36.679,61.972,50.317,61.972,86.82,61.972,35.228,0.0,17.435,50.317,92.961,50.317,129.907
INST0292_N25_W22_P016,20.02,36.098,133.671,36.098,35.228,35.228,84.648,63.48,35.228,35.228,20.02,84.648,0.0,84.648,23.331,0.0,133.671,84.648,0.0,20.02,84.648,0.0,35.228,22.951,64.294,64.294,133.671,22.951,20.02,84.648,64.294,22.951,35.228,0.0,63.48,0.0,84.648,36.098,23.331,63.48,22.951,63.48,84.648,63.48,0.0,35.228,20.02,22.951,64.294,22.951,133.671
INST0292_N25_W22_D016,53.818,27.496,70.637,27.496,61.972,61.972,24.909,0.0,61.972,61.972,53.818,24.909,63.48,24.909,40.204,63.48,70.637,24.909,63.48,53.818,24.909,63.48,61.972,50.631,68.471,68.471,70.637,50.631,53.818,24.909,68.471,50.631,61.972,63.48,0.0,63.48,24.909,27.496,40.204,0.0,50.631,0.0,24.909,0.0,63.48,61.972,53.818,50.631,68.471,50.631,70.637
INST0292_N25_W22_P017,20.02,36.098,133.671,36.098,35.228,35.228,84.648,63.48,35.228,35.228,20.02,84.648,0.0,84.648,23.331,0.0,133.671,84.648,0.0,20.02,84.648,0.0,35.228,22.951,64.294,64.294,133.671,22.951,20.02,84.648,64.294,22.951,35.228,0.0,63.48,0.0,84.648,36.098,23.331,63.48,22.951,63.48,84.648,63.48,0.0,35.228,20.02,22.951,64.294,22.951,133.671
INST0292_N25_W22_D017,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_P018,29.878,0.0,97.602,0.0,43.098,43.098,49.056,27.496,43.098,43.098,29.878,49.056,36.098,49.056,12.767,36.098,97.602,49.056,36.098,29.878,49.056,36.098,43.098,25.201,56.961,56.961,97.602,25.201,29.878,49.056,56.961,25.201,43.098,36.098,27.496,36.098,49.056,0.0,12.767,27.496,25.201,27.496,49.056,27.496,36.098,43.098,29.878,25.201,56.961,25.201,97.602
INST0292_N25_W22_D018,20.56,12.767,110.354,12.767,36.679,36.679,61.567,40.204,36.679,36.679,20.56,61.567,23.331,61.567,0.0,23.331,110.354,61.567,23.331,20.56,61.567,23.331,36.679,17.238,57.051,57.051,110.354,17.238,20.56,61.567,57.051,17.238,36.679,23.331,40.204,23.331,61.567,12.767,0.0,40.204,17.238,40.204,61.567,40.204,23.331,36.679,20.56,17.238,57.051,17.238,110.354
INST0292_N25_W22_P019,53.818,27.496,70.637,27.496,61.972,61.972,24.909,0.0,61.972,61.972,53.818,24.909,63.48,24.909,40.204,63.48,70.637,24.909,63.48,53.818,24.909,63.48,61.972,50.631,68.471,68.471,70.637,50.631,53.818,24.909,68.471,50.631,61.972,63.48,0.0,63.48,24.909,27.496,40.204,0.0,50.631,0.0,24.909,0.0,63.48,61.972,53.818,50.631,68.471,50.631,70.637
INST0292_N25_W22_D019,32.905,25.201,117.595,25.201,50.317,50.317,67.612,50.631,50.317,50.317,32.905,67.612,22.951,67.612,17.238,22.951,117.595,67.612,22.951,32.905,67.612,22.951,50.317,0.0,43.046,43.046,117.595,0.0,32.905,67.612,43.046,0.0,50.317,22.951,50.631,22.951,67.612,25.201,17.238,50.631,0.0,50.631,67.612,50.631,22.951,50.317,32.905,0.0,43.046,0.0,117.595
INST0292_N25_W22_P020,53.818,27.496,70.637,27.496,61.972,61.972,24.909,0.0,61.972,61.972,53.818,24.909,63.48,24.909,40.204,63.48,70.637,24.909,63.48,53.818,24.909,63.48,61.972,50.631,68.471,68.471,70.637,50.631,53.818,24.909,68.471,50.631,61.972,63.48,0.0,63.48,24.909,27.496,40.204,0.0,50.631,0.0,24.909,0.0,63.48,61.972,53.818,50.631,68.471,50.631,70.637
INST0292_N25_W22_D020,77.687,49.056,50.015,49.056,86.82,86.82,0.0,24.909,86.82,86.82,77.687,0.0,84.648,0.0,61.567,84.648,50.015,0.0,84.648,77.687,0.0,84.648,86.82,67.612,70.587,70.587,50.015,67.612,77.687,0.0,70.587,67.612,86.82,84.648,24.909,84.648,0.0,49.056,61.567,24.909,67.612,24.909,0.0,24.909,84.648,86.82,77.687,67.612,70.587,67.612,50.015
INST0292_N25_W22_P021,53.818,27.496,70.637,27.496,61.972,61.972,24.909,0.0,61.972,61.972,53.818,24.909,63.48,24.909,40.204,63.48,70.637,24.909,63.48,53.818,24.909,63.48,61.972,50.631,68.471,68.471,70.637,50.631,53.818,24.909,68.471,50.631,61.972,63.48,0.0,63.48,24.909,27.496,40.204,0.0,50.631,0.0,24.909,0.0,63.48,61.972,53.818,50.631,68.471,50.631,70.637
