,depot,INST0294_N25_N24_P000,INST0294_N25_N24_D000,INST0294_N25_N24_P001,INST0294_N25_N24_D001,INST0294_N25_N24_P002,INST0294_N25_N24_D002,INST0294_N25_N24_P003,INST0294_N25_N24_D003,INST0294_N25_N24_P004,INST0294_N25_N24_D004,INST0294_N25_N24_P005,INST0294_N25_N24_D005,INST0294_N25_N24_P006,INST0294_N25_N24_D006,INST0294_N25_N24_P007,INST0294_N25_N24_D007,INST0294_N25_N24_P008,INST0294_N25_N24_D008,INST0294_N25_N24_P009,INST0294_N25_N24_D009,INST0294_N25_N24_P010,INST0294_N25_N24_D010,INST0294_N25_N24_P011,INST0294_N25_N24_D011,INST0294_N25_N24_P012,INST0294_N25_N24_D012,INST0294_N25_N24_P013,INST0294_N25_N24_D013,INST0294_N25_N24_P014,INST0294_N25_N24_D014,INST0294_N25_N24_P015,INST0294_N25_N24_D015,INST0294_N25_N24_P016,INST0294_N25_N24_D016,INST0294_N25_N24_P017,INST0294_N25_N24_D017,INST0294_N25_N24_P018,INST0294_N25_N24_D018,INST0294_N25_N24_P019,INST0294_N25_N24_D019,INST0294_N25_N24_P020,INST0294_N25_N24_D020,INST0294_N25_N24_P021,INST0294_N25_N24_D021,INST0294_N25_N24_P022,INST0294_N25_N24_D022,INST0294_N25_N24_P023,INST0294_N25_N24_D023,INST0294_N25_N24_P024,INST0294_N25_N24_D024
depot,0.0,41.993,56.4,0.0,149.69,56.4,35.041,35.041,0.0,33.197,56.4,41.993,35.041,41.993,149.69,41.993,0.0,43.657,149.69,43.657,58.839,54.669,33.197,41.993,149.69,54.669,114.332,33.197,99.467,33.197,0.0,33.197,0.0,0.0,56.4,43.657,187.802,33.197,0.0,43.657,187.802,35.041,114.332,58.839,41.993,54.669,99.467,41.993,43.657,33.197,149.69
INST0294_N25_N24_P000,41.993,0.0,16.848,41.993,107.703,16.848,24.088,24.088,41.993,8.817,16.848,0.0,24.088,0.0,107.703,0.0,41.993,23.01,107.703,23.01,26.694,14.053,8.817,0.0,107.703,14.053,81.208,8.817,75.654,8.817,41.993,8.817,41.993,41.993,16.848,23.01,146.035,8.817,41.993,23.01,146.035,24.088,81.208,26.694,0.0,14.053,75.654,0.0,23.01,8.817,107.703
INST0294_N25_N24_D000,56.4,16.848,0.0,56.4,94.965,0.0,28.595,28.595,56.4,24.705,0.0,16.848,28.595,16.848,94.965,16.848,56.4,37.312,94.965,37.312,14.003,3.413,24.705,16.848,94.965,3.413,64.653,24.705,81.517,24.705,56.4,24.705,56.4,56.4,0.0,37.312,134.313,24.705,56.4,37.312,134.313,28.595,64.653,14.003,16.848,3.413,81.517,16.848,37.312,24.705,94.965
INST0294_N25_N24_P001,0.0,41.993,56.4,0.0,149.69,56.4,35.041,35.041,0.0,33.197,56.4,41.993,35.041,41.993,149.69,41.993,0.0,43.657,149.69,43.657,58.839,54.669,33.197,41.993,149.69,54.669,114.332,33.197,99.467,33.197,0.0,33.197,0.0,0.0,56.4,43.657,187.802,33.197,0.0,43.657,187.802,35.041,114.332,58.839,41.993,54.669,99.467,41.993,43.657,33.197,149.69
INST0294_N25_N24_D001,149.69,107.703,94.965,149.69,0.0,94.965,122.983,122.983,149.69,116.493,94.965,107.703,122.983,107.703,0.0,107.703,149.69,114.14,0.0,114.14,99.415,95.867,116.493,107.703,0.0,95.867,79.694,116.493,104.211,116.493,149.69,116.493,149.69,149.69,94.965,114.14,40.266,116.493,149.69,114.14,40.266,122.983,79.694,99.415,107.703,95.867,104.211,107.703,114.14,116.493,0.0
INST0294_N25_N24_P002,56.4,16.848,0.0,56.4,94.965,0.0,28.595,28.595,56.4,24.705,0.0,16.848,28.595,16.848,94.965,16.848,56.4,37.312,94.965,37.312,14.003,3.413,24.705,16.848,94.965,3.413,64.653,24.705,81.517,24.705,56.4,24.705,56.4,56.4,0.0,37.312,134.313,24.705,56.4,37.312,134.313,28.595,64.653,14.003,16.848,3.413,81.517,16.848,37.312,24.705,94.965
INST0294_N25_N24_D002,35.041,24.088,28.595,35.041,122.983,28.595,0.0,0.0,35.041,21.127,28.595,24.088,0.0,24.088,122.983,24.088,35.041,43.511,122.983,43.511,25.326,28.727,21.127,24.088,122.983,28.727,79.42,21.127,99.392,21.127,35.041,21.127,35.041,35.041,28.595,43.511,162.63,21.127,35.041,43.511,162.63,0.0,79.42,25.326,24.088,28.727,99.392,24.088,43.511,21.127,122.983
INST0294_N25_N24_P003,35.041,24.088,28.595,35.041,122.983,28.595,0.0,0.0,35.041,21.127,28.595,24.088,0.0,24.088,122.983,24.088,35.041,43.511,122.983,43.511,25.326,28.727,21.127,24.088,122.983,28.727,79.42,21.127,99.392,21.127,35.041,21.127,35.041,35.041,28.595,43.511,162.63,21.127,35.041,43.511,162.63,0.0,79.42,25.326,24.088,28.727,99.392,24.088,43.511,21.127,122.983
INST0294_N25_N24_D003,0.0,41.993,56.4,0.0,149.69,56.4,35.041,35.041,0.0,33.197,56.4,41.993,35.041,41.993,149.69,41.993,0.0,43.657,149.69,43.657,58.839,54.669,33.197,41.993,149.69,54.669,114.332,33.197,99.467,33.197,0.0,33.197,0.0,0.0,56.4,43.657,187.802,33.197,0.0,43.657,187.802,35.041,114.332,58.839,41.993,54.669,99.467,41.993,43.657,33.197,149.69
INST0294_N25_N24_P004,33.197,8.817,24.705,33.197,116.493,24.705,21.127,21.127,33.197,0.0,24.705,8.817,21.127,8.817,116.493,8.817,33.197,22.387,116.493,22.387,31.992,22.322,0.0,8.817,116.493,22.322,87.893,0.0,78.919,0.0,33.197,0.0,33.197,33.197,24.705,22.387,154.717,0.0,33.197,22.387,154.717,21.127,87.893,31.992,8.817,22.322,78.919,8.817,22.387,0.0,116.493
